"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 50"," 54"," 66"," 84"," 85"," 25","100"," 46","  9"," 11"," 26","305","127"," 90","116","165"," 15"," 20","  8","  6","ACCRA",2009-11-14
" 54"," 78"," 71"," 98","100"," 40","240"," 43","  7"," 10"," 30","250","138","120","122","124"," 35"," 23","  6","  6","TEMA",2009-11-14
" 54.0"," 70.0"," 62.0"," 90.0"," 80.0"," 34.0","180.0"," 48.0","  6.5","  8.5"," 23.0","120.0","140.0"," 80.0","160.0","140.0"," 20.0"," 18.0","  6.0","  6.0","SEKTDI",2009-11-14
" 40.0"," 70.0"," 60.0"," 85.0"," 85.0"," 22.0","120.0",NA,"  3.5","  9.0"," 27.0","300.0"," 50.0"," 80.0","134.0","115.0"," 20.0"," 24.0","  4.0","  5.0","KDUA",2009-11-14
" 69.0"," 55.0"," 67.0"," 85.0"," 90.0"," 20.0","160.0"," 52.0","  5.0","  8.5"," 32.0","100.0"," 90.0"," 60.0","120.0","130.0"," 12.0"," 12.0","  4.0","  5.0","CCOAST",2009-11-14
" 65.00"," 60.00"," 68.00"," 90.00","100.00"," 15.00","125.00"," 58.50","  2.60","  5.30"," 20.00"," 95.00","120.00"," 75.00","110.00","105.00","  9.45"," 15.00","  3.70","  5.00","MKESSIM",2009-11-14
" 42.0"," 55.0"," 70.0"," 70.0"," 65.0"," 11.0"," 95.0"," 24.0","  2.5","  5.0"," 20.0","220.0"," 45.0"," 60.0"," 90.0","110.0","  8.5"," 14.0","  3.0","  5.0","KUMASI",2009-11-14
" 35"," 45"," 55"," 72"," 60"," 10","120"," 35","  3","  5"," 20","180"," 30"," 28"," 85","120"," 22",NA,"  8","  5","EJURA",2009-11-14
" 70.0"," 35.0"," 68.0"," 80.0"," 85.0"," 12.0","110.0"," 30.0","  4.5"," 10.0"," 17.0","120.0"," 50.0"," 32.0","100.0","120.0"," 25.0"," 30.0","  4.0","  5.0","OBUASI",2009-11-14
" 32.0"," 42.5"," 63.0"," 70.0"," 72.0"," 25.0"," 90.0"," 36.0","  2.0","  4.0"," 25.0","112.0"," 40.0"," 30.0"," 90.0"," 95.0"," 15.0"," 20.0","  2.5","  4.7","SUNYANI",2009-11-14
" 29"," 45"," 70"," 75"," 70"," 18","100"," 40","  3","  4"," 21","200"," 40"," 70"," 70","100"," 18"," 24","  3","  5","TMAN",2009-11-14
"54.00","55.00","60.00","85.00",NA,"21.00","105.00","35.00","3.00","5.00","37.00#","160.00","85.00","60.00","153.00","123.00","10.00","23.00","5.00","5.70","HO",2009-11-14
" 34.0"," 32.0"," 75.0"," 80.0"," 72.0"," 26.0","100.0",NA,"  9.0","  7.0"," 37.0"," 68.0"," 60.0"," 37.0"," 60.0"," 96.0",NA,NA," 15.0","  5.5","TAMALE",2009-11-14
"40.00","49.00","52.00","50.00","56.00","20.00","140.00",NA,"20.00","15.00","38.00","120.00","45.00","N/A","70.00","75.00","N/A",NA,"8.00","7.00","BOLGA",2009-11-14
"36","54","69","64","66","25","99",NA," 8",NA,"29",NA,"25","47","78","85",NA,NA,"10"," 6","WA",2009-11-14
