"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 58"," 55"," 69"," 74"," 71"," 27","133"," 33","  4","  6"," 25","177"," 75"," 48","135","138"," 10"," 22","  4","  5","ACCRA",2009-04-04
" 67",NA," 62"," 80"," 80"," 38","200"," 30","  6","  8"," 30",NA,"120",NA,"113","115",NA,NA,"  3","  6","TEMA",2009-04-04
" 70.0"," 55.0"," 58.0"," 85.0"," 80.0"," 23.0","160.0"," 30.0","  3.8","  7.5"," 24.0"," 80.0"," 70.0"," 60.0","110.0","140.0"," 16.0"," 12.0","  3.0","  5.5","SEKTDI",2009-04-04
" 55.0"," 70.0"," 55.0"," 75.0"," 80.0"," 15.0","110.0"," 27.0","  4.0","  9.0"," 27.0","150.0"," 45.0",NA,"150.0","130.0"," 12.0"," 20.0","  3.5","  5.0","KDUA",2009-04-04
" 68.55"," 55.00"," 66.00"," 84.00"," 90.00"," 16.00","120.00"," 47.00","  5.00","  8.00"," 30.00"," 85.00"," 60.00"," 47.00","123.00","115.00","  7.00"," 12.00","  3.00","  6.00","CCOAST",2009-04-04
" 75.00"," 55.00"," 68.00"," 85.00","100.00"," 18.69","170.00"," 55.00","  2.70","  5.60"," 18.00"," 98.00","100.00"," 72.00","150.00","130.00"," 12.00"," 14.00","  3.40","  5.00","MKESSI",2009-04-04
" 58.0"," 50.0"," 54.0"," 64.0"," 55.0","  8.5"," 92.0"," 20.0","  2.4","  4.2"," 20.0","102.0"," 50.0"," 60.0"," 80.0","110.0",NA," 14.0","  3.8","  4.8","KUMASI",2009-04-04
" 55"," 60"," 55"," 55"," 55","  8","120"," 65","  3","  5"," 20","150"," 40","100"," 90","140"," 20",NA,"  4","  5","EJURA",2009-04-04
" 75.0"," 35.0"," 64.0"," 85.0"," 80.0"," 12.0","130.0"," 30.0","  3.0","  6.5"," 15.0","100.0"," 70.0"," 44.0","120.0","120.0",NA," 28.0","  4.0","  4.8","OBUASI",2009-04-04
" 48.0"," 42.5"," 54.0"," 65.0"," 65.0"," 20.0"," 75.0"," 36.0","  1.8","  2.5"," 20.0"," 80.0"," 65.0","100.0"," 85.0","108.0"," 15.0"," 20.0","  6.0","  4.2","SUNYANI",2009-04-04
" 46.15"," 35.00"," 65.00"," 60.00"," 50.00"," 12.00","100.00"," 36.00","  2.50","  3.50"," 25.71","168.00"," 70.00"," 70.00"," 74.00","130.00"," 17.50",NA,"  2.50","  4.50","TMAN",2009-04-04
" 64.0"," 50.0"," 65.0"," 82.0",NA," 17.0","105.0",NA,"  3.0","  5.0"," 37.0","104.0"," 70.0",NA," 98.0","115.0"," 18.0"," 23.0","  3.5","  5.0","HO",2009-04-04
" 44.0"," 30.0"," 60.0"," 60.0"," 48.0"," 12.0","100.0",NA,"  8.0","  7.0"," 28.0"," 57.0"," 60.0"," 37.0"," 60.0"," 96.0",NA,NA,"  9.0","  5.5","TAMALE",2009-04-04
"45.00","50.00","50.00","52.00","51.00","N/A","160.00","N/A","9.00","N/A","N/A","N/A","60.00","N/A","90.00","100.00","N/A",NA,"22.00","5.20","BOLGA",2009-04-04
" 42.86"," 53.57"," 65.00"," 63.65"," 54.50"," 23.00"," 99.00",NA,"  6.00","  8.00"," 28.80",NA," 21.18",NA," 81.75","102.50",NA,NA," 19.00","  6.00","WA",2009-04-04
