"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 50"," 47"," 66"," 85"," 88"," 24","108"," 43","  7","  8"," 26","257","108"," 83","118","135"," 14"," 21","  8","  6","ACCRA",2009-11-28
" 54"," 78"," 71"," 98","100"," 40","240"," 43","  7"," 10"," 30","250","138","120","122","124"," 35"," 23","  6","  6","TEMA",2009-11-28
" 58.0"," 70.0"," 60.0","100.0"," 90.0"," 24.0","180.0"," 40.0","  5.0","  8.0"," 22.0","120.0"," 60.0"," 80.0","150.0","140.0"," 16.0"," 16.0","  7.0","  5.5","SEKTDI",2009-11-28
" 40.0"," 70.0"," 50.0","100.0"," 90.0"," 22.0","140.0",NA,"  4.0"," 11.0"," 27.0","300.0"," 45.0","100.0","134.0","115.0"," 20.0"," 26.0","  4.7","  5.5","KDUA",2009-11-28
" 68.0"," 50.0"," 67.0"," 90.0"," 90.0"," 20.0","170.0"," 52.0","  5.0","  9.0"," 32.0","100.0"," 90.0"," 60.0","124.0","134.0"," 12.0"," 12.0","  4.0","  5.5","CCOAST",2009-11-28
" 74.0"," 60.0"," 70.0"," 90.0","100.0"," 14.5","130.0"," 50.0","  2.7","  5.5"," 20.0"," 90.0"," 80.0"," 52.0","110.0","110.0","  8.7"," 14.0","  3.3","  5.0","MKESSIM",2009-11-28
" 58.0"," 55.0"," 70.0"," 65.0"," 60.0"," 12.0","100.0"," 20.0","  2.3","  5.5"," 20.0","168.0"," 30.0"," 30.0"," 80.0","130.0","  9.0"," 11.0","  3.0","  5.0","KUMASI",2009-11-28
" 35"," 45"," 55"," 72"," 60"," 10","120"," 35","  3","  5"," 20","140"," 15"," 20"," 85","120"," 22",NA,"  8","  5","EJURA",2009-11-28
" 70"," 39"," 58"," 80"," 85"," 12","140"," 35","  4"," 11"," 17","120"," 35"," 32","100","120"," 25"," 30","  4","  5","OBUASI",2009-11-28
" 32.0"," 42.5"," 65.0"," 70.0"," 72.0"," 25.0","100.0"," 40.0","  2.5","  4.0"," 25.0","100.0"," 35.0"," 30.0"," 90.0"," 95.0"," 25.0"," 20.0","  2.5","  4.8","SUNYANI",2009-11-28
" 29.5"," 43.0"," 70.0"," 76.0"," 74.0"," 16.0","100.0"," 38.0","  2.4","  5.5"," 21.0","180.0"," 20.0"," 70.0"," 80.0","130.0"," 18.0"," 40.0","  2.5","  4.5","TMAN",2009-11-28
"45.00","58.00","60.00","85.00",NA,"22.00","120.00","35.00","3.00","4.50","37.00#","144.00","100.00","60.00","147.00","123.00","9.00","23.00","4.00","5.80","HO",2009-11-28
" 34"," 30"," 70"," 80"," 64"," 32","100",NA,"  8"," 10"," 29"," 68"," 70"," 28"," 60","100",NA,NA," 14","  6","TAMALE",2009-11-28
"40.00","49.00","52.00","50.00","56.00","10.00","100.00",NA,"14.00","10.00",NA,"120.00","90.00","N/A","70.00","80.00","N/A",NA,"8.00","7.00","BOLGA",2009-11-28
" 36"," 54"," 69"," 72"," 66"," 25"," 99",NA,"  8",NA," 29",NA," 29"," 54"," 74","102",NA,NA," 10","  6","WA",2009-11-28
