"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 62.0"," 53.5"," 69.0"," 71.0"," 71.0"," 27.0","138.0"," 38.0","  7.0","  9.0"," 25.0","258.0","247.0"," 54.0","128.0","134.0"," 12.0"," 19.0","  4.0","  5.0","ACCRA",2009-04-25
" 71",NA," 64"," 80"," 80"," 35","180"," 30","  8"," 12"," 30",NA,"250",NA,"119",NA,NA,NA,"  4","  6","TEMA",2009-04-25
" 70.0"," 45.0"," 55.0"," 85.0"," 80.0"," 25.0","160.0"," 28.0","  4.0","  6.0"," 25.0","100.0","160.0"," 80.0","140.0","140.0"," 16.0"," 15.0","  4.0","  5.5","SEKTDI",2009-04-25
" 60"," 70"," 55"," 75"," 82"," 16","130"," 30","  6"," 10"," 16","210"," 95"," 70","150","130"," 16"," 18","  3","  4","KDUA",2009-04-25
" 68.55"," 55.00"," 66.00"," 85.00"," 90.00"," 17.00","130.00"," 47.00","  5.50","  9.00"," 30.00"," 85.00","150.00"," 47.00","123.00","130.00","  7.00"," 13.00","  3.00","  6.00","CCOAST",2009-04-25
" 80.00"," 55.00"," 68.00"," 90.00","100.00"," 15.84","180.00"," 48.65","  3.20","  6.00"," 18.00"," 87.00","180.00"," 45.00","150.00","130.00"," 10.00"," 14.50","  3.70","  5.00","MKESSI",2009-04-25
" 58.0"," 60.0"," 55.0"," 70.0"," 60.0"," 14.0","120.0"," 24.0","  3.5","  6.0"," 20.0","180.0","110.0"," 48.0"," 85.0","120.0",NA," 15.0","  3.0","  5.0","KUMASI",2009-04-25
" 70.0"," 60.0"," 60.0"," 64.0"," 68.0","  8.0"," 90.0"," 45.0","  4.0","  3.0"," 14.4","180.0","200.0","170.0"," 90.0","130.0"," 15.0",NA,"  5.0","  5.0","EJURA",2009-04-25
" 80.0"," 36.0"," 64.0"," 80.0"," 85.0"," 12.0","140.0"," 25.0","  5.0"," 10.0"," 15.0","120.0","130.0"," 20.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-04-25
" 44.0"," 42.5"," 55.0"," 65.0"," 65.0"," 25.0","100.0"," 36.0","  2.0","  2.5"," 20.0","180.0","150.0"," 80.0"," 85.0","108.0"," 15.0"," 20.0","  5.0","  4.2","SUNYANI",2009-04-25
" 46.15"," 34.00"," 68.00"," 65.00"," 64.00"," 12.00","100.00"," 30.00","  2.00","  3.50"," 20.57","210.00","130.00"," 70.00"," 80.00","100.00"," 17.00",NA,"  3.50","  4.50","TMAN",2009-04-25
" 64.0"," 55.0"," 63.0"," 82.0",NA," 30.0","120.0",NA,"  4.0","  7.5"," 23.0",NA,"130.0",NA,"142.0","107.0","  8.0"," 23.0",NA,"  5.3","HO",2009-04-25
" 44"," 30"," 70"," 60"," 60"," 14","120",NA,"  8","  7"," 28"," 90","120"," 52","100","100",NA,NA,"  9","  6","TAMALE",2009-04-25
"48.00","50.00","56.00","55.00","51.00","N/A","140.00","N/A","N/A","N/A","N/A","80.00","85.00","N/A","80.00","100.00","N/A",NA,"22.00","5.00","BOLGA",2009-04-25
" 42.86"," 44.64"," 65.00"," 53.63"," 54.50"," 23.00","130.00"," 50.00","  8.00"," 15.00"," 28.80"," 48.00"," 57.78"," 53.50"," 81.75","102.50",NA,NA," 19.00","  6.00","WA",2009-04-25
