"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 78"," 55"," 77"," 80"," 80"," 16","165"," 31","  8"," 12"," 24","300","170",NA,"133","145"," 13"," 19","  5","  5","ACCRA",2009-05-23
" 81.0",NA," 64.0"," 80.0"," 80.0"," 33.0","200.0"," 30.0","  9.0"," 10.0"," 30.0",NA,"335.0",NA,"119.0",NA,NA,NA,"  6.0","  5.5","TEMA",2009-05-23
" 83.0"," 55.0"," 58.0"," 80.0"," 80.0"," 35.0","160.0"," 30.0","  5.0","  8.0"," 24.0","140.0","180.0"," 80.0","140.0","130.0"," 16.0"," 15.0","  4.0","  5.5","SEKTDI",2009-05-23
" 70"," 70"," 55"," 75"," 85"," 20","150"," 30","  6"," 16"," 20","200"," 80"," 70","150","130"," 25"," 20","  4","  4","KDUA",2009-05-23
" 79"," 55"," 66"," 84"," 90"," 16","140"," 47","  6","  8"," 30"," 80","180"," 45","123","130","  7"," 13","  3","  5","CCOAST",2009-05-23
" 85.00"," 54.50"," 69.00"," 90.00","100.00"," 16.43","170.00"," 50.00","  4.20","  7.80"," 18.50"," 95.00","170.00"," 80.00","140.00","130.00","  9.30"," 15.00","  3.70","  5.00","MKESSIM",2009-05-23
" 71"," 55"," 55"," 64"," 60"," 14","100"," 24","  3","  5"," 20","180"," 80","100"," 85","120",NA," 20","  3","  5","KUMASI",2009-05-23
" 70.0"," 60.0"," 60.0"," 70.0"," 50.0"," 10.0","150.0"," 50.0","  4.0","  5.0"," 14.4","160.0"," 70.0","170.0","100.0","140.0"," 20.0",NA,"  5.0","  5.0","EJURA",2009-05-23
" 90.0"," 40.0"," 66.0"," 80.0"," 85.0"," 13.0","140.0"," 30.0","  5.0","  9.0"," 15.0","120.0","150.0"," 56.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-05-23
" 56.0"," 42.5",NA," 65.0"," 65.0"," 30.0","120.0"," 36.0","  4.0","  5.0"," 24.0","120.0","120.0"," 80.0"," 90.0","110.0"," 14.0"," 24.0","  6.0","  4.2","SUNYANI",2009-05-23
" 52.30"," 34.00"," 68.00"," 60.00"," 55.00"," 12.00","100.00"," 35.00","  2.00","  3.50"," 20.57","280.00"," 80.00"," 84.00"," 80.00","100.00"," 17.50",NA,"  4.00","  4.50","TMAN",2009-05-23
" 73.0"," 55.0"," 64.0"," 82.0",NA," 38.0","130.0",NA,"  6.0",NA," 23.0","200.0",NA,NA,"142.0","115.0"," 13.0"," 25.0","  5.5","  5.5","HO",2009-05-23
" 54.0"," 32.0"," 70.0"," 64.0"," 52.0"," 14.0","130.0",NA,"  7.0","  6.0"," 28.0"," 75.0","170.0"," 91.0"," 80.0","100.0",NA,NA,"  9.0","  4.8","TAMALE",2009-05-23
"51.00","50.00","52.00","54.00","52.00","N/A","150.00","N/A","N/A","N/A","N/A","140.00","180.00","N/A","90.00","100.00","N/A",NA,NA,"5.50","BOLGA",2009-05-23
" 50.00"," 50.00"," 65.00"," 57.23"," 54.60"," 23.00","166.00"," 50.00","  6.00","  8.00"," 28.00","205.71","130.00"," 66.60"," 81.75","102.50",NA,NA," 10.00","  6.00","WA",2009-05-23
