"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 50"," 50"," 65"," 85"," 90"," 23","101"," 45","  8","  9"," 26","273","103"," 82","118","139"," 16"," 21","  8","  6","ACCRA",2009-11-21
" 54"," 78"," 71"," 98","100"," 40","240"," 43","  7"," 10"," 30","250","138","120","122","124"," 35"," 23","  6","  6","TEMA",2009-11-21
" 54.0"," 70.0"," 62.0"," 90.0"," 80.0"," 34.0","180.0"," 48.0","  6.5","  8.5"," 23.0","120.0","140.0"," 80.0","160.0","140.0"," 20.0"," 18.0","  6.0","  6.0","SEKTDI",2009-11-21
" 40.0"," 70.0"," 60.0"," 85.0"," 85.0"," 22.0","130.0",NA,"  4.0"," 10.0"," 27.0","280.0"," 40.0"," 80.0","134.0","115.0"," 20.0"," 26.0","  3.5","  5.0","KDUA",2009-11-21
" 54.0"," 50.0"," 67.0"," 90.0"," 90.0"," 20.0","170.0"," 52.0","  4.5","  8.5"," 32.0","100.0"," 90.0"," 60.0","210.0","134.0"," 12.0"," 12.0","  4.0","  5.0","CCOAST",2009-11-21
" 70.0"," 60.0"," 70.0"," 90.0","100.0"," 15.0","120.0"," 52.0","  2.5","  5.0"," 19.0"," 92.0","120.0"," 63.0","110.0","110.0"," 10.0"," 14.0","  3.5","  5.0","MKESSIM",2009-11-21
" 50.0"," 60.0"," 70.0"," 67.0"," 60.0"," 10.0"," 90.0"," 22.0","  2.2","  5.3"," 20.0","162.0"," 35.0"," 28.0"," 80.0","120.0"," 10.0"," 12.0","  3.5","  5.0","KUMASI",2009-11-21
" 35"," 45"," 55"," 72"," 60"," 10","120"," 35","  3","  5"," 20","102"," 20"," 28"," 85","120"," 22",NA,"  8","  5","EJURA",2009-11-21
" 60.0"," 39.0"," 68.0"," 80.0"," 85.0"," 12.0","140.0"," 35.0","  4.5"," 11.0"," 17.0","120.0"," 45.0"," 20.0","100.0","120.0"," 25.0"," 30.0","  4.0","  5.0","OBUASI",2009-11-21
" 32.0"," 42.5"," 64.0"," 70.0"," 72.0"," 25.0","100.0"," 36.0","  2.2","  4.0"," 25.0","100.0"," 35.0"," 25.0"," 90.0"," 95.0"," 22.5"," 25.0","  3.0","  5.0","SUNYANI",2009-11-21
" 30.0"," 45.0"," 70.0"," 73.0"," 65.0"," 16.0","120.0"," 44.0","  3.5","  5.0"," 21.0","220.0"," 40.0"," 70.0"," 77.0","110.0"," 18.0"," 24.0","  2.5","  4.5","TMAN",2009-11-21
"54.00","55.00","60.00","85.00",NA,"20.00","110.00","37.00","3.00","6.00","37.00#","144.00","100.00","60.00","153.00","123.00","9.00","23.00","5.00","5.80","HO",2009-11-21
" 32.0"," 27.0"," 54.0"," 60.0"," 56.0"," 30.0","110.0",NA,"  7.0","  9.0"," 37.0"," 68.0"," 50.0"," 28.0"," 60.0","100.0",NA,NA," 15.0","  5.5","TAMALE",2009-11-21
"40.00","49.00","52.00","50.00","56.00","20.00","150.00",NA,"14.00","10.00","38.00","120.00","90.00","N/A","70.00","75.00","N/A",NA,"8.00","7.00","BOLGA",2009-11-21
"36","54","69","72","66","25","99",NA," 8",NA,"29",NA,"25","54","62","96",NA,NA,"10"," 6","WA",2009-11-21
