"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 76"," 55"," 69"," 75"," 80"," 17","160"," 39","  7"," 12"," 23","285"," 76","125","119","132"," 12"," 21","  7","  5","ACCRA",2009-06-13
" 83"," 53"," 64"," 83"," 80"," 30","170"," 30"," 15"," 20"," 30",NA,"100",NA,"119","130",NA," 26",NA,"  6","TEMA",2009-06-13
" 80.0"," 50.0"," 52.0"," 85.0"," 80.0"," 25.0","180.0"," 25.0","  5.0","  7.0"," 24.0","180.0"," 90.0","150.0","125.0","140.0"," 15.0"," 18.0","  4.0","  5.5","SEKTDI",2009-06-13
" 70.0"," 70.0"," 55.0"," 75.0"," 85.0"," 26.0","150.0"," 28.0","  7.0"," 16.0"," 20.0","200.0"," 60.0"," 70.0","150.0","130.0",NA," 20.0","  7.0","  4.5","KDUA",2009-06-13
" 79.0"," 55.0"," 66.0"," 85.0"," 90.0"," 16.0","140.0"," 47.0","  5.5","  9.0"," 30.0"," 85.0","160.0"," 55.0","123.0","130.0","  7.0"," 15.0","  3.0","  5.0","CCOAST",2009-06-13
" 85.00"," 54.00"," 70.00"," 86.00"," 98.00"," 15.00","170.00"," 54.82","  3.60","  7.50"," 18.00","100.00","120.00"," 86.00","140.00","115.00","  7.20"," 16.00","  3.50","  4.80","MKESSIM",2009-06-13
" 67.0"," 50.0"," 55.0"," 70.0"," 65.0"," 12.0","100.0"," 20.0","  3.0","  5.4"," 18.0","180.0"," 70.0","100.0"," 85.0","120.0",NA," 26.0","  3.8","  5.0","KUMASI",2009-06-13
" 52.8"," 60.0"," 65.0"," 70.0"," 50.0"," 10.0","150.0"," 45.0","  4.0","  5.0"," 14.4","180.0"," 70.0","170.0"," 90.0","140.0",NA,NA,"  5.0","  5.0","EJURA",2009-06-13
" 90.0"," 44.0"," 67.0"," 80.0"," 85.0"," 13.0","140.0"," 30.0","  4.0"," 12.0"," 15.0","100.0"," 70.0"," 80.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-06-13
" 60.0"," 42.5"," 59.6"," 65.0"," 65.0"," 30.0","135.0"," 36.0","  4.0","  5.0"," 24.0","120.0"," 85.0","125.0"," 96.0","108.0"," 20.0"," 25.0","  8.0","  4.2","SUNYANI",2009-06-13
" 52.31"," 34.00"," 70.00"," 60.00"," 55.00"," 12.00","100.00"," 40.00","  3.00","  4.50"," 20.00","280.00"," 50.00"," 84.00"," 80.00","120.00"," 17.50",NA,"  4.00","  4.50","TMAN",2009-06-13
" 73.0"," 57.5"," 64.0"," 82.0",NA," 35.0","150.0",NA,"  6.5","  8.0"," 26.0","200.0","110.0",NA,"142.0","115.0"," 11.0"," 23.0","  7.0","  5.7","HO",2009-06-13
" 56"," 30"," 56"," 68"," 60"," 17","130",NA,"  9","  8"," 28","102","130"," 75","100","112",NA,NA,"  9","  5","TAMALE",2009-06-13
"65.00","55.00","56.00","65.00","60.00","N/A","140.00","N/A","N/A","N/A","N/A","N/A","85.00","N/A","90.00","100.00","N/A",NA,NA,"5.50","BOLGA",2009-06-13
" 50.00"," 50.00"," 65.00"," 57.23"," 54.50"," 23.00","140.00"," 50.00","  6.00","  8.00"," 28.80",NA," 75.00",NA," 81.75","102.50",NA,NA," 10.00","  6.00","WA",2009-06-13
