"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 73"," 62"," 65"," 84"," 83"," 23","140"," 39","  8"," 12"," 26","360","108"," 95","126","126"," 14"," 19","  9","  6","ACCRA",2009-08-08
" 75",NA," 66"," 96"," 96"," 35","145"," 35","  6"," 12"," 30","320","170",NA,"116","130",NA," 22","  9","  6","TEMA",2009-08-08
" 75.0"," 70.0"," 58.0"," 85.0"," 80.0"," 25.0","160.0"," 35.0","  5.5","  8.0"," 22.0","120.0","160.0"," 80.0","140.0","160.0"," 18.0"," 15.0","  5.0","  5.5","SEKTDI",2009-08-08
" 40.0"," 65.0"," 55.0"," 90.0"," 80.0"," 20.0",NA,NA,"  6.0"," 14.0"," 27.0","200.0","120.0","100.0","120.0","150.0"," 20.0"," 22.0","  7.0","  4.5","KDUA",2009-08-08
" 81.0"," 55.0"," 67.0"," 85.0"," 90.0"," 16.0","140.0"," 55.0","  4.5","  8.0"," 30.0"," 90.0","150.0"," 40.0","100.0","120.0","  8.0"," 10.0","  6.0","  5.0","CCOAST",2009-08-08
" 85.0"," 60.0"," 67.0"," 86.0","100.0"," 14.2","130.0"," 50.0","  3.6","  7.0"," 19.5"," 85.0","140.0"," 50.0","100.0","100.0","  9.7"," 13.0","  4.5","  5.0","MKESSIM",2009-08-08
" 67.0"," 55.0"," 68.0"," 66.0"," 60.0","  9.0"," 85.0"," 22.0","  3.2","  5.5"," 20.0","180.0"," 75.0"," 88.0"," 85.0","110.0",NA," 12.0","  3.5","  5.0","KUMASI",2009-08-08
" 64"," 60"," 70"," 70"," 70"," 16","100"," 25","  3","  7"," 20","210"," 55"," 60"," 80"," 90"," 16",NA," 10","  5","EJURA",2009-08-08
" 80.0"," 44.0"," 66.0"," 80.0"," 85.0","  9.0","140.0"," 30.0","  4.5"," 11.0"," 13.0","100.0"," 60.0"," 68.0","100.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-08-08
" 55.0"," 42.5"," 60.0"," 70.0"," 70.0"," 25.0"," 65.0"," 45.0","  3.0","  4.2"," 25.0","120.0"," 50.0"," 96.0"," 90.0","110.0"," 20.0"," 20.0","  5.0","  2.4","SUNYANI",2009-08-08
" 46.15"," 48.50"," 70.00"," 64.00"," 77.00"," 15.00"," 80.00"," 50.00","  4.00","  5.00"," 25.71"," 50.00"," 70.00"," 84.00"," 80.00","120.00"," 18.00"," 20.00","  7.00","  4.50","TMAN",2009-08-08
"50.00","57.50","64.00","85.00",NA,"23.00","140.00","38.00","6.00","8.50","34.00#","280.00","100.00","40.00","147.00","123.00","11.00","24.00","10.00","6.00","HO",2009-08-08
" 44.0"," 40.0"," 70.0"," 80.0"," 76.0"," 15.0",NA,NA,"  8.0","  7.0"," 29.0","160.0","180.0"," 60.0"," 80.0"," 96.0",NA,NA,"  8.0","  5.5","TAMALE",2009-08-08
"58.00","55.00","52.00","54.00","58.00","85.00","210.00","100.00","20.00","15.00","N/A","160.00","200.00","N/A","86.00","100.00","N/A",NA,NA,"5.50","BOLGA",2009-08-08
" 42.86"," 53.57"," 69.00"," 64.38"," 62.00"," 24.00",NA," 60.00","  8.00",NA," 28.80","320.00"," 69.33"," 66.00"," 77.86"," 88.83",NA,NA," 10.00","  6.00","WA",2009-08-08
