"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 76.0"," 52.5"," 69.0"," 73.0"," 80.0"," 17.0","163.0"," 39.0","  9.0"," 14.0"," 23.0","300.0","130.0","150.0","120.0","140.0"," 13.0"," 22.0","  8.0","  5.0","ACCRA",2009-06-13
" 83"," 53"," 64"," 80"," 80"," 40","170"," 30"," 15"," 20"," 30","300","135",NA,"120","144"," 30"," 26","  8","  6","TEMA",2009-06-13
" 79.0",NA," 45.0"," 85.0"," 80.0"," 28.0","175.0"," 30.0","  6.0","  8.0"," 24.0","150.0"," 80.0","100.0","125.0","140.0"," 15.0"," 18.0","  4.0","  5.5","SEKTDI",2009-06-13
" 70.0"," 70.0"," 55.0"," 75.0"," 85.0"," 26.0","160.0"," 30.0","  7.0"," 16.0"," 20.0","200.0"," 60.0"," 60.0","150.0","130.0",NA," 23.0",NA,"  4.4","KDUA",2009-06-13
" 79.0"," 55.0"," 56.0"," 85.0"," 90.0"," 16.0","140.0"," 47.0","  6.0","  9.0"," 30.0"," 85.0","150.0"," 47.0","123.0","130.0","  7.0"," 20.0","  3.0","  5.5","CCOAST",2009-06-13
" 85.00"," 52.50"," 70.00"," 86.00"," 95.00"," 14.28","180.00"," 50.00","  3.50","  7.50"," 18.00","100.00","100.00"," 78.50","130.00","110.00","  9.00"," 15.00","  4.00","  5.00","MKESSIM",2009-06-13
" 67.0"," 52.5"," 60.0"," 68.0"," 60.0"," 11.0"," 95.0"," 22.0","  3.3","  6.0"," 20.0","180.0"," 65.0"," 88.0"," 85.0","120.0",NA," 28.0","  3.5","  5.0","KUMASI",2009-06-13
" 68.2"," 60.0"," 75.0"," 65.0"," 65.0"," 10.0","150.0"," 45.0","  4.0","  5.0"," 14.4","200.0"," 70.0","190.0"," 95.0","140.0"," 20.0",NA,"  5.0","  5.0","EJURA",2009-06-13
" 90.0"," 44.0"," 67.0"," 80.0"," 85.0"," 13.0","140.0"," 25.0","  4.5"," 15.0"," 15.0","100.0"," 70.0"," 60.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-06-13
" 56.0"," 42.5"," 59.6"," 65.0"," 65.0"," 30.0","140.0"," 36.0","  3.5","  5.0"," 25.0","112.0"," 75.0","130.0"," 90.0","110.0"," 17.5"," 20.0","  8.0","  4.2","SUNYANI",2009-06-13
" 52.31"," 55.00"," 72.00"," 70.00"," 72.00"," 11.00","120.00"," 40.00","  3.00","  4.00"," 25.71","240.00"," 58.00"," 98.00"," 80.00","120.00"," 17.50",NA,"  4.00","  4.50","TMAN",2009-06-13
" 73.0"," 55.0"," 64.0"," 82.0",NA," 34.0","140.0",NA,"  6.0","  8.5"," 29.0","200.0","110.0",NA,"142.0","115.0"," 11.0"," 23.0","  7.5","  5.5","HO",2009-06-13
" 54"," 40"," 70"," 58"," 56"," 12","140",NA,"  9","  8"," 28","102","120"," 75","100","100",NA,NA,"  9","  5","TAMALE",2009-06-13
"66.00","55.00","51.00","65.00","60.00","N/A","140.00","N/A","N/A","N/A","N/A","130.00","120.00","N/A","90.00","110.00","N/A",NA,NA,"5.50","BOLGA",2009-06-13
" 53.57"," 50.00"," 65.00"," 57.23"," 54.50"," 23.00","140.00"," 50.00","  6.00","  8.00"," 28.80","110.00"," 80.00",NA," 81.75","102.50",NA,NA," 10.00","  6.00","WA",2009-06-13
