"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 48"," 53"," 63"," 84"," 85"," 24"," 83"," 24","  8"," 11"," 26","295","102"," 88","118","118"," 16"," 19","  7","  6","ACCRA",2009-10-10
" 50"," 74"," 65"," 95"," 95"," 40","100"," 40","  6"," 10"," 30","200","110",NA,"113","120",NA," 23","  7","  6","TEMA",2009-10-10
" 50.0"," 70.0"," 54.0"," 85.0"," 85.0"," 32.0","160.0"," 45.0","  5.0","  8.0"," 22.0","120.0"," 80.0"," 85.0","160.0","140.0"," 18.0"," 15.0","  6.0","  5.5","SEKTDI",2009-10-10
" 39.0"," 70.0"," 65.0"," 85.0"," 85.0"," 21.0",NA,NA,"  3.0","  7.5"," 27.0","280.0"," 70.0","100.0","134.0"," 95.0"," 20.0"," 25.0","  2.0","  5.0","KDUA",2009-10-10
" 46"," 55"," 67"," 85"," 67"," 16","160",NA,"  4","  7"," 32","100"," 80"," 60","120","130"," 12","  9","  6","  5","CCOAST",2009-10-10
" 40.00"," 55.00"," 67.00"," 83.00"," 92.00"," 14.86","120.00"," 52.00","  3.20","  5.80"," 20.00","120.00"," 80.00"," 90.00","100.00"," 95.00","  9.30"," 13.00","  3.60","  4.80","MKESSIM",2009-10-10
" 34.0"," 55.0"," 70.0"," 68.0"," 62.0"," 12.0"," 82.0"," 22.0","  2.4","  5.2"," 20.0","200.0"," 65.0","120.0"," 85.0","100.0",NA," 12.0","  3.4","  5.0","KUMASI",2009-10-10
" 35"," 60"," 70"," 72"," 72","  9","140"," 25","  3","  5"," 20","210"," 70"," 60"," 80"," 90"," 12",NA,"  5","  5","EJURA",2009-10-10
" 60"," 38"," 69"," 80"," 85"," 10"," 70"," 30","  5"," 10"," 17","120"," 60"," 96","100","120",NA," 28","  4","  5","OBUASI",2009-10-10
" 32.0"," 43.0"," 61.0"," 70.0"," 72.0"," 25.0"," 70.0"," 36.0","  2.5","  4.0"," 25.0","152.0"," 60.0","160.0"," 90.0"," 90.0"," 14.0"," 22.0","  5.0","  4.7","SUNYANI",2009-10-10
" 31.00"," 43.00"," 70.00"," 63.00"," 76.00"," 20.00"," 95.00"," 40.00","  2.50","  5.00"," 20.57","220.00"," 60.00"," 84.00"," 80.00","110.00"," 18.00"," 20.00","  3.00","  4.50","TMAN",2009-10-10
" 42.0"," 58.0"," 59.0"," 85.0",NA," 20.0"," 90.0"," 33.0","  3.5","  5.5"," 37.0","224.0"," 80.0"," 60.0","153.0","115.0"," 11.0"," 22.0","  3.0","  5.5","HO",2009-10-10
" 36"," 32"," 60","120"," 60"," 26"," 90",NA,"  8","  0"," 28"," 90"," 80"," 45"," 80"," 64",NA,NA,"  9","  5","TAMALE",2009-10-10
"32.00","49.00","52.00","50.00","50.00","60.00","180.00","120.00","18.00","15.00","N/A","190.00","35.00","N/A","85.00","57.00","N/A",NA,"12.00","7.00","BOLGA",2009-10-10
"33.93","57.14","69.00","71.54","66.18","25.00","80.00",NA," 8.00",NA,"28.18",NA,"13.48","83.33","77.86","75.17",NA,NA,"10.00"," 6.00","WA",2009-10-10
