"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 48"," 57"," 65"," 84"," 88"," 22","105"," 43","  6","  8"," 24","230"," 93"," 85","119","131"," 14"," 20","  8","  6","ACCRA",2009-12-05
" 54"," 75"," 66","100","100"," 50","150"," 35","  3","  6"," 30","250"," 50","120","110","127"," 40"," 20","  5","  6","TEMA",2009-12-05
" 58.0"," 70.0"," 60.0","100.0"," 90.0"," 24.0","180.0"," 40.0","  5.0","  8.0"," 22.0","120.0"," 60.0"," 80.0","150.0","140.0"," 16.0"," 16.0","  7.0","  5.5","SEKTDI",2009-12-05
" 40.0"," 70.0"," 60.0"," 90.0"," 90.0"," 24.0","160.0",NA,"  4.5","  5.0"," 27.0","300.0"," 30.0","100.0","130.0","130.0"," 20.0"," 28.0","  4.5","  5.0","KDUA",2009-12-05
" 64.0"," 50.0"," 67.0"," 90.0"," 90.0"," 20.0","170.0"," 52.0","  4.5","  9.0"," 32.0","100.0"," 70.0"," 60.0","120.0","134.0"," 12.0"," 12.0","  4.0","  6.0","CCOAST",2009-12-05
" 75.0"," 60.0"," 70.0"," 90.0","100.0"," 17.8","130.0"," 53.0","  3.0","  5.0"," 20.0"," 80.0"," 65.0"," 34.0","110.0","110.0"," 10.0"," 13.0","  3.2","  5.0","MKESSIM",2009-12-05
" 58.0"," 55.0"," 68.0"," 64.0"," 60.0"," 10.0","100.0"," 22.0","  2.4","  5.0"," 20.0","168.0"," 15.0"," 40.0"," 80.0","120.0","  9.5"," 13.0","  3.2","  5.0","KUMASI",2009-12-05
" 35"," 45"," 55"," 65"," 60"," 10","100"," 30","  3","  5"," 20","145"," 12"," 20"," 85","120"," 22",NA,"  8","  5","EJURA",2009-12-05
" 70"," 39"," 68"," 80"," 85"," 12","140"," 35","  4"," 11"," 17"," 12"," 35"," 32","100","120"," 25",NA,"  4","  5","OBUASI",2009-12-05
" 32.0"," 42.5"," 67.5"," 70.0"," 72.0"," 30.0","100.0"," 45.0","  2.0","  4.5"," 25.0","100.0"," 45.0"," 30.0"," 90.0"," 95.0"," 20.0"," 25.0","  2.5","  4.8","SUNYANI",2009-12-05
" 29"," 44"," 70"," 80"," 60"," 16","140"," 40","  4","  5"," 21","170"," 15"," 70"," 90","110"," 25",NA,"  2","  5","TMAN",2009-12-05
"45.00","58.00","60.00","85.00",NA,"21.00","110.00",NA,"3.00","4.50","37.00#","144.00","90.00","60.00","153.00","123.00","10.00","24.00","5.00","5.60","HO",2009-12-05
" 34"," 30"," 70"," 80"," 60"," 30","110",NA,"  7","  9"," 29"," 68"," 60"," 28"," 60","100",NA,NA,"  9","  6","TAMALE",2009-12-05
"40.00","50.00","52.00","53.00","56.00","10.00","130.00",NA,"14.00","10.00",NA,"150.00","100.00","N/A","70.00","92.00","N/A",NA,"8.00","7.00","BOLGA",2009-12-05
"36.0","54.0","69.0","64.0","62.0","25.0","99.0",NA," 8.0",NA,"29.0",NA,"13.5","80.0","70.0","92.0",NA,NA,"10.0"," 6.0","WA",2009-12-05
