"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 45"," 59"," 63"," 84"," 85"," 24"," 90"," 45","  8"," 11"," 26","300","100","102","117","132"," 16"," 20","  7","  6","ACCRA",2009-10-17
" 54"," 74"," 65"," 95",NA," 40","100"," 40","  6"," 10"," 30","200","100",NA,"113","120"," 30"," 20","  7","  6","TEMA",2009-10-17
" 52"," 70"," 60"," 90"," 85"," 35","160"," 45","  6","  8"," 20","220"," 80","150","160","140"," 18"," 15","  6","  5","SEKTDI",2009-10-17
" 39.0"," 70.0"," 65.0"," 85.0"," 85.0"," 20.0","100.0",NA,"  3.2","  7.8"," 27.0","280.0","100.0","100.0","134.0"," 95.0"," 20.0"," 25.0","  2.5","  5.0","KDUA",2009-10-17
" 46.00"," 55.00"," 67.00"," 85.00"," 90.00"," 16.96","162.00"," 53.00","  4.00","  7.00"," 32.00","120.00","120.00"," 80.00","120.00","130.00"," 12.00"," 10.00","  5.00","  5.00","CCOAST",2009-10-17
" 48.00"," 60.00"," 67.00"," 85.00"," 95.00"," 13.57","120.00"," 63.50","  6.30","  6.00"," 20.00","100.00","100.00"," 83.50","100.00"," 95.00"," 10.00"," 12.50","  3.80","  5.00","MKESSIM",2009-10-17
" 38.0"," 55.0"," 70.0"," 70.0"," 68.0"," 10.0"," 90.0"," 23.0","  2.2","  5.0"," 20.0","210.0"," 80.0","120.0"," 80.0"," 95.0",NA," 20.0","  2.5","  5.0","KUMASI",2009-10-17
" 35"," 62"," 70"," 72"," 72","  9","140"," 25","  3","  5"," 20","210"," 70"," 60"," 80"," 90"," 12",NA,"  5","  5","EJURA",2009-10-17
" 60.0"," 38.0"," 69.0"," 80.0"," 85.0"," 10.0","110.0"," 30.0","  4.5"," 10.0"," 17.0","120.0"," 60.0"," 96.0","100.0","120.0",NA," 30.0","  4.0","  5.0","OBUASI",2009-10-17
" 32.0"," 42.5"," 63.4"," 70.0"," 72.0"," 30.0"," 75.0"," 36.0","  3.0","  5.0"," 25.0","140.0"," 82.0","100.0"," 90.0"," 90.0"," 14.0"," 20.0","  3.0","  4.7","SUNYANI",2009-10-17
" 32.31"," 42.50"," 70.00"," 63.00"," 76.00"," 20.00"," 95.00"," 45.00","  3.00","  5.00"," 20.57","250.00"," 80.00"," 85.00"," 75.00","110.00"," 18.00"," 20.00","  3.00","  4.50","TMAN",2009-10-17
"45.00","55.00","60.00","85.00",NA,"20.00","100.00","30.00","3.00","5.50","37.00#","224.00","80.00","60.00","153.00","115.00","13.00","23.00","4.00","5.50","HO",2009-10-17
" 36"," 32"," 60","120"," 60"," 13"," 90",NA,"  8","  6"," 28"," 90"," 80"," 45"," 80"," 64",NA,NA,"  9","  5","TAMALE",2009-10-17
"32.00","49.00","52.00","50.00","58.00","60.00","200.00","120.00","20.00","15.00","38.00","190.00","35.00","N/A","68.00","75.00","N/A",NA,"12.00","7.00","BOLGA",2009-10-17
"35.71","57.14","69.00","60.81","62.29","25.00","65.00",NA," 7.00","12.00","28.80",NA,"11.57","66.60","77.86","82.00",NA,NA,"10.00"," 6.00","WA",2009-10-17
