"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 49"," 53"," 63"," 84"," 85"," 24"," 93"," 45","  8"," 10"," 26","315","127"," 95","126","118"," 15"," 21","  7","  6","ACCRA",2009-10-31
" 54"," 74"," 65"," 95"," 95"," 40","150"," 40","  5","  7"," 30","250","120","120","113","120",NA," 22","  7","  6","TEMA",2009-10-31
" 54.0"," 70.0"," 62.0"," 90.0"," 80.0"," 34.0","180.0"," 45.0","  6.0","  8.0"," 22.0","120.0","100.0","100.0","160.0","140.0"," 18.0"," 18.0","  6.0","  5.5","SEKTDI",2009-10-31
" 40.0"," 70.0"," 65.0"," 85.0"," 85.0"," 22.0","100.0",NA,"  3.0","  7.5"," 27.0","280.0"," 45.0","100.0","134.0","115.0"," 20.0"," 25.0","  3.0","  5.0","KDUA",2009-10-31
" 56"," 55"," 67"," 85"," 90"," 20","160"," 50","  4","  7"," 32","100","120"," 70","120","130"," 12"," 10","  5","  5","CCOAST",2009-10-31
" 55.0"," 60.0"," 68.0"," 85.0"," 95.0"," 15.4","125.0"," 66.0","  3.4","  6.0"," 20.0"," 98.0","120.0"," 92.0","110.0","110.0","  9.4"," 13.0","  3.3","  5.0","MKESSIM",2009-10-31
" 42.0"," 60.0"," 68.0"," 70.0"," 66.0"," 12.0"," 95.0"," 22.0","  2.1","  4.6"," 20.0","162.0"," 65.0"," 68.0"," 80.0","100.0","  8.5"," 18.0","  2.4","  5.0","KUMASI",2009-10-31
" 65"," 60"," 70"," 72"," 72"," 10","100"," 25","  4","  6"," 20","195"," 60"," 48"," 80"," 90"," 12",NA,"  6","  5","EJURA",2009-10-31
" 60"," 35"," 68"," 80"," 85"," 10","110"," 30","  4"," 10"," 17","140"," 55"," 48","100","120"," 12"," 30","  4","  5","OBUASI",2009-10-31
" 32.0"," 42.5"," 64.0"," 70.0"," 72.0"," 25.0"," 85.0"," 36.0","  2.4","  4.0"," 25.0","125.0"," 40.0","100.0"," 90.0"," 95.0"," 17.5"," 20.0","  2.5","  4.6","SUNYANI",2009-10-31
" 30.40"," 42.50"," 70.00"," 70.00"," 65.00"," 18.00"," 90.00"," 45.00","  3.00","  5.00"," 20.57","210.00"," 40.00"," 84.00"," 65.00","110.00"," 18.00"," 20.00","  3.00","  4.50","TMAN",2009-10-31
"42.00","55.00","62.00","85.00",NA,"20.00","90.00","35.00","3.00","5.00","40.00#","200.00","85.00","60.00","153.00","119.00","11.00","23.00","4.00","6.00","HO",2009-10-31
"40.0","32.0","70.0","80.0","72.0","22.0","90.0",NA," 8.0"," 7.0","28.0","68.0","80.0","38.0","60.0","88.0",NA,NA,"15.0"," 5.5","TAMALE",2009-10-31
"32.00","50.00","52.00","50.00","53.00","20.00","150.00",NA,"20.00","15.00","N/A","125.00","20.00","N/A","68.00","75.00","N/A",NA,"8.00","7.00","BOLGA",2009-10-31
"35.7","53.5","69.0","64.3","62.3","25.0","83.0",NA," 8.0",NA,"28.8",NA,"13.5","46.7","77.9","82.0",NA,NA,"10.0"," 6.0","WA",2009-10-31
