"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"86.00","154.00","76.00","162.00","105.00","N/A","139.00","140.00","70.00","290.00","80.00","10.00","12.00","46.00","265.00","73.00","177.00","365.00","294.00","290.00","30.00","38.00","10.00","9.00","ACCRA",2013-01-05
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","85.00","400.00","140.00","8.00","10.00","N/A","300.00","150.00","150.00","350.00","250.00","253.00","100.00","50.00","10.00","9.00","TEMA",2013-01-05
"100.00","130.00","120.00","160.00","120.00","100.00","180.00","180.00","80.00","320.00","100.00","8.00","15.00","45.00","N/A","130.00","90.00","420.00","200.00","300.00","45.00","40.00","10.00","9.00","SEKTDI",2013-01-05
"88.00","N/A","N/A","80.00","58.00","N/A","200.00","130.00","50.00","280.00","80.00","13.00","16.00","50.00","280.00","120.00","280.00","350.00","280.00","320.00","40.00","50.00","10.00","10.00","KDUA",2013-01-05
"100","100"," 85","160","100"," 90","150","160"," 45","270","230"," 14"," 17"," 42","140","105","200","400","250","280"," 15"," 25","  6","  8","CCOAST",2013-01-05
"110.0","100.0"," 90.0","185.0","110.0"," 90.0","165.0","170.0"," 37.0","280.0","190.0","  6.5"," 11.0"," 50.0","140.0"," 68.0","200.0","400.0","240.0","270.0"," 35.0"," 26.0","  8.0","  8.6","MKESSIM",2013-01-05
" 80.0"," 70.0"," 73.0","164.0","110.0"," 90.0","110.0","100.0"," 42.0","230.0"," 90.0","  6.0"," 13.0"," 50.0","132.0"," 56.0"," 60.0","360.0","160.0","300.0"," 35.0"," 45.0","  4.5","  8.0","KUMASI",2013-01-05
"50.00","75.00","90.00","160.00","150.00","120.00","140.00","100.00","25.00","220.00","200.00","7.00","8.00","26.00","100.00","30.00","90.00","360.00","140.00","220.00","30.00","N/A","17.00","8.00","EJURA",2013-01-05
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 30.0"," 92.0"," 40.0"," 70.0","430.0","240.0","230.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2013-01-05
" 56.0"," 73.0"," 73.0","160.0","111.0"," 85.0","150.0","110.0"," 80.0","180.0","140.0","  6.0","  7.0"," 62.0","100.0"," 60.0"," 70.0","450.0","210.0","240.0"," 50.0"," 60.0","  6.0","  7.5","SUNYANI",2013-01-05
" 46"," 75"," 75","170","110"," 60","150"," 90"," 36","300","100","  8"," 10"," 36","170"," 52"," 44","185","160","240"," 30"," 37","  4"," 10","TMAN",2013-01-05
"90.00","120.00","70.00","145.00","85.00","90.00","N/A","181.00","43.00","240.00","N/A","6.00","N/A","72.00","240.00","N/A","85.00","N/A","327.00","246.00","50.00","55.00","8.00","9.50","HO",2013-01-05
"54.00","67.00","65.00","80.00","120.00","120.00","118.00","78.00","58.00","100.00","N/A","10.00","15.00","43.00","67.00","40.00","90.00","300.00","200.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2013-01-05
"55.00","93.00","75.00","125.00","90.00","70.00","120.00","92.00","N/A","180.00","N/A","10.00","12.00","30.00","N/A","N/A","140.00","240.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2013-01-05
"54.00","90.00","N/A","170.00","110.00","66.00","125.00","97.00","50.00","160.00","N/A","20.00","N/A","57.00","320.00","100.00","38.00","458.00","195.00","222.00","N/A","N/A","35.00","8.00","WA",2013-01-05
