"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"91.00","125.50","89.00","184.00","126.00","N/A","141.00","173.00","68.00","265.00","137.00","10.00","12.00","56.00","270.00","113.00","190.00","215.00","233.00","315.00","40.00","47.00","15.00","10.00","ACCRA",2014-01-25
"80.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00",NA,"N/A","8.00","10.00","68.00","250.00","150.00","140.00","180.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-01-25
"100","140","120","200","120","100","200","180"," 75","350","170","  8"," 15"," 54",NA,"150","300","200","250","300"," 50"," 40"," 12","  9","SEKTDI",2014-01-25
"100"," 55",NA,"130"," 99",NA,"140","140"," 40","300","150"," 10"," 20"," 70","350","120","180","150","240","300"," 48"," 60","  7"," 10","KDUA",2014-01-25
"100"," 85","100","120","180"," 90","160","170"," 44","260","300","  8"," 25"," 55","100"," 70","240","270","270","260"," 18"," 22","  7","  8","CCOAS",2014-01-25
"110.0","110.0","100.0","190.0","125.0"," 95.0","165.0","165.0"," 30.0","280.0","165.0","  6.5"," 13.5"," 58.0","130.0"," 64.0","230.0","200.0","270.0","275.0"," 35.0"," 26.0","  9.0","  9.0","MKESSI",2014-01-25
" 95"," 55"," 50","196","130"," 90","110"," 98"," 32","265"," 70","  5"," 16"," 60","120"," 68"," 90","170","150","240"," 32"," 65","  4","  8","KUMASI",2014-01-25
" 42"," 80"," 70","160","150"," 80","120"," 90"," 20","108","250","  8"," 10"," 52","100"," 35"," 50","350","290","270"," 40",NA," 12","  7","EJUR",2014-01-25
" 80"," 65"," 65"," 92"," 83","100","160","198"," 30","300","100","  7"," 12"," 45","100"," 60","200","170","265","260"," 10"," 40","  7","  8","OBUASI",2014-01-25
"68.00","75.00","75.00","189.00","104.00","N/A","130.00","140.00","60.00","180.00","135.00","4.00","4.00","48.00","120.00","96.00","140.00","180.00","180.00","240.00","50.00","65.00","7.00","8.00","UNYAN",2014-01-25
" 58"," 85"," 85","180","140"," 70","190"," 90"," 35","280"," 92","  9"," 10"," 68","140"," 40"," 40"," 81","160","260"," 47"," 35","  5","  8","TMAN",2014-01-25
" 70.0"," 62.5"," 62.5","110.0"," 84.0"," 90.0","220.0","200.0"," 30.0","300.0","120.0","  8.0"," 10.0"," 80.0","180.0","140.0","260.0","390.0","390.0","440.0"," 25.0",NA," 22.0","  9.0","HO",2014-01-25
"60.00","60.00","80.00","170.00","140.00","60.00","100.00","80.00","55.00","200.00","N/A","15.00","20.00","43.00","67.00","N/A","150.00","250.00","260.00","80.00","N/A","N/A","20.00","9.00","TAMAL",2014-01-25
"64.00","90.00","70.00","150.00","130.00","66.00","90.00","95.00","N/A","180.00","N/A","16.00","14.00","40.00","30.00","N/A",NA,"70.00","200.00","180.00","270","N/A","N/A","10.00","BOLGA",2014-01-25
"54.00","98.00","N/A","170.00","110.00","54.00","107.00","101.00","N/A","160.00","N/A","30.00","N/A","84.00","347.00","100.00","48.00","480.00","175.00","222.00","N/A","N/A","19.00","10.00","WA",2014-01-25
