"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
" 84","118"," 87","177","116",NA,"138","149"," 65","245","127"," 12"," 15"," 57","185"," 69","150","230","270","276"," 60"," 50"," 10","  9","ACCRA",2014-01-04
"80.00","N/A","N/A","195.00","132.00","N/A","147.00","N/A","80.00","230.00","N/A","10.00","12.00","60.00","250.00","150.00","150.00","280.00","220.00","233.00","50.00","65.00","12.00","10.00","TEMA",2014-01-04
"100","130","120","170","120","100","170","160"," 70","350","170"," 12"," 15"," 38",NA,"150","150","320","340","280"," 50"," 35"," 12","  9","SEKTDI",2014-01-04
"92.00",NA,"110.00","220.00","130.00","N/A","140.00","140.00","40.00","300.00","150.00","10.00","20.00","55.00","400.00","200.00","280.00","270.00","240.00","300.00","40.00","65.00","7.00","10.00","KDUA",2014-01-04
" 89","100"," 85","170","110"," 90","160","170"," 45","280","300"," 24"," 32"," 50","100"," 60","170","280","270","260"," 15"," 22"," 10","  8","CCOAS",2014-01-04
" 90.0"," 97.0"," 83.0","187.0","120.0"," 94.0","165.0","170.0"," 24.0","270.0","157.0","  5.0","  9.0"," 50.0","140.0"," 72.0","170.0","230.0","245.0","265.0"," 33.0"," 26.0"," 10.0","  8.8","MKESSI",2014-01-04
" 80.0"," 83.0"," 80.0","176.0","122.0"," 90.0","120.0","100.0"," 40.0","260.0"," 90.0","  8.5"," 20.0"," 80.0","130.0"," 60.0","120.0","240.0","160.0","250.0"," 24.0"," 60.0","  4.0","  9.0","KUMASI",2014-01-04
" 42"," 80"," 70","160","150"," 80","120"," 90"," 20","108","250","  8"," 10"," 52","100"," 35"," 50","350","290","270"," 40",NA," 12","  8","EJUR",2014-01-04
" 90"," 60"," 60","120"," 78"," 70","100","160"," 20","300","100","  7"," 12"," 49","145"," 75","140","140","300","240"," 24",NA,"  5","  8","OBUASI",2014-01-04
"72.00","75.00","75.00","180.00","99.00","N/A","130.00","180.00","60.00","200.00","135.00","4.00","5.00","48.00","125.00","100.00","160.00","200.00","200.00","240.00","50.00","65.00","8.00","8.00","SUNYANI",2014-01-04
" 54"," 85"," 85","180","135"," 70","105","120"," 30","200"," 90"," 10"," 15"," 60","175"," 40"," 44","146","150","240"," 32"," 45","  5","  8","TMAN",2014-01-04
" 60","125"," 80","140"," 84"," 90","119","120"," 45","300","120"," 10"," 18"," 30","180","140"," 80","360","294","246"," 25",NA," 15","  8","HO",2014-01-04
" 75"," 85"," 83","176","120"," 92","120","110"," 40","230",NA," 11"," 28"," 55","135"," 60"," 90","380","160","250"," 24"," 52","  5","  8","TAMAL",2014-01-04
"56.00","90.00","65.00","150.00","120.00","60.00","110.00","100.00","N/A","180.00","N/A","15.00","12.00","30.00","N/A","N/A","150.00","300.00","160.00","240.00","N/A","N/A","N/A","10.00","BOLGA",2014-01-04
"54.00","98.00","N/A","170.00","110.00","54.00","107.00","101.00","N/A","160.00","N/A","30.00","N/A","84.00","347.00","100.00","48.00","480.00","175.00","222.00","N/A","N/A","19.00","10.00","WA",2014-01-04
