"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"97.00","127.00","89.00","180.00","133.00","N/A","133.00","173.00","71.00","278.00","145.00","10.00","12.00","57.00","270.00","95.00","145.00","155.00","280.00","305.00","40.00","47.00","15.00","10.00","ACCRA",2014-02-22
"108.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00","N/A","N/A","8.00","N/A","68.00","250.00","150.00","240.00","160.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-02-22
"100","140","120","200","150","100","160","150"," 70","380","170"," 14"," 18"," 54","350","120","300","180","270","300"," 60"," 40"," 12"," 10","SEKTDI",2014-02-22
"104.00","N/A","110.00","100.00","65.00","N/A","140.00","140.00","40.00","400.00","150.00","N/A","18.00","70.00","350.00","160.00","250.00","180.00","240.00","300.00","40.00","45.00","12.00","10.00","KDUA",2014-02-22
"110"," 85","100","180","120"," 90","160","170"," 43","270","300","  9"," 20"," 55","100"," 70","250","170","270","280"," 18"," 20","  7","  8","CCOAS",2014-02-22
"110"," 85","100","180","120"," 90","160","170"," 44","270","300","  9"," 19"," 55","100"," 70","280","170","270","280"," 18"," 20","  7","  8","MKESSI",2014-02-22
" 96.0","110.0","100.0","200.0","140.0","100.0","100.0"," 95.0"," 34.0","250.0"," 70.0","  7.5"," 17.0"," 65.0","120.0"," 64.0"," 95.0","165.0","160.0","250.0"," 32.0"," 60.0","  6.0","  9.0","KUMASI",2014-02-22
"51.00","90.00","80.00","210.00","200.00","90.00","190.00","90.00","30.00","220.00","300.00","14.00","16.00","60.00","200.00","250.00","190.00","270.00","200.00","300.00","N/A","N/A","20.00","8.00","EJUR",2014-02-22
"100"," 65"," 65"," 92"," 83","100"," 90"," 95"," 30","300"," 70","  4","  7"," 50","150","140","200","160","150","250"," 10"," 30","  7","  8","OBUASI",2014-02-22
"64.00","75.00","75.00","204.00","123.00","N/A","140.00","140.00","30.00","180.00","135.00","3.00","4.00","48.00","125.00","160.00","200.00","160.00","180.00","240.00","30.00","65.00","7.00","8.00","UNYAN",2014-02-22
" 50"," 85"," 85","185","145"," 60","100","100"," 30","300","100","  6","  8"," 62","130"," 60","120"," 91","160","250"," 29"," 35","  5","  8","TMAN",2014-02-22
"70.00","63.00","63.00","110.00","84.00","90.00","220.00","200.00","30.00","300.00","120.00","8.00","10.00","80.00","180.00","140.00","260.00","390.00","390.00","440.00","25.00","N/A","22.00","9.00","HO",2014-02-22
"60.00","72.00","64.00","200.00","150.00","60.00","100.00","80.00","70.00","120.00","N/A","15.00","20.00","57.00","80.00","N/A","180.00","150.00","220.00","260.00","N/A","N/A","10.00","15.00","TAMAL",2014-02-22
"64.00","90.00","75.00","150.00","120.00","66.00","90.00","100.00","N/A","190.00","N/A","16.00","14.00","30.00","N/A","N/A","45.00","200.00","180.00","270.00","N/A","N/A","N/A","10.00","BOLGA",2014-02-22
"64.50","98.00","N/A","170.00","110.00","73.00","107.00","97.00","60.00","190.00","N/A","20.00","N/A","84.00","427.00","100.00","60.00","260.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-02-22
