"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"97.00","126.50","85.00","177.00","113.00","N/A","137.00","170.00","88.00","300.00","158.00","14.00","16.00","57.00","240.00","60.00","130.00","200.00","283.00","303.00",NA,"52.00","13.00","10.00","ACCRA",2014-02-01
"80.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00",NA,"N/A","10.00","10.00","68.00","250.00","N/A","200.00","160.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-02-01
"100.00","140.00","120.00","200.00","120.00","100.00","200.00","180.00","75.00","350.00","170.00","8.00","15.00","54.00","N/A","150.00","300.00","200.00","250.00","300.00","50.00","40.00","12.00","9.00","SEKTDI",2014-02-01
"100.00",NA,"110.00","120.00","100.00","N/A","140.00","140.00","40.00","350.00","150.00","10.00","22.00","70.00","350.00","120.00","250.00","180.00","240.00","300.00","40.00","50.00","7.00","10.00","KDUA",2014-02-01
"110"," 85","100","180","120"," 90","160","170"," 45","270","300","  8"," 18"," 55","110"," 70","250","170","270","280"," 18"," 20","  7","  8","CCOAS",2014-02-01
"110.0"," 97.5"," 85.0","195.0","125.0"," 95.0","165.0","165.0"," 29.5","300.0","160.0","  6.5"," 13.0"," 57.0","165.0"," 74.0","250.0","150.0","275.0","290.0"," 32.0"," 27.0","  9.5","  9.5","MKESSI",2014-02-01
" 95.0","110.0","100.0","196.0","130.0"," 95.0","110.0","100.0"," 35.0","270.0"," 80.0","  6.0"," 15.0"," 60.0","120.0"," 70.0","100.0","180.0","160.0","250.0"," 32.0"," 60.0","  4.5","  8.0","KUMASI",2014-02-01
" 51"," 80"," 70","160","150"," 80","120"," 90"," 20","108","250","  8"," 10"," 52","100"," 35"," 50","350","290","270"," 40",NA," 12","  7","EJUR",2014-02-01
"100"," 65"," 65"," 92"," 83","100","160","198"," 30","300"," 70","  5","  9"," 45","100"," 80","200","170","280","260"," 10"," 40","  7","  8","OBUASI",2014-02-01
"64.00","75.00","75.00","213.00","108.00","N/A","140.00","140.00","50.00","180.00","135.00","4.00","4.00","48.00","125.00","60.00","160.00","160.00","180.00","240.00","40.00","65.00","6.00","8.00","UNYAN",2014-02-01
" 58"," 85"," 85","180","140"," 70","190"," 90"," 35","280"," 92","  9"," 10"," 68","140"," 40"," 40"," 81","160","260"," 47"," 35","  5","  8","TMAN",2014-02-01
" 70"," 63"," 63","110"," 84"," 90","220","200"," 30","300","120","  8"," 10"," 80","180","140","260","390","390","440"," 25",NA," 22","  9","HO",2014-02-01
"60.00","60.00","80.00","170.00","140.00","60.00","100.00","80.00","55.00","200.00","N/A","15.00","20.00","43.00","67.00","N/A","150.00","250.00","200.00","260.00","N/A","N/A","20.00","9.00","TAMAL",2014-02-01
"64.00","90.00","70.00","150.00","130.00","66.00","90.00","95.00","N/A","180.00","N/A","16.00","14.00","30.00","N/A","N/A","70.00","200.00","180.00","270.00","N/A","N/A","N/A","10.00","BOLGA",2014-02-01
"54.00","98.00","N/A","170.00","110.00","54.00","107.00","101.00","N/A","160.00","N/A","30.00","N/A","84.00","347.00","100.00","48.00","480.00","175.00","222.00","N/A","N/A","19.00","10.00","WA",2014-02-01
