"Maize","Rice Local (Perfumed)","Rice Local (Non-perfume","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"109.00","122.00","95.00","169.00","146.00","N/A","140.00","167.00","65.00","265.00","192.00","11.00","13.00","56.00","225.00","100.00","307.00","163.00","304.00","340.00","30.00","47.00","14.00","10.00","ACCRA",2014-05-10
"108.00","N/A","N/A","195.00","150.00","N/A","170.00","N/A","60.00","N/A","100.00","N/A","N/A","65.00","250.00","150.00","450.00","260.00","288.00","360.00","50.00","65.00","12.00","10.00","TEMA",2014-05-10
"110","150","130","210","180","130","200","180"," 65","400","200"," 12"," 15"," 60","350","120","400","300","300","350"," 60"," 45"," 14","  9","SEKTDI",2014-05-10
"150.00","N/A","N/A","100.00","65.00","N/A","140.00","140.00","35.00","440.00","200.00","12.00","22.00","70.00","350.00","240.00","550.00","230.00","240.00","300.00","40.00","60.00","8.00","10.00","KDUA",2014-05-10
"120","100"," 95","190","120"," 90","160","170"," 44","350","300"," 13"," 20"," 55","110"," 70","350","200","280","300"," 20"," 40","  9","  8","CCOAS",2014-05-10
"140.0","125.0","100.0","200.0","130.0"," 98.0","175.0","180.0"," 34.0","400.0","220.0","  9.5"," 16.0"," 52.0","200.0","130.0","460.0","260.0","300.0","320.0"," 33.0"," 28.0","  9.5","  9.6","MKESSI",2014-05-10
"100","115","110","220","185","120","125","110"," 35","240"," 90","  8"," 20"," 52","140","162","350","170","170","280"," 32"," 60","  5"," 10","KUMASI",2014-05-10
"91.00","85.00","75.00","190.00","170.00","80.00","100.00","95.00","30.00","320.00","310.00","8.00","10.00","50.00","210.00","130.00","150.00","200.00","270.00","380.00","30.00","N/A","20.00","9.00","EJURA",2014-05-10
"120"," 70"," 70","120","100","100","100","100"," 30","500"," 90"," 15"," 25"," 40","175","160","360","160","250","270"," 18"," 40"," 10","  9","OBUAS",2014-05-10
"72.00","75.00","75.00","205.00","114.00","N/A","140.00","140.00","25.00","220.00","90.00","5.00","6.00","48.00","150.00","200.00","250.00","180.00","200.00","260.00","30.00","65.00","15.00","8.00","UNYAN",2014-05-10
"50.00","85.00","85.00","185.00","145.00","60.00","95.00","100.00","30.00","260.00","80.00","7.00","8.00","62.00","170.00","50.00","100.00","73.00","160.00","250.00","32.00","N/A","20.00","8.00","TMAN",2014-05-10
"160.00","93.00","70.00","150.00","110.00","N/A","149.00","153.00","90.00","450.00","91.00","14.00","11.00","80.00","148.00","66.00","400.00","140.00","305.00","410.00","40.00","72.00","24.00","9.00","HO",2014-05-10
"80.00","70.00","90.00","196.00","146.00","70.00","100.00","84.00","80.00","117.00","N/A","15.00","20.00","57.00","91.00","N/A","450.00","155.00","270.00","280.00","30.00","N/A","N/A","10.00","TAMAL",2014-05-10
"75.00","100.00","80.00","120.00","100.00","60.00","100.00","100.00","N/A","190.00","N/A","12.00","15.00","30.00","N/A","N/A","100.00","200.00","200.00","290.00","N/A","N/A","N/A","10.00","BOLGA",2014-05-10
"61.00","107.00","N/A","170.00","110.00","91.00","107.00","97.00","63.00","220.00","N/A","20.00","N/A","84.00","N/A","167.00","75.00","180.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-05-10
