"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"102.00","128.00","91.00","180.00","113.00","N/A","142.00","173.00","91.00","310.00","175.00","11.00","13.00","58.00","275.00","88.00","144.00","163.00","295.00","318.00","40.00","51.00","12.00","10.00","ACCRA",2014-03-01
"108.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","60.00","N/A","N/A","8.00","N/A","68.00","250.00","150.00","250.00","170.00","240.00","360.00","50.00","65.00","10.00","10.00","TEMA",2014-03-01
"100","140","120","200","150","100","160","150"," 70","380","170"," 14"," 18"," 54","350","120","300","180","270","300"," 60"," 40"," 12"," 10","SEKTDI",2014-03-01
"104.00","N/A","110.00","100.00","65.00","N/A","140.00","140.00","40.00","400.00","150.00","N/A","18.00","70.00","350.00","160.00","250.00","180.00","240.00","300.00","40.00","45.00","12.00","10.00","KDUA",2014-03-01
"110"," 85","100","120","180"," 90","160","170"," 43","270","300","  9"," 20"," 55","100"," 70","250","170","270","280"," 18"," 20","  7","  8","CCOAS",2014-03-01
"110"," 85","100","120","180"," 90","160","170"," 44","270","300","  9"," 19"," 55","100"," 70","280","170","270","280"," 18"," 20","  7","  8","MKESSI",2014-03-01
" 96.0","110.0","100.0","200.0","142.0","110.0","110.0","100.0"," 35.0","260.0"," 75.0","  8.0"," 17.0"," 65.0","124.0"," 66.0"," 90.0","160.0","160.0","250.0"," 34.0"," 55.0","  5.5","  9.0","KUMASI",2014-03-01
"61.00","80.00","60.00","200.00","180.00","120.00","90.00","90.00","30.00","220.00","300.00","8.00","9.00","60.00","200.00","250.00","190.00","270.00","200.00","130.00","40.00","N/A","20.00","8.50","EJUR",2014-03-01
"100"," 65"," 65"," 92"," 83","100"," 90"," 95"," 30","300"," 70","  4","  7"," 50","150","140","200","160","150","250"," 10"," 30","  7","  8","OBUASI",2014-03-01
"64.00","75.00","75.00","206.00","102.00","N/A","140.00","140.00","30.00","180.00","135.00","3.00","3.50","48.00","125.00","120.00","250.00","180.00","180.00","240.00","30.00","65.00","8.00","8.00","UNYAN",2014-03-01
" 50"," 85"," 85","185","145"," 60","100","100"," 30","300","100","  6","  8"," 62","130"," 60","120"," 91","160","250"," 29"," 35","  6","  8","TMAN",2014-03-01
"70.00","63.00","63.00","110.00","84.00","90.00","220.00","200.00","40.00","300.00","120.00","10.00","10.00","80.00","180.00","140.00","250.00","180.00","390.00","500.00","25.00","N/A","20.00","8.00","HO",2014-03-01
"60.00","72.00","64.00","247.00","150.00","60.00","100.00","80.00","60.00","150.00","N/A","16.00","20.00","57.00","96.00","N/A","140.00","140.00","200.00","260.00","N/A","N/A","20.00","10.00","TAMAL",2014-03-01
"64.00","90.00","75.00","150.00","120.00","60.00","100.00","100.00","N/A","200.00","N/A","16.00","14.00","30.00","N/A","N/A","60.00","180.00","180.00","280.00","N/A","N/A","N/A","10.00","BOLGA",2014-03-01
"61.00","98.00","N/A","170.00","110.00","80.00","107.00","97.00","63.00","250.00","N/A","20.00","N/A","84.00","427.00","150.00","78.00","210.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-03-01
