"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
" 91.0","125.5"," 89.0","184.0","126.0",NA,"141.0","173.0"," 68.0","265.0","137.0"," 10.0"," 12.0"," 56.0","270.0","113.0","190.0","215.0","233.0","315.0"," 40.0"," 47.0"," 15.0"," 10.0","ACCRA",2014-01-18
"80.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00",NA,"N/A","8.00","10.00","68.00","250.00","150.00","140.00","180.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-01-18
"100","140","120","200","120","100","200","180"," 75","350","170","  8"," 15"," 54",NA,"150","300","200","250","300"," 50"," 40"," 12","  9","SEKTDI",2014-01-18
"100"," 55",NA," 65"," 99",NA,"140","140"," 40","300","150"," 10"," 20"," 70","350","120","180","150","240","300"," 48"," 60","  7"," 10","KDUA",2014-01-18
"100"," 85","100","120","180"," 90","160","170"," 44","260","300","  8"," 25"," 55","100"," 70","240","270","270","260"," 18"," 22","  7","  8","CCOAS",2014-01-18
"110.0"," 97.5"," 85.0","190.0","125.0"," 95.0","165.0","165.0"," 27.0","280.0","190.0","  6.0"," 12.5"," 58.0","110.0"," 62.0","200.0","240.0","270.0","275.0"," 34.0"," 25.0","  7.6","  9.0","MKESSI",2014-01-18
" 90.0","110.0","100.0","196.0","130.0"," 95.0","100.0"," 95.0"," 40.0","270.0"," 70.0","  5.5"," 14.0"," 60.0","110.0"," 56.0"," 60.0","180.0","160.0","250.0"," 32.0"," 60.0","  4.5","  8.0","KUMASI",2014-01-18
" 42"," 80"," 70","160","150"," 80","120"," 90"," 20","108","250","  8"," 10"," 52","100"," 35"," 50","350","290","270"," 40",NA," 12","  7","EJUR",2014-01-18
" 80"," 65"," 65"," 92"," 83","100","160","198"," 30","300","100","  7"," 12"," 45","100"," 60","200","170","265","260"," 10"," 40","  7","  8","OBUASI",2014-01-18
"68.00","75.00","75.00","189.33","103.50","NIL","130.00","140.00","60.00","180.00","135.00","4.00","4.00","48.00","120.00","96.00","140.00","180.00","180.00","240.00","50.00","65.00","7.00","8.00","UNYAN",2014-01-18
" 58"," 85"," 85","180","140"," 70","190"," 90"," 35","280"," 92","  9"," 10"," 68","140"," 40"," 40"," 81","160","260"," 47"," 35","  5","  8","TMAN",2014-01-18
" 70.0"," 62.5"," 62.5","110.0"," 84.0"," 90.0","220.0","200.0"," 30.0","300.0","120.0","  8.0"," 10.0"," 80.0","180.0","140.0","260.0","390.0","390.0","440.0"," 25.0",NA," 22.0","  9.0","HO",2014-01-18
"60.00","60.00","80.00","170.00","140.00","60.00","100.00","80.00","55.00","200.00","NIL","15.00","20.00","43.00","67.00","NIL","150.00","250.00","260.00","80.00",NA,"NIL","20.00","9.00","TAMAL",2014-01-18
"56.00","90.00","65.00","150.00","120.00","60.00","110.00","100.00","N/A","180.00","N/A","15.00","12.00","30.00","N/A","N/A","150.00","300.00","160.00","240.00","N/A","N/A","N/A","10.00","BOLGA",2014-01-18
"54.00","98.00","N/A","170.00","110.00","54.00","107.00","101.00","N/A","160.00","N/A","30.00","N/A","84.00","347.00","100.00","48.00","480.00","175.00","222.00","N/A","N/A","19.00","10.00","WA",2014-01-18
