"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"97.00","127.00","89.00","180.00","133.00","N/A","133.00","173.00","71.00","278.00","145.00","10.00","12.00","57.00","270.00","95.00","145.00","155.00","280.00","305.00","40.00","47.00","15.00","10.00","ACCRA",2014-02-15
"108.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00","N/A","N/A","8.00","N/A","68.00","250.00","150.00","240.00","160.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-02-15
"100","140","120","200","150","100","160","150"," 70","380","170"," 14"," 18"," 54","350","120","300","180","270","300"," 60"," 40"," 12"," 10","SEKTDI",2014-02-15
"100.00","N/A","110.00","100.00","65.00","N/A","140.00","140.00","40.00","350.00","150.00","10.00","18.00","70.00","350.00","120.00","250.00","150.00","240.00","300.00","40.00","45.00","7.00","10.00","KDUA",2014-02-15
"110"," 85","100","180","120"," 90","160","170"," 43","270","300","  9"," 20"," 55","100"," 70","250","170","270","280"," 18"," 20","  7","  8","CCOAS",2014-02-15
"110"," 85","100","120","180"," 90","160","170"," 44","270","300","  9"," 19"," 55","100"," 70","280","170","270","280"," 18"," 20","  7","  8","MKESSI",2014-02-15
" 96","110","100","200","140","105","110","100"," 35","260"," 80","  7"," 17"," 65","120"," 60","100","170","165","260"," 30"," 60","  6","  9","KUMASI",2014-02-15
"51.00","80.00","70.00","160.00","150.00","80.00","120.00","90.00","20.00","108.00","250.00","8.00","10.00","52.00","100.00","35.00","50.00","350.00","290.00","270.00","40.00","N/A","12.00","7.00","EJUR",2014-02-15
"110"," 65"," 65"," 92"," 83","100","160","198"," 30","340"," 70","  4","  7"," 50","100"," 80","200","160","240","270"," 10"," 30","  7","  8","OBUASI",2014-02-15
"64.00","75.00","75.00","206.00","125.00","N/A","140.00","140.00","40.00","180.00","140.00","3.50","4.00","48.00","125.00","100.00","180.00","160.00","180.00","240.00","40.00","60.00","6.00","8.00","UNYAN",2014-02-15
" 50"," 85"," 85","185","145"," 60","100","110"," 36","270","100","  6","  8"," 62","130"," 60","125"," 63","160","250"," 40"," 35","  5","  8","TMAN",2014-02-15
"70.00","63.00","63.00","110.00","84.00","90.00","220.00","200.00","30.00","300.00","120.00","8.00","10.00","80.00","180.00","140.00","260.00","390.00","390.00","440.00","25.00","N/A","22.00","9.00","HO",2014-02-15
"60.00","60.00","80.00","170.00","140.00","60.00","100.00","80.00","55.00","200.00","N/A","15.00","20.00","43.00","67.00","N/A","150.00","250.00","200.00","260.00","N/A","N/A","20.00","9.00","TAMAL",2014-02-15
"56.00","90.00","75.00","150.00","120.00","66.00","90.00","100.00","N/A","190.00","N/A","16.00","14.00","30.00","N/A","N/A","45.00","200.00","180.00","270.00","N/A","N/A","N/A","10.00","BOLGA",2014-02-15
"64.50","98.20","N/A","170.00","110.00","73.00","107.00","97.00","60.00","190.00","N/A","20.00","N/A","84.00","427.00","100.00","60.00","260.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-02-15
