"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"44.00","54.50","N/A","74.00","81.00","81.00","24.00","100.00","48.00","8.00","9.00","32.00","157.00","50.00","58.00","121.00","142.00","13.00","27.00","5.00","6.00","ACCRA",2010-10-23
" 50"," 80"," 70"," 70","100","100"," 40","150"," 60","  7"," 15"," 30","200"," 75"," 50","145","170"," 50"," 20","  8","  6","TEMA",2010-10-23
" 50"," 40"," 52"," 58"," 85"," 80"," 29","200"," 65","  6","  9"," 28","180"," 80","100","130","150"," 25"," 22","  6","  7","SEKTDI",2010-10-23
" 48"," 65"," 50"," 56"," 88"," 90"," 24","140"," 65","  4","  5"," 30","200"," 40"," 80","140","130"," 22"," 35","  4","  6","KDUA",2010-10-23
" 56"," 80"," 60","100"," 90"," 90"," 17","180"," 80","  5"," 14"," 28","100"," 90"," 70","120","130"," 15"," 13","  5","  6","CCOAST",2010-10-23
" 40.0"," 46.0"," 58.0"," 72.0"," 82.0"," 95.0"," 14.0","100.0"," 42.0","  3.0","  5.0"," 27.0"," 78.0"," 50.0"," 28.0","120.0","120.0"," 13.0"," 14.0","  3.5","  6.5","MKESSIM",2010-10-23
" 44.0"," 52.0"," 40.0"," 70.0"," 68.0"," 64.0"," 14.0","145.0"," 25.0","  3.0","  6.5"," 22.0","105.0"," 55.0"," 40.0","100.0","105.0"," 10.0"," 20.0","  3.0","  6.5","KUMASI",2010-10-23
"29.00","64.00","50.00","70.00","60.00","55.00","12.00","100.00","50.00","4.00","9.00","24.00","60.00","40.00","40.00","150.00","110.00","20.00","N/A","9.00","5.50","EJURA",2010-10-23
" 50.0"," 40.0"," 60.0"," 70.0","115.0","120.0","  9.5","130.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 65.0"," 40.0","100.0","120.0"," 17.0"," 30.0","  7.0","  5.5","OBUASI",2010-10-23
" 24"," 50",NA," 71"," 80"," 80"," 20","100"," 56","  4","  5"," 32"," 56"," 60"," 50","130","130"," 20"," 25","  5","  5","SUNYANI",2010-10-23
"25.00","41.00",NA,"78.00","57.00","58.00","18.00","140.00","90.00","2.50","5.50","31.00","97.00","28.00","28.00","105.00","110.00","17.00","N/A","5.00","5.00","TMAN",2010-10-23
" 45.0"," 60.0"," 72.0"," 68.0"," 86.0"," 78.0"," 23.0","110.0"," 44.0","  3.0","  3.5"," 37.0","144.0"," 50.0"," 50.0","196.0","156.0"," 22.0"," 30.0","  5.0","  7.0","HO",2010-10-23
"30.00","35.00","27.00","66.00","60.00","60.00","50.00","90.00","N/A","8.00","15.00","30.00","70.00","69.00","60.00","69.00","120.00","30.00","N/A","10.00","7.00","TAMALE",2010-10-23
"30.00","50.00","40.00","60.00","50.00","52.00","40.00","80.00","N/A","N/A","N/A","24.00","70.00","80.00","N/A","111.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-10-23
"39.00","57.00","43.00","69.00","60.00","58.00","35.00","90.00","N/A","9.00","12.00","32.00","186.00","27.00","45.00","117.00","96.00","N/A","N/A","10.00","6.00","WA",2010-10-23
