"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 56"," 64"," 67"," 84"," 88"," 26","178"," 49"," 10"," 13"," 24","230","210"," 95","143","165"," 12"," 27","  7","  7","ACCRA",2010-04-17
" 58"," 79"," 68"," 95","100"," 38","145"," 35","  8"," 18"," 30","235","183","120","138","168"," 35"," 23","  8","  6","TEMA",2010-04-17
" 60"," 70"," 62"," 85"," 80"," 35","180"," 45","  7","  9"," 24","120","200"," 80","120","140"," 18"," 14","  4","  7","SEKTDI",2010-04-17
" 44"," 60"," 55"," 95"," 90"," 24","210",NA,"  8"," 17"," 27","300","100"," 80","140","160"," 20"," 23","  8","  6","KDUA",2010-04-17
" 65"," 55"," 70"," 90"," 90"," 22","170"," 60","  6","  9"," 25","100","120"," 60","120","130"," 15"," 13","  4","  6","CCOAST",2010-04-17
" 85.0"," 60.0"," 74.0"," 90.0","110.0"," 21.0","225.0"," 63.0","  6.0","  8.0"," 18.0"," 97.0","120.0"," 50.0","120.0","130.0"," 12.0"," 15.0","  4.0","  6.5","MKESSIM",2010-04-17
" 38.0"," 50.0"," 70.0"," 70.0"," 60.0"," 20.0","130.0"," 24.0","  2.4","  5.5"," 22.0","168.0","120.0"," 80.0"," 95.0","120.0"," 11.0"," 18.0","  3.5","  6.5","KUMASI",2010-04-17
" 38"," 40"," 65"," 60"," 50"," 10","100"," 30","  3","  5"," 20","150"," 80","100","100","130"," 15",NA,"  6","  6","EJURA",2010-04-17
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","140.0"," 35.0","  6.0"," 11.0"," 17.0","120.0","160.0"," 48.0","100.0","120.0"," 18.0"," 30.0","  5.0","  5.5","OBUASI",2010-04-17
" 36.0"," 42.5"," 65.0"," 70.0"," 70.0"," 30.0","170.0"," 45.0","  4.0","  5.0"," 24.0","120.0","170.0","120.0"," 90.0","108.0"," 20.0"," 25.0","  8.0","  5.0","SUNYANI",2010-04-17
" 33.0"," 42.0"," 75.0"," 60.0"," 60.0"," 32.0","150.0"," 51.0","  4.0","  6.5"," 26.0","150.0","112.0","112.0"," 97.0","108.0"," 18.0"," 17.0","  6.0","  5.0","TMAN",2010-04-17
" 45"," 60"," 60"," 86",NA," 21","150"," 35","  4","  7"," 29","160","180"," 60","153","148"," 15"," 25","  3","  7","HO",2010-04-17
" 34.0"," 32.5"," 52.0"," 58.0"," 58.0"," 28.0","110.0",NA," 10.0",NA," 28.0"," 90.0","140.0"," 50.0"," 60.0","112.0",NA,NA," 10.0","  7.0","TAMALE",2010-04-17
"42.00","50.00","60.00","50.00","52.00",NA,"150.00",NA,NA,NA,"24.00","120.00","130.00",NA,"90.00","100.00","N/A",NA,NA,"7.50","BOLGA",2010-04-17
" 36.0"," 50.0"," 69.0"," 56.0"," 58.0"," 30.0"," 99.0",NA," 20.0",NA," 29.0","267.0"," 48.0","117.0"," 97.0","102.5",NA,NA," 10.0","  6.0","WA",2010-04-17
