"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 51.0"," 57.5"," 67.0"," 87.0"," 88.0"," 24.0","160.0"," 51.0"," 10.0"," 12.0"," 26.0","153.0","103.0"," 85.0","144.0","163.0"," 13.0"," 25.0","  7.0","  7.0","ACCRA",2010-03-27
" 58"," 75"," 67"," 95","100"," 38","185"," 35","  7"," 13"," 30","235","140","120","138","168",NA," 23","  7","  6","TEMA",2010-03-27
" 62"," 70"," 65","105"," 85"," 35","220"," 55","  6","  9"," 25","180","120","120","125","150"," 16"," 15","  5","  7","SEKTDI",2010-03-27
" 44"," 60"," 55"," 95"," 90"," 25","190",NA,"  7"," 15"," 27","300"," 80"," 50","130","150"," 20"," 23","  5","  6","KDUA",2010-03-27
" 80"," 55"," 70"," 90"," 90"," 22","180"," 60","  6"," 12"," 25","170","130"," 60","170","130"," 15"," 13","  5","  6","CCOAST",2010-03-27
" 85.0"," 55.0"," 73.0"," 95.0","110.0"," 19.0","200.0"," 52.5","  4.5","  8.0"," 20.0","100.0","120.0"," 48.0","120.0","130.0","  9.5"," 14.0","  3.5","  6.0","MKESSIM",2010-03-27
" 46.0"," 60.0"," 60.0"," 66.0"," 55.0"," 16.0","110.0"," 26.0","  2.4","  5.5"," 22.0","140.0"," 90.0"," 48.0","100.0","125.0","  9.5"," 14.0","  3.4","  6.0","KUMASI",2010-03-27
" 30"," 50"," 65"," 60"," 60"," 12","100"," 36","  3","  5"," 20","150"," 70"," 48","110","130"," 12",NA,"  6","  6","EJURA",2010-03-27
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","140.0"," 35.0","  7.0"," 11.0"," 17.0","120.0","120.0"," 60.0","100.0","120.0","  9.0"," 30.0","  5.0","  5.5","OBUASI",2010-03-27
" 36.0"," 42.5"," 67.0"," 70.0"," 70.0"," 30.0","160.0"," 45.0","  3.0","  5.0"," 24.0","100.0","120.0","120.0"," 90.0","108.0"," 20.0"," 28.0","  6.0","  5.0","SUNYANI",2010-03-27
" 29.0"," 40.0"," 75.0"," 60.0"," 60.0"," 21.0","120.0"," 35.0","  3.5","  4.0"," 26.0","210.0"," 75.0"," 84.0"," 80.0","120.0"," 18.0"," 22.0","  5.0","  5.0","TMAN",2010-03-27
" 45.0"," 60.0"," 62.0"," 86.0",NA," 21.0","135.0"," 36.0","  4.0","  6.5"," 29.0","176.0","130.0"," 80.0","142.0","148.0"," 15.0"," 30.0","  4.0","  7.0","HO",2010-03-27
" 38"," 32"," 60"," 60"," 60"," 25","120",NA,"  8","  9"," 28"," 90","100"," 45"," 60","104",NA,NA,"  9","  7","TAMALE",2010-03-27
"42.00","50.00","60.00","50.00","52.00",NA,"150.00",NA,NA,NA,NA,"120.00","50.00",NA,"90.00","100.00","N/A",NA,NA,"7.50","BOLGA",2010-03-27
" 36"," 46"," 69"," 64"," 58"," 30"," 99",NA," 20",NA," 29","267"," 35","100"," 86","109",NA,NA," 10","  6","WA",2010-03-27
