"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","63.50","N/A","72.00","80.00","80.00","26.00","137.00","62.00","17.00","24.00","32.00","197.00","69.00","56.00","159.00","145.00","17.00","28.00","7.00","7.00","ACCRA",2010-08-28
"63.00","80.00","60.00","70.00","100.00","100.00","40.00","N/A","N/A","8.00","10.00","30.00","250.00","75.00","60.00","145.00","180.00","50.00","25.00","8.00","6.00","TEMA",2010-08-28
" 62"," 70"," 56"," 58"," 85"," 84"," 26","160"," 52","  8"," 10"," 25","160"," 80"," 60","130","150"," 20"," 18","  6","  7","SEKTDI",2010-08-28
" 50.0"," 65.0"," 50.0"," 56.0"," 95.0"," 90.0"," 24.0","200.0"," 75.0","  7.5"," 10.0"," 30.0","250.0"," 75.0"," 80.0","140.0","160.0"," 22.0"," 25.0","  6.0","  6.0","KDUA",2010-08-28
"67.00","60.00","60.00","70.00","90.00","90.00","19.00","200.00","N/A","6.00","14.00","27.00","100.00","80.00","70.00","120.00","130.00","15.00","13.00","5.00","6.00","CCOAST",2010-08-28
" 67.0"," 52.5"," 62.0"," 72.0"," 85.0","100.0"," 10.0","120.0"," 47.0","  3.4","  5.6"," 28.0"," 70.0"," 37.0"," 16.0","105.0","110.0"," 15.0"," 15.0","  3.2","  6.3","MKESSIM",2010-08-28
" 50.0"," 52.5"," 32.0"," 72.0"," 70.0"," 66.0"," 18.0","145.0"," 26.0","  4.5"," 10.0"," 23.0","102.0"," 65.0"," 36.0","100.0","118.0"," 10.0"," 25.0","  3.2","  6.5","KUMASI",2010-08-28
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","120.00","50.00","8.00","15.00","20.00","120.00","40.00","30.00","110.00","130.00","20.00","N/A","10.00","6.00","EJURA",2010-08-28
" 63.0"," 40.0"," 47.0"," 70.0","115.0","120.0"," 10.0","130.0"," 58.0","  5.5","  7.8"," 19.0","118.0"," 70.0"," 48.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-08-28
" 44.0"," 50.0"," 50.0"," 70.6"," 80.0"," 80.0"," 25.0"," 70.0"," 56.0","  5.0","  7.0"," 24.0"," 68.0"," 55.0"," 30.0","130.0","130.0"," 20.0"," 25.0","  6.0","  5.0","SUNYANI",2010-08-28
" 38.5"," 43.0"," 60.0"," 75.0"," 60.5"," 59.0"," 20.0"," 78.0"," 62.5","  4.4","  8.3"," 26.0","160.0"," 37.0"," 30.8","120.0","120.0"," 26.0"," 25.0","  4.0","  5.0","TMAN",2010-08-28
" 45.0"," 60.0"," 74.0"," 64.0"," 86.0"," 78.0"," 20.0","180.0"," 45.0","  5.5","  6.0"," 37.0","176.0"," 40.0"," 60.0","185.0","156.0"," 17.0"," 30.0"," 10.0","  7.0","HO",2010-08-28
"32.00","30.00","26.00","66.00","60.00","48.00","50.00","120.00","N/A","8.00","20.00","28.00","110.00","90.00","35.00","120.00","110.00","28.00","N/A","8.00","7.00","TAMALE",2010-08-28
"36.00","50.00","45.00","60.00","50.00","52.00","N/A","150.00","N/A","N/A","N/A","24.00","90.00","90.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-08-28
"35.70","53.50","51.10","69.00","57.20","58.40","35.00","90.00","N/A","9.00","N/A","31.00","26.20","13.00","46.00","105.20","116.20","N/A","N/A","10.00","6.00","WA",2010-08-28
