"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 58"," 70"," 73"," 87"," 88"," 25","177"," 50"," 12"," 14"," 25","223","173","102","154","163"," 14"," 27","  8","  7","ACCRA",2010-05-08
" 56"," 78"," 68"," 95","100"," 38","175"," 38","  8"," 17"," 30","235","185","120","138","170"," 40"," 23","  8","  6","TEMA",2010-05-08
" 50.0"," 70.0"," 60.0"," 85.0"," 80.0"," 35.0","160.0"," 40.0","  6.0","  8.0"," 24.0","150.0","200.0","120.0","120.0","140.0"," 16.0"," 15.0","  7.0","  7.5","SEKTDI",2010-05-08
" 45.0"," 60.0"," 55.0"," 95.0"," 90.0"," 24.0","215.0",NA," 10.0"," 19.0"," 27.0","300.0","120.0"," 80.0","140.0","150.0"," 20.0"," 22.0","  9.0","  5.5","KDUA",2010-05-08
" 65"," 60"," 70"," 90"," 90"," 22","180"," 60","  6","  9"," 25","100","160"," 60","120","130"," 15"," 13","  4","  6","CCOAST",2010-05-08
" 85.0"," 60.0"," 74.0"," 97.0","110.0"," 21.0","200.0"," 60.0","  6.5","  9.0"," 19.0","100.0","190.0"," 65.0","120.0","130.0"," 12.0"," 15.0","  4.0","  6.5","MKESSIM",2010-05-08
" 42.0"," 50.0"," 70.0"," 70.0"," 62.0"," 20.0","130.0"," 24.0","  2.6","  5.0"," 22.0","160.0","120.0"," 80.0"," 95.0","120.0"," 10.0"," 18.0","  3.4","  6.5","KUMASI",2010-05-08
" 42"," 40"," 65"," 60"," 60"," 10","100"," 30","  3","  5"," 20","150","100"," 28","110","130"," 15",NA,"  6","  6","EJURA",2010-05-08
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","190.0"," 35.0","  6.0"," 11.0"," 17.0","120.0","150.0"," 48.0","100.0","120.0"," 18.0"," 30.0","  5.0","  5.5","OBUASI",2010-05-08
" 36.0"," 42.5"," 72.0"," 70.0"," 70.0"," 30.0","170.0"," 52.0","  4.5","  6.0"," 24.0","108.0","170.0","100.0"," 90.0","108.0"," 20.0"," 25.0","  8.0","  5.0","SUNYANI",2010-05-08
" 38"," 36"," 70"," 65"," 60"," 17","150"," 51","  4","  7"," 26","210"," 94"," 78"," 95","120"," 25",NA,"  6","  5","TMAN",2010-05-08
" 45"," 60"," 63"," 86",NA," 21","180"," 36","  5","  8"," 29","160","180"," 60","153","148"," 15"," 23","  4","  7","HO",2010-05-08
" 35"," 26"," 64"," 58"," 58"," 40","130",NA,"  8","  9"," 28"," 90","160"," 50"," 60","112",NA,NA," 10","  7","TAMALE",2010-05-08
"42.00","50.00","60.00","50.00","50.00",NA,"150.00",NA,NA,NA,NA,"130.00","160.00",NA,"90.00","100.00","N/A",NA,NA,"7.00","BOLGA",2010-05-08
" 36.0"," 50.0"," 69.0"," 61.0"," 59.0"," 30.0","120.0",NA," 20.0"," 10.0"," 29.0","267.0"," 40.4","116.0"," 93.4","132.5",NA,NA," 10.0","  6.0","WA",2010-05-08
