"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","68.00","N/A","72.00","87.00","88.00","24.00","258.00","51.00","19.00","25.00","27.00","236.00","257.00","93.00","143.00","159.00","19.00","25.00","6.00","6.00","ACCRA",2010-07-10
" 67"," 80"," 60"," 70","100","100"," 40","250"," 45"," 16"," 25"," 30","250","260","120","145","200"," 50"," 25"," 10","  6","TEMA",2010-07-10
" 53"," 60"," 58"," 58"," 90"," 85"," 40","190"," 60"," 10"," 12"," 24","150","150"," 80","130","140"," 17"," 15","  7","  7","SEKTDI",2010-07-10
"62.00","65.00","60.00","55.00","95.00","90.00","23.00","320.00","N/A","10.00","15.00","27.00","300.00","200.00","80.00","140.00","160.00","20.00","28.00","7.00","5.50","KDUA",2010-07-10
" 67"," 60"," 60"," 70"," 90"," 90"," 22","200"," 80","  7"," 15"," 27","100","150"," 70","120","130"," 15"," 15"," 12","  6","CCOAST",2010-07-10
" 75"," 55"," 62"," 72"," 92","110"," 16","280"," 63","  5","  8"," 22"," 82","200"," 24","120","125"," 17"," 14","  5","  6","MKESSIM",2010-07-10
" 50.0"," 53.0"," 63.0"," 70.0"," 72.0"," 65.0"," 15.0","205.0"," 24.0","  2.7","  6.0"," 22.0","180.0","100.0"," 56.0"," 96.0","115.0","  6.0"," 13.0","  3.4","  6.5","KUMASI",2010-07-10
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","150.00","50.00","10.00","20.00","24.00","150.00","50.00","60.00","100.00","120.00","20.00","N/A","11.00","6.00","EJURA",2010-07-10
"70.00","40.00","N/A","70.00","115.00","120.00","10.00","300.00","60.00","6.50","14.00","19.00","120.00","120.00","35.00","100.00","120.00","18.00","25.00","6.00","5.50","OBUASI",2010-07-10
" 40.0"," 50.0"," 80.0"," 72.0"," 80.0"," 80.0"," 30.0","220.0"," 72.0","  8.5"," 12.0"," 24.0"," 96.0","110.0"," 40.0","108.0","130.0"," 20.0"," 25.0","  8.0","  5.0","SUNYANI",2010-07-10
" 35.0"," 41.0"," 50.0"," 75.0"," 64.0"," 61.0"," 18.0","370.0"," 80.0","  5.0"," 13.0"," 23.0","210.0"," 85.0"," 56.0"," 99.0","123.0"," 21.0",NA,"  4.5","  5.0","TMAN",2010-07-10
" 54.0"," 63.0"," 72.0"," 64.0"," 86.0"," 78.0"," 21.0","350.0"," 45.0","  6.0","  6.5"," 29.0","200.0","192.0"," 80.0","153.0","156.0"," 17.0",NA," 10.0","  7.0","HO",2010-07-10
"38.00","33.00","27.00","66.00","68.00","60.00","50.00","N/A","N/A","9.00","16.00","28.00","110.00","200.00","90.00","100.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2010-07-10
"42.00","50.00","32.00","60.00","55.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","135.00","200.00","N/A","110.00","116.00","N/A","N/A","N/A","7.00","BOLGA",2010-07-10
"36.00","50.00","36.00","69.00","55.00","54.00","35.00","N/A","N/A","9.00","10.00","26.00","267.00","130.00","100.00","97.00","109.00","N/A","N/A","10.00","6.00","WA",2010-07-10
