"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"55.00","68.50","N/A","74.00","81.00","84.00","28.00","135.00","58.00","17.00","22.00","33.00","210.00","55.00","55.00","167.00","155.00","18.00","26.00","7.00","7.00","ACCRA",2010-09-04
"50.00","80.00","60.00","70.00","100.00","100.00","40.00","N/A","N/A","8.00","25.00","30.00","250.00","60.00","50.00","145.00","180.00","50.00","25.00","8.00","6.00","TEMA",2010-09-04
" 60"," 60"," 57"," 55"," 90"," 80"," 26","150"," 50","  8"," 10"," 25","160","100"," 70","120","150"," 22"," 19","  6","  6","SEKTDI",2010-09-04
" 50"," 65"," 50"," 56"," 95"," 90"," 24","140"," 70","  7","  9"," 30","250"," 40"," 80","140","160"," 22"," 28","  5","  6","KDUA",2010-09-04
" 67.0"," 60.0"," 60.0"," 70.0"," 90.0"," 90.0"," 17.0","200.0"," 80.0","  6.5"," 16.0"," 27.0","100.0"," 70.0"," 70.0","120.0","130.0"," 15.0"," 13.0","  5.0","  6.0","CCOAST",2010-09-04
" 65.0"," 49.0"," 60.0"," 72.0"," 84.0","100.0"," 14.0","110.0"," 56.0","  3.5","  5.0"," 27.0"," 70.0"," 50.0"," 24.0","110.0","120.0"," 16.0"," 14.0","  3.5","  6.0","MKESSIM",2010-09-04
" 50"," 50"," 38"," 70"," 68"," 65"," 17","140"," 28","  4","  7"," 23","108"," 30"," 48","100","120"," 23"," 25","  3","  6","KUMASI",2010-09-04
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","120.00","50.00","8.00","15.00","20.00","120.00","40.00","30.00","110.00","130.00","20.00","N/A","10.00","6.00","EJURA",2010-09-04
" 65.0"," 40.0"," 47.0"," 70.0","115.0","120.0","  9.5","125.0"," 58.0","  5.0","  7.0"," 19.0","118.0"," 45.0"," 40.0","100.0","120.0"," 18.0"," 25.0","  7.0","  6.0","OBUASI",2010-09-04
" 28.0"," 50.0"," 50.0"," 60.6"," 80.0"," 80.0"," 20.0"," 70.0"," 64.0","  4.0","  5.0"," 24.0"," 68.0"," 60.0"," 40.0","130.0","130.0"," 20.0"," 25.0","  6.0","  5.0","SUNYANI",2010-09-04
" 38.5"," 42.5"," 60.0"," 75.0"," 70.0"," 70.0"," 20.0"," 80.0"," 60.0","  4.0","  8.0"," 21.0","104.0"," 31.0"," 31.0","100.0","100.0"," 26.0"," 25.0","  5.0","  5.0","TMAN",2010-09-04
" 45"," 60"," 72"," 65"," 85"," 78"," 21","175"," 42","  6","  6"," 37","160"," 35"," 50","196","156"," 17"," 30"," 10","  7","HO",2010-09-04
"35.00","30.00","24.00","76.00","70.00","60.00","50.00","120.00","N/A","10.00","25.00","28.00","110.00","60.00","40.00","100.00","120.00","28.00","N/A","9.00","7.00","TAMALE",2010-09-04
"36.00","50.00","42.00","60.00","50.00","50.00","N/A","150.00","N/A","N/A","N/A","24.00","90.00","80.00","N/A","120.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-09-04
"36.00","53.50","44.00","69.00","57.00","58.00","53.00","99.00","N/A","9.00","N/A","31.00","267.00","13.00","40.00","117.00","116.00","N/A","N/A","10.00","6.00","WA",2010-09-04
