"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","72.00","N/A","72.00","84.00","87.00","22.00","280.00","49.00","16.00","21.00","27.00","241.00","300.00","108.00","142.00","156.00","18.00","25.00","7.00","7.00","ACCRA",2010-06-26
" 67"," 78"," 60"," 70"," 95","100"," 40","235"," 40"," 15"," 20"," 30","250","335","120","138","170"," 50"," 25"," 10","  6","TEMA",2010-06-26
" 54"," 65"," 90"," 60"," 85"," 80"," 35","180"," 40","  8"," 10"," 20","140","200"," 85","130","150"," 16"," 15","  6","  7","SEKTDI",2010-06-26
"60.00","65.00","N/A","55.00","95.00","90.00","23.00","315.00","N/A","12.00","21.00","27.00","500.00","180.00","40.00","140.00","160.00","20.00","26.00","7.00","5.50","KDUA",2010-06-26
"67.00","60.00","N/A","70.00","90.00","90.00","20.00","200.00","60.00","7.00","14.00","27.00","100.00","300.00","70.00","120.00","130.00","15.00","15.00","6.00","6.00","CCOAST",2010-06-26
"80.00","55.00","N/A","73.00","93.00","110.00","17.00","260.00","55.00","5.50","8.50","20.00","90.00","230.00","35.00","120.00","125.00","9.50","14.00","4.00","6.00","MKESSIM",2010-06-26
"50.00","50.00","N/A","72.00","70.00","60.00","14.00","100.00","26.00","2.60","6.00","23.00","180.00","150.00","100.00","94.00","125.00","10.00","18.00","3.00","6.50","KUMASI",2010-06-26
"39.00","45.00","60.00","65.00","65.00","65.00","12.00","150.00","55.00","11.00","25.00","24.00","180.00","70.00","20.00","120.00","130.00","20.00","N/A","11.00","6.00","EJURA",2010-06-26
"70.00","40.00","N/A","70.00","115.00","120.00","9.00","240.00","64.00","6.50","12.00","19.00","120.00","150.00","32.00","100.00","120.00","18.00","25.00","6.00","5.50","OBUASI",2010-06-26
"42.00","46.00","N/A","66.00","72.00","75.00","30.00","220.00","63.00","7.00","9.00","24.00","120.00","150.00","35.00","100.00","120.00","20.00","25.00","8.00","5.50","SUNYANI",2010-06-26
"35.00","40.00","N/A","75.00","85.00","85.00","18.00","220.00","80.00","6.00","10.00","23.00","180.00","44.00","56.00","90.00","115.00","26.00","22.00","5.00","5.00","TMAN",2010-06-26
" 54"," 63"," 66"," 60"," 86"," 78"," 20","300"," 47","  6","  7"," 29","200","210"," 80","153","156","  8"," 23","  6","  7","HO",2010-06-26
"40.00","30.00","24.00","70.00","64.00","60.00","50.00","N/A","N/A","9.00","12.00","28.00","110.00","200.00","70.00","100.00","120.00","N/A","N/A","N/A","9.00","TAMALE",2010-06-26
"42.00","50.00","30.00","60.00","50.00","52.00","N/A","150.00","N/A","N/A","N/A","24.00","120.00","190.00","N/A","110.00","140.00","N/A","N/A","N/A","7.00","BOLGA",2010-06-26
"36.00","50.00","37.00","69.00","60.00","58.00","35.00","N/A","N/A","9.00","10.00","29.00","267.00","220.00","84.00","105.00","103.00","N/A","N/A","10.00","6.00","WA",2010-06-26
