"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"54.00","90.00","N/A","75.00","83.00","83.00","23.00","138.00","53.00","5.00","6.00","41.00","163.00","112.00","85.00","156.00","142.00","19.00","31.00","7.00","7.00","ACCRA",2010-12-16
" 58"," 80"," 70"," 80","130","130"," 40","200"," 60","  5"," 12"," 40","200","130"," 50","150","190"," 50"," 20","  8","  7","TEMA",2010-12-16
" 58"," 50"," 52"," 60"," 85"," 80"," 28","220"," 70","  8"," 10"," 30",NA,"100","100","140","140"," 25"," 25","  7","  7","SEKTDI",2010-12-16
"65.00","65.00","N/A","60.00","90.00","90.00","25.00","150.00","75.00","5.00","6.00","48.00","200.00","100.00","80.00","140.00","140.00","24.00","40.00","6.00","6.00","KDUA",2010-12-16
" 67.0"," 60.0"," 62.0"," 80.0"," 95.0"," 95.0"," 20.0","180.0",NA,"  5.0","  8.5"," 30.0","120.0","110.0"," 40.0","120.0","130.0"," 16.0"," 15.0","  6.0","  7.0","CCOAST",2010-12-16
" 67.0"," 60.0"," 62.0"," 78.0"," 92.0"," 78.0"," 15.0","180.0"," 70.0","  4.5","  6.7"," 29.0"," 85.0","100.0"," 32.0","125.0","130.0"," 16.0"," 16.0","  6.3","  6.5","MKESSIM",2010-12-16
" 42.0"," 50.0"," 45.0"," 72.0"," 66.0"," 54.0"," 16.0","140.0"," 28.0","  3.2","  5.4"," 22.0","100.0"," 45.0"," 68.0"," 90.0","125.0","  9.0"," 24.0","  3.5","  7.0","KUMASI",2010-12-16
"39.00","45.00","30.00","70.00","55.00","54.00","12.00","150.00","50.00","3.00","9.00","31.00","90.00","30.00","30.00","90.00","120.00","20.00","N/A","9.00","5.00","EJURA",2010-12-16
" 65.0"," 48.0"," 65.0","108.0","115.0","120.0"," 10.0","240.0"," 60.0","  4.0","  5.0"," 19.0","118.0"," 60.0"," 42.0","100.0","120.0"," 20.0"," 25.0","  7.0","  6.2","OBUASI",2010-12-16
" 36.0"," 50.0"," 65.0"," 74.0"," 80.0"," 80.0"," 20.0","150.0"," 72.0","  3.0","  4.0"," 36.0"," 80.0"," 80.0"," 40.0","120.0","130.0"," 30.0"," 38.0","  6.0","  5.5","SUNYANI",2010-12-16
"35.00","45.00","34.00","75.00","60.00","55.00","21.00","120.00","85.00","3.20","5.00","29.00","170.00","31.00","40.00","95.00","157.00","35.00","N/A","5.00","6.00","TMAN",2010-12-16
"54.00","63.00","N/A","68.00","86.00","78.00","24.00","135.00","44.00","3.00","4.00","49.00","144.00","55.00","50.00","153.00","148.00","20.00","26.00","9.00","7.00","HO",2010-12-16
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","100.00","N/A","8.00","9.00","43.00","42.00","120.00","N/A","100.00","112.00","N/A","N/A","8.00","7.00","TAMALE",2010-12-16
"38.00","55.00","32.00","60.00","50.00","52.00","45.00","110.00","N/A","N/A","N/A","34.00","N/A","70.00","N/A","110.00","98.00","N/A","N/A","N/A","N/A","BOLGA",2010-12-16
"36.00","47.00","37.00","69.00","64.00","55.00","35.00","90.00","N/A","9.50","N/A","32.00","213.00","27.00","84.00","105.00","102.00","N/A","N/A","10.00","6.00","WA",2010-12-16
