"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"44.00","50.00","N/A","75.00","82.00","84.00","23.00","115.00","49.00","7.00","8.00","31.00","153.00","131.00","67.00","122.00","133.00","14.00","27.00","6.00","6.00","ACCRA",2010-10-30
" 50"," 80"," 70"," 70","100","100"," 40","150"," 60","  7"," 15"," 35","200","140"," 50","145","170"," 50"," 30","  7","  7","TEMA",2010-10-30
" 50"," 40"," 52"," 58"," 80"," 80"," 29","180"," 58","  7","  8"," 28","150","120"," 50","140","140"," 24"," 18","  6","  7","SEKTDI",2010-10-30
"48.00","65.00","N/A","56.00","90.00","90.00","24.00","140.00","90.00","6.00","7.00","30.00","200.00","60.00","60.00","140.00","130.00","22.00","35.00","4.00","5.50","KDUA",2010-10-30
" 56"," 60"," 60"," 70"," 90"," 90"," 17","180"," 80","  6"," 13"," 28","100"," 90"," 70","120","130"," 15"," 15","  5","  6","CCOAST",2010-10-30
" 48"," 50"," 60"," 72"," 85"," 95"," 15","120"," 55","  3","  5"," 28"," 75"," 75"," 18","115","110"," 23"," 16","  4","  6","MKESSIM",2010-10-30
" 38.0"," 50.0"," 42.0"," 70.0"," 68.0"," 65.0"," 17.0","130.0"," 30.0","  2.8","  5.5"," 22.0","105.0"," 55.0"," 24.0","100.0","130.0","  9.0"," 22.0","  3.5","  7.0","KUMASI",2010-10-30
"33.00","64.00","40.00","75.00","60.00","55.00","10.00","100.00","50.00","3.00","7.00","24.00","72.00","50.00","30.00","150.00","120.00","20.00","N/A","9.00","5.00","EJURA",2010-10-30
" 60.0"," 48.0"," 60.0","105.0","115.0","120.0"," 10.0","140.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 70.0"," 18.0","100.0","120.0"," 17.0"," 25.0","  7.0","  5.5","OBUASI",2010-10-30
"28.00","50.00","N/A","71.00","80.00","80.00","20.00","100.00","56.00","3.00","5.00","32.00","56.00","50.00","40.00","120.00","130.00","20.00","25.00","4.00","5.00","SUNYANI",2010-10-30
"31.00","41.00","54.00","78.00","69.00","69.00","17.00","86.00","105.00","2.50","5.00","31.00","99.00","30.00","28.00","102.00","122.00","26.00","N/A","5.00","5.00","TMAN",2010-10-30
" 45.0"," 58.0"," 72.0"," 65.0"," 86.0"," 78.0"," 22.0","135.0"," 46.0","  3.5","  4.0"," 37.0","144.0"," 65.0"," 50.0","196.0","150.0"," 20.0"," 34.0","  8.0","  7.0","HO",2010-10-30
"36.00","40.00","36.00","66.00","60.00","60.00","40.00","120.00","N/A","9.00","10.00","28.00","43.00","60.00","N/A","100.00","80.00","N/A","N/A","9.00","7.00","TAMALE",2010-10-30
"30.00","50.00","38.00","60.00","50.00","52.00","40.00","90.00","N/A","N/A","N/A","24.00","N/A","80.00","N/A","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-10-30
"39.00","54.00","51.00","69.00","64.00","58.00","35.00","66.00","N/A","9.00","N/A","32.00","213.00","23.00","45.00","97.00","92.00","N/A","N/A","10.00","6.00","WA",2010-10-30
