"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","70.00","N/A","71.00","86.00","88.00","25.00","243.00","51.00","22.00","27.00","27.00","230.00","91.00","80.00","144.00","158.00","19.00","25.00","8.00","7.00","ACCRA",2010-07-17
" 67"," 80"," 60"," 70","100","100"," 40","250"," 40"," 15"," 25"," 30","145","110","120","145","180"," 50"," 25","  9","  6","TEMA",2010-07-17
" 60"," 70"," 65"," 62","100"," 80"," 38","200"," 40","  8"," 10"," 25","160","100","100","120","140"," 20"," 15","  7","  7","SEKTDI",2010-07-17
"62.00","65.00","50.00","55.00","95.00","90.00","24.00","N/A","N/A","10.00","16.00","27.00","300.00","80.00","80.00","140.00","160.00","20.00","24.00","5.00","6.00","KDUA",2010-07-17
" 67"," 60"," 60"," 70"," 90"," 90"," 18","200"," 80","  7"," 15"," 27","100","240"," 70","120","130"," 40"," 15","  6","  6","CCOAST",2010-07-17
" 74"," 58"," 60"," 72"," 92","100"," 15","250"," 60","  5","  8"," 25"," 80","180"," 22","110","120"," 13"," 14","  6","  7","MKESSIM",2010-07-17
" 50.0"," 50.0"," 68.0"," 72.0"," 70.0"," 64.0"," 14.0","210.0"," 22.0","  3.0","  7.5"," 22.0","180.0"," 95.0"," 60.0"," 95.0","120.0"," 10.0"," 14.0","  3.5","  6.0","KUMASI",2010-07-17
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","160.00","60.00","10.00","20.00","24.00","150.00","50.00","60.00","100.00","120.00","20.00","N/A","11.00","6.00","EJURA",2010-07-17
"70.00","40.00","N/A","70.00","115.00","120.00","11.00","200.00","60.00","6.50","8.00","19.00","120.00","120.00","30.00","100.00","120.00","18.00","25.00","7.00","5.50","OBUASI",2010-07-17
" 40"," 50","120"," 74"," 80"," 80"," 30","150"," 72","  9"," 12"," 24"," 80"," 60"," 40","108","130"," 20"," 25","  7","  5","SUNYANI",2010-07-17
" 37"," 42"," 42"," 75"," 60"," 55"," 18","170"," 80","  5"," 13"," 26","170"," 94"," 56","100","130"," 24"," 18","  5","  5","TMAN",2010-07-17
" 54.0"," 63.0"," 86.0"," 64.0"," 86.0"," 78.0"," 20.0","360.0"," 47.0","  6.0","  6.5"," 35.0","200.0"," 70.0"," 60.0","163.0","156.0"," 17.5"," 27.0"," 10.0","  7.0","HO",2010-07-17
"35.00","33.00","27.00","66.00","68.00","64.00","55.00","200.00","N/A","9.00","20.00","30.00","110.00","140.00","80.00","100.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2010-07-17
"36.00","50.00","35.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","125.00","200.00","N/A","110.00","110.00","N/A","N/A","N/A","7.00","BOLGA",2010-07-17
"35.00","50.00","37.00","69.00","57.00","54.00","35.00","N/A","N/A","9.00","20.00","26.00","268.00","150.00","67.00","101.00","120.00","N/A","N/A","10.00","6.00","WA",2010-07-17
