"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","63.00","N/A","73.00","85.00","87.00","24.00","210.00","50.00","19.00","23.00","27.00","225.00","43.00","59.00","159.00","148.00","23.00","31.00","6.00","7.00","ACCRA",2010-08-14
"67.00","80.00","60.00","70.00","100.00","100.00","35.00","N/A","45.00","8.00","10.00","30.00","250.00","75.00","90.00","145.00","200.00","50.00","30.00","8.00","6.00","TEMA",2010-08-14
" 65"," 65"," 55"," 60"," 85"," 80"," 25","150"," 55","  8"," 10"," 24","180"," 60"," 60","120","140"," 18"," 18","  6","  7","SEKTDI",2010-08-14
"62.00","80.00","50.00","55.00","95.00","90.00","25.00","N/A","N/A","9.00","12.00","30.00","300.00","40.00","80.00","140.00","162.00","22.00","28.00","6.00","6.00","KDUA",2010-08-14
" 67"," 60"," 60"," 70"," 90"," 90"," 19","200"," 80","  6"," 15"," 28","100"," 70"," 35","120","130"," 18"," 13","  5","  6","CCOAST",2010-08-14
" 68.0"," 50.0"," 57.0"," 73.0"," 88.0","110.0"," 12.0","140.0"," 50.0","  3.5","  6.0"," 25.0"," 73.0"," 40.0"," 18.0","100.0","110.0"," 16.0"," 12.0","  3.5","  6.5","MKESSIM",2010-08-14
" 50.0"," 50.0"," 72.0"," 70.0"," 65.0"," 60.0"," 16.0","154.0"," 24.0","  4.0","  7.0"," 22.0","105.0"," 22.0"," 24.0","100.0","120.0"," 10.0"," 14.0","  3.5","  6.0","KUMASI",2010-08-14
"39.00","45.00","50.00","65.00","65.00","55.00","10.00","100.00","50.00","10.00","20.00","24.00","120.00","40.00","24.00","130.00","135.00","20.00","N/A","11.00","6.00","EJURA",2010-08-14
" 65"," 40"," 42"," 70","115","120"," 11","130"," 60","  6","  8"," 19","120"," 22"," 30","100","120"," 18"," 25","  7","  5","OBUASI",2010-08-14
" 40.0"," 50.0"," 50.0"," 70.0"," 80.0"," 80.0"," 25.0","100.0"," 56.0","  5.5","  7.0"," 25.0"," 60.0"," 40.0"," 30.0","130.0","140.0"," 20.0"," 25.0","  6.0","  5.0","SUNYANI",2010-08-14
"38.00","40.00","60.00","75.00","62.00","60.00","18.00","60.00","75.00","6.50","9.00","26.00","120.00","22.00","42.00","115.00","100.00","26.00","N/A","5.00","5.00","TMAN",2010-08-14
" 54"," 60"," 86"," 65"," 86"," 78"," 20","180"," 45","  5","  6"," 37","172"," 35"," 60","180","156"," 17"," 28"," 10","  7","HO",2010-08-14
"32.00","35.00","28.00","66.00","60.00","60.00","45.00","N/A","N/A","9.00","15.00","30.00","110.00","80.00","40.00","120.00","110.00","30.00","N/A","9.00","7.00","TAMALE",2010-08-14
"36.00","50.00","40.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","120.00","200.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-08-14
"43.00","54.00","56.00","69.00","60.00","54.50","35.00","N/A","N/A","9.00","N/A","38.00","267.00","70.00","46.00","105.00","116.00","N/A","N/A","10.00","6.00","WA",2010-08-14
