"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"54.00","90.00","N/A","76.00","83.00","83.00","23.00","135.00","52.00","5.00","7.00","41.00","155.00","107.00","87.00","156.00","145.00","19.00","32.00","7.00","7.00","ACCRA",2010-12-25
" 58"," 80"," 70"," 80","130","130"," 40","150"," 60","  5","  4"," 40","200","165"," 70","170","200"," 50"," 40","  8","  7","TEMA",2010-12-25
" 60.0"," 52.5"," 55.0"," 60.0"," 85.0"," 85.0"," 28.0","220.0",NA,"  8.0"," 10.0"," 36.0",NA,"100.0","100.0","130.0","140.0"," 28.0"," 18.0","  6.0","  7.5","SEKTDI",2010-12-25
"55.00","65.00","N/A","60.00","90.00","90.00","25.00","150.00","70.00","6.00","7.00","36.00","250.00","130.00","80.00","140.00","140.00","24.00","40.00","6.00","6.50","KDUA",2010-12-25
" 72"," 60"," 62"," 80"," 92"," 95"," 17","150",NA,"  5","  9"," 38","120","150"," 40","120","120"," 16"," 15","  6","  7","CCOAST",2010-12-25
" 70.0"," 60.0"," 54.0"," 78.0"," 92.0","100.0"," 16.0","180.0"," 70.0","  4.5","  7.5"," 36.0"," 85.0","120.0"," 50.0","125.0","150.0"," 17.0"," 15.0","  6.0","  6.5","MKESSIM",2010-12-25
" 42.0"," 50.0"," 44.0"," 72.0"," 65.0"," 55.0"," 18.0","150.0"," 30.0","  3.4","  5.5"," 22.0","120.0"," 50.0","140.0"," 95.0","130.0"," 10.0"," 22.0","  3.0","  7.0","KUMASI",2010-12-25
"39.00","45.00","30.00","70.00","55.00","54.00","20.00","200.00","86.00","3.00","5.00","31.00","90.00","40.00","30.00","83.00","120.00","20.00","N/A","9.00","6.00","EJURA",2010-12-25
" 65.0"," 48.0"," 65.0","108.0","115.0","120.0"," 10.0","240.0"," 60.0","  4.0","  5.0"," 19.0","118.0"," 85.0"," 80.0","100.0","120.0"," 20.0"," 25.0","  7.0","  6.2","OBUASI",2010-12-25
" 36.0"," 45.0"," 34.0"," 74.0"," 60.0"," 55.0"," 21.0","170.0"," 72.0","  3.0","  4.0"," 36.0"," 88.0"," 50.0","100.0","120.0","130.0"," 30.0"," 40.0","  6.0","  5.5","SUNYANI",2010-12-25
"36.00","45.00","34.00","75.00","60.00","55.00","21.00","170.00","80.00","3.50","5.00","29.00","170.00","50.00","40.00","95.00","120.00","35.00","N/A","5.00","6.00","TMAN",2010-12-25
"54.00","65.00","N/A","69.00","86.00","78.00","22.00","145.00","45.00","3.00","4.00","49.00","144.00","75.00","60.00","163.00","156.00","25.00","38.00","9.00","7.00","HO",2010-12-25
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","100.00","N/A","8.00","9.00","43.00","42.00","120.00","N/A","100.00","112.00","N/A","N/A","8.00","7.00","TAMALE",2010-12-25
"38.00","55.00","32.00","60.00","50.00","52.00","45.00","110.00","N/A","N/A","N/A","34.00","N/A","70.00","N/A","110.00","98.00","N/A","N/A","N/A","N/A","BOLGA",2010-12-25
"36.00","47.00","37.00","69.00","64.00","55.00","35.00","90.00","N/A","9.50","N/A","32.00","213.00","27.00","84.00","105.00","102.00","N/A","N/A","10.00","6.00","WA",2010-12-25
