"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"42.00","50.00","N/A","74.00","80.00","83.00","22.00","100.00","50.00","6.00","8.00","31.00","153.00","55.00","68.00","125.00","140.00","15.00","27.00","5.00","6.00","ACCRA",2010-10-23
" 50"," 80"," 70"," 70","100","100"," 40","200"," 60","  8"," 15"," 35","200"," 70","100","145","170"," 50"," 20","  7","  6","TEMA",2010-10-23
" 48.0"," 40.0"," 48.0"," 58.0"," 80.0"," 80.0"," 24.0","180.0"," 60.0","  7.0","  9.0"," 28.0",NA,"100.0"," 60.0","130.0","150.0"," 25.0"," 18.0","  6.0","  6.5","SEKTDI",2010-10-23
"48.00","65.00","N/A","56.00","90.00","90.00","24.00","140.00","70.00","6.00","7.00","30.00","200.00","40.00","80.00","140.00","130.00","22.00","30.00","5.00","5.50","KDUA",2010-10-23
" 56"," 60"," 60"," 70"," 90"," 90"," 16","200"," 80","  5"," 13"," 28","100"," 90"," 70","120","130"," 15"," 16","  5","  6","CCOAST",2010-10-23
" 42"," 48"," 58"," 73"," 87"," 94"," 14","110"," 49","  3","  5"," 27"," 78"," 57"," 24","120","110"," 15"," 14","  4","  7","MKESSIM",2010-10-23
" 45"," 50"," 45"," 72"," 70"," 65"," 15","140"," 26","  3","  6"," 22","105"," 50"," 44","100","130"," 10"," 24","  3","  7","KUMASI",2010-10-23
"33.00","64.00","50.00","75.00","60.00","55.00","10.00","100.00","50.00","3.00","7.00","24.00","72.00","50.00","30.00","150.00","120.00","20.00","N/A","9.00","5.00","EJURA",2010-10-23
" 52.0"," 40.0"," 60.0"," 70.0","115.0","120.0"," 10.0","140.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 67.0"," 40.0","100.0","120.0"," 17.0"," 30.0","  7.0","  5.5","OBUASI",2010-10-23
" 28.0"," 50.0"," 60.0"," 74.0"," 80.0"," 80.0"," 20.0","100.0"," 56.0","  3.5","  5.0"," 32.0"," 56.0"," 45.0"," 40.0","130.0","130.0"," 40.0"," 25.0","  5.0","  5.0","SUNYANI",2010-10-23
"27.00","41.00","54.00","78.00","57.00","59.00","17.00","82.00","105.00","2.30","5.00","31.00","99.00","30.00","27.00","98.00","112.00","26.00","N/A","5.00","5.00","TMAN",2010-10-23
" 45.0"," 60.0"," 72.0"," 68.0"," 86.0"," 78.0"," 22.0","125.0"," 45.0","  3.5","  3.5"," 37.0","144.0"," 40.0"," 50.0","196.0","156.0"," 20.0"," 36.0","  6.0","  7.0","HO",2010-10-23
"34.00","35.00","27.00","66.00","60.00","60.00","45.00","80.00","N/A","7.00","20.00","30.00","75.00","60.00","10.00","120.00","98.00","N/A","N/A","10.00","7.00","TAMALE",2010-10-23
"30.00","50.00","38.00","60.00","50.00","52.00","40.00","80.00","N/A","N/A","N/A","24.00","70.00","80.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-10-23
"39.00","57.00","44.00","69.00","64.00","58.00","35.00","77.00","N/A","9.00","N/A","32.00","187.00","19.00","46.00","93.00","92.00","N/A","N/A","10.00","6.00","WA",2010-10-23
