"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
" 46"," 64"," 73"," 72"," 81"," 82"," 26","113"," 57","  9"," 13"," 31","155"," 52"," 58","158","153"," 16"," 27","  7","  7","ACCRA",2010-09-18
"50.00","80.00","60.00","70.00","100.00","100.00","40.00","N/A","40.00","6.00","18.00","30.00","250.00","100.00","60.00","146.00","170.00","50.00","20.00","8.00","6.00","TEMA",2010-09-18
" 60"," 60"," 57"," 55"," 90"," 80"," 26","150"," 50","  8"," 10"," 25","160","100"," 70","120","150"," 22"," 19","  6","  6","SEKTDI",2010-09-18
" 60.0"," 65.0"," 50.0"," 66.0"," 88.0"," 90.0"," 24.0","170.0"," 75.0","  5.0","  7.0"," 30.0","200.0"," 60.0"," 80.0","140.0","130.0"," 22.0"," 26.0","  4.0","  5.5","KDUA",2010-09-18
"67.00","60.00","60.00","70.00","90.00","90.00","17.00","200.00","N/A","5.00","13.00","28.00","100.00","75.00","70.00","120.00","130.00","16.00","15.00","5.00","6.00","CCOAST",2010-09-18
" 44.0"," 48.0"," 59.0"," 72.0"," 82.0"," 95.0"," 13.6","100.0"," 42.0","  3.0","  5.2"," 27.0"," 80.0"," 85.0"," 33.5","120.0","120.0"," 15.0"," 15.0","  3.4","  6.4","MKESSIM",2010-09-18
" 50.0"," 50.0"," 38.0"," 70.0"," 68.0"," 65.0"," 17.0","140.0"," 28.0","  4.2","  7.5"," 23.0","108.0"," 30.0"," 48.0","100.0","120.0"," 23.0"," 25.0","  3.4","  6.5","KUMASI",2010-09-18
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","120.00","50.00","8.00","15.00","20.00","120.00","40.00","30.00","110.00","130.00","20.00","N/A","10.00","6.00","EJURA",2010-09-18
" 65.0"," 40.0"," 47.0"," 70.0","115.0","120.0","  9.5","125.0"," 58.0","  5.0","  7.2"," 19.0","118.0"," 45.0"," 40.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-09-18
" 28"," 50"," 50"," 69"," 80"," 80"," 20"," 70"," 64","  4","  6"," 25"," 60"," 40"," 50","130","130"," 20"," 24","  6","  5","SUNYANI",2010-09-18
" 40.0"," 35.0"," 55.0"," 75.0"," 70.0"," 70.0"," 20.0"," 90.0"," 56.0","  4.0","  7.0"," 31.0","200.0"," 31.0"," 24.0","105.0"," 95.0"," 24.0"," 22.0","  5.0","  5.5","TMAN",2010-09-18
" 45.0"," 60.0"," 72.0"," 68.0"," 86.0"," 78.0"," 23.0","130.0","460.0","  4.0","  4.0"," 37.0","160.0"," 40.0"," 50.0","196.0","156.0"," 17.5"," 26.0","  8.0","  7.5","HO",2010-09-18
"35.00","32.00","25.00","66.00","60.00","50.00","60.00","100.00","N/A","9.00","20.00","30.00","110.00","80.00","40.00","120.00","100.00","30.00","N/A","9.00","7.00","TAMALE",2010-09-18
"36.00","50.00","46.00","60.00","50.00","52.00","40.00","90.00","N/A","N/A","N/A","24.00","80.00","80.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-09-18
"39.30","53.50","43.80","69.00","57.20","58.40","35.00","66.60","N/A","9.00","N/A","31.70","267.20","25.00","40.00","116.00","102.50","N/A","N/A","10.00","6.00","WA",2010-09-18
