"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"48.00","80.00","N/A","74.00","78.00","82.00","24.00","133.00","52.00","4.00","7.00","30.00","150.00","157.00","62.00","136.00","151.00","16.00","30.00","6.00","6.00","ACCRA",2010-11-27
" 58"," 80"," 70"," 80","130","130"," 40","200"," 60","  5"," 12"," 40","200","200"," 50","150","180"," 50"," 30","  8","  7","TEMA",2010-11-27
" 75.0"," 40.0",NA," 60.0"," 75.0",NA," 28.0","220.0",NA,"  6.0"," 10.0"," 28.0",NA,"150.0","100.0","120.0","140.0"," 25.0"," 18.0","  6.0","  6.5","SEKTDI",2010-11-27
"65.00","65.00","N/A","60.00","90.00","90.00","25.00","140.00","75.00","5.00","6.00","42.00","250.00","120.00","80.00","140.00","140.00","22.00","38.00","6.00","6.00","KDUA",2010-11-27
" 67"," 60"," 62"," 80"," 90"," 95"," 16","180",NA,"  5"," 13"," 30","140","200"," 50","120","130"," 14"," 15","  6","  6","CCOAST",2010-11-27
" 67"," 60"," 64"," 78"," 90","100"," 15","140"," 67","  4","  7"," 30"," 80","180"," 23","120","130"," 12"," 14","  6","  6","MKESSIM",2010-11-27
" 42.0"," 50.0"," 46.0"," 72.0"," 60.0"," 56.0"," 20.0","140.0"," 30.0","  3.0","  6.0"," 22.0"," 90.0"," 70.0"," 40.0"," 90.0","130.0"," 10.0"," 22.0","  3.0","  3.4","KUMASI",2010-11-27
"37.00","43.00","40.00","70.00","60.00","80.00","10.00","150.00","50.00","3.00","9.00","31.00","90.00","60.00","20.00","85.00","130.00","20.00","N/A","9.00","5.00","EJURA",2010-11-27
" 65.0"," 45.0"," 67.0","108.0","115.0","120.0"," 11.0","140.0"," 58.0","  5.0","  5.0"," 19.0","118.0","160.0"," 63.0","100.0","120.0"," 17.0"," 25.0","  7.0","  5.5","OBUASI",2010-11-27
" 36"," 50"," 65"," 74"," 80"," 80"," 20","160"," 64","  3","  4"," 32"," 64"," 50"," 50","120","130"," 25"," 35","  4","  5","SUNYANI",2010-11-27
"31.00","43.00","50.00","78.00","62.00","60.00","21.00","80.00","93.00","3.00","6.00","31.00","100.00","38.00","28.00","90.00","110.00","26.00","N/A","5.00","5.50","TMAN",2010-11-27
"54.00","63.00","N/A","68.00","86.00","78.00","22.00","130.00","43.00","3.00","4.00","49.00","144.00","85.00","50.00","185.00","196.00","20.00","38.00","9.00","7.00","HO",2010-11-27
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","100.00","N/A","8.00","9.00","43.00","42.00","120.00","N/A","100.00","116.00","N/A","N/A","8.00","7.00","TAMALE",2010-11-27
"36.00","51.00","N/A","62.00","52.00","52.00","43.00","102.00","N/A","N/A","N/A","28.00","N/A","86.00","N/A","99.00","88.00","N/A","N/A","N/A","7.50","BOLGA",2010-11-27
"36.00","54.00","37.00","69.00","61.00","55.00","35.00","90.00","N/A","9.00","N/A","32.00","213.00","17.00","40.00","97.00","109.00","N/A","N/A","10.00","6.00","WA",2010-11-27
