"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","70.00","N/A","73.00","86.00","87.00","24.00","213.00","52.00","20.00","25.00","27.00","230.00","93.00","68.00","153.00","159.00","19.00","23.00","7.00","7.00","ACCRA",2010-07-31
" 67"," 80"," 70"," 70","100","100"," 40","250"," 45"," 10"," 15"," 30","250","180","140","145","200"," 50"," 25","  8","  6","TEMA",2010-07-31
" 50"," 70"," 62"," 58"," 90"," 85"," 28","160"," 45","  7","  9"," 24","160"," 80"," 75","140","160"," 20"," 15","  6","  7","SEKTDI",2010-07-31
"62.00","65.00","50.00","65.00","92.00","90.00","25.00","N/A","N/A","9.00","15.00","27.00","300.00","60.00","80.00","140.00","160.00","20.00","21.00","6.00","6.00","KDUA",2010-07-31
" 67"," 60"," 60"," 70"," 90"," 90"," 19","200"," 80","  6"," 18"," 27","100","160"," 70","120","130"," 40"," 15","  6","  6","CCOAST",2010-07-31
" 72.00"," 50.00"," 58.00"," 73.00"," 90.00","110.00"," 14.00","220.00"," 54.00","  4.25","  8.00"," 25.00"," 78.00","120.00"," 19.00","110.00","120.00"," 16.00"," 14.00","  4.50","  6.40","MKESSIM",2010-07-31
" 50.0"," 52.5"," 68.0"," 72.0"," 70.0"," 64.0"," 18.0","175.0"," 28.0","  4.0","  7.5"," 22.0","180.0"," 80.0"," 75.0"," 92.0","125.0"," 10.0"," 14.0","  3.5","  6.5","KUMASI",2010-07-31
"39.00","45.00","60.00","65.00","65.00","65.00","8.00","90.00","60.00","10.00","20.00","20.00","150.00","40.00","60.00","100.00","130.00","20.00","N/A","11.00","6.00","EJURA",2010-07-31
" 70.0"," 40.0"," 45.0"," 70.0","115.0","120.0"," 11.0","150.0"," 60.0","  6.0","  8.0"," 19.0","120.0","140.0"," 35.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-07-31
"40.00","50.00","N/A","62.00","80.00","80.00","30.00","120.00","72.00","6.00","8.00","24.00","60.00","60.00","35.00","100.00","150.00","20.00","25.00","6.50","5.00","SUNYANI",2010-07-31
" 39"," 41"," 42"," 75"," 79"," 65"," 18"," 70"," 74","  7"," 12"," 26","120"," 62"," 56","103","152"," 26"," 18","  4","  5","TMAN",2010-07-31
" 54.0"," 60.0"," 86.0"," 64.0"," 82.0"," 78.0"," 21.0","310.0"," 46.0","  6.0","  6.0"," 34.0","200.0"," 50.0"," 60.0","163.0","148.0"," 17.5"," 24.0"," 10.0","  7.0","HO",2010-07-31
"32.00","32.00","28.00","65.00","60.00","48.00","45.00","N/A","N/A","8.00","12.00","30.00","100.00","150.00","58.00","80.00","120.00","30.00","N/A","9.00","7.00","TAMALE",2010-07-31
"36.00","50.00","35.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","100.00","190.00","N/A","100.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-07-31
"36.00","50.00","36.50","69.00","57.00","54.50","35.00","220.00","N/A","9.00","N/A","26.00","267.00","150.00","54.00","101.00","120.00","N/A","N/A","10.00","6.00","WA",2010-07-31
