"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"43.00","77.50","N/A","73.00","81.00","81.00","24.00","102.00","53.00","8.00","11.00","32.00","163.00","58.00","63.00","151.00","150.00","16.00","28.00","6.00","6.00","ACCRA",2010-10-16
" 50"," 80"," 70"," 70","100","100"," 40","150"," 50","  6"," 15"," 30","250"," 80"," 50","145","170"," 50"," 20","  8","  6","TEMA",2010-10-16
" 50"," 60"," 55"," 60"," 85"," 80"," 25","190"," 65","  7","  9"," 28","180"," 80","100","140","160"," 22"," 18","  6","  7","SEKTDI",2010-10-16
" 48.0"," 65.0"," 50.0"," 56.0"," 88.0"," 90.0"," 24.0","130.0"," 65.0","  5.5","  8.0"," 30.0","200.0"," 50.0"," 80.0","140.0","130.0"," 22.0"," 30.0","  5.0","  6.0","KDUA",2010-10-16
" 56"," 60"," 60"," 70"," 90"," 90"," 16","180"," 80","  5"," 13"," 28","100"," 80"," 70","120","130"," 15"," 13","  5","  6","CCOAST",2010-10-16
" 40.0"," 46.5"," 56.0"," 72.0"," 80.0"," 94.0"," 14.0"," 90.0"," 50.0","  3.0","  5.5"," 28.0"," 83.0"," 55.0"," 30.0","120.0","120.0"," 14.0"," 15.0","  4.0","  6.5","MKESSIM",2010-10-16
" 43.0"," 50.0"," 45.0"," 70.0"," 70.0"," 65.0"," 15.0","140.0"," 26.0","  3.2","  6.4"," 22.0","108.0"," 58.0"," 48.0","100.0","120.0"," 20.0"," 22.0","  3.0","  6.5","KUMASI",2010-10-16
"29.00","64.00","50.00","70.00","60.00","55.00","12.00","100.00","50.00","4.00","9.00","24.00","120.00","40.00","40.00","150.00","110.00","20.00","N/A","9.00","5.50","EJURA",2010-10-16
" 50.0"," 40.0"," 46.0"," 70.0","115.0","120.0","  9.0","130.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 55.0"," 30.0","100.0","120.0"," 17.0"," 30.0","  7.0","  5.5","OBUASI",2010-10-16
" 28"," 50"," 50"," 74"," 80"," 80"," 20","110"," 56","  4","  5"," 33"," 56"," 60"," 50","130","130"," 20"," 24","  5","  5","SUNYANI",2010-10-16
"25.00","37.50","66.00","75.00","60.00","50.00","20.00","100.00","70.00","5.00","6.00","31.00","100.00","44.00","28.00","110.00","110.00","17.50","N/A","4.50","5.50","TMAN",2010-10-16
" 45.0"," 60.0"," 72.0"," 64.0"," 86.0"," 78.0"," 23.0","120.0"," 44.0","  4.5","  5.0"," 37.0","144.0"," 40.0"," 50.0","196.0","148.0"," 20.0"," 35.0","  5.0","  7.0","HO",2010-10-16
"30.00","30.00","28.00","60.00","60.00","56.00","45.00","90.00","N/A","8.00","15.00","30.00","69.00","70.00","10.00","130.00","96.00","N/A","N/A","8.00","7.00","TAMALE",2010-10-16
"36.00","50.00","42.00","60.00","50.00","52.00","40.00","80.00","N/A","N/A","N/A","24.00","70.00","80.00","N/A","100.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-10-16
"36.00","53.50","44.00","69.00","57.00","58.00","35.00","90.00","N/A","9.00","N/A","32.00","187.00","29.00","45.00","116.00","109.00","N/A","N/A","10.00","6.00","WA",2010-10-16
