"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","70.00","N/A","72.00","86.00","87.00","25.00","242.00","51.00","22.00","26.00","27.00","230.00","223.00","100.00","153.00","161.00","19.00","25.00","8.00","7.00","ACCRA",2010-07-31
" 67"," 80"," 60"," 70","100","100"," 40","300"," 45","  8"," 15"," 30","250","160","140","145","180"," 50"," 25","  8","  6","TEMA",2010-07-31
" 55"," 70"," 54"," 58"," 90"," 85"," 42","160"," 48","  8"," 12"," 24","160"," 90"," 80","130","150"," 20"," 15","  6","  7","SEKTDI",2010-07-31
"62.00","65.00","60.00","65.00","95.00","90.00","24.00","N/A","N/A","9.00","14.00","27.00","300.00","100.00","80.00","140.00","160.00","20.00","24.00","6.00","6.00","KDUA",2010-07-31
" 67"," 60"," 60"," 70"," 90"," 90"," 19","200"," 80","  6"," 14"," 27","100","230"," 70","120","130"," 40"," 15","  6","  6","CCOAST",2010-07-31
" 74.0"," 55.0"," 60.0"," 73.0"," 92.0","110.0"," 15.0","260.0"," 57.0","  4.5","  8.5"," 25.0"," 80.0","150.0"," 20.0","110.0","125.0"," 16.0"," 12.0","  5.0","  6.5","MKESSIM",2010-07-31
" 50.0"," 50.0"," 70.0"," 70.0"," 72.0"," 65.0"," 15.0","185.0"," 26.0","  3.5","  7.0"," 22.0","175.0"," 90.0"," 80.0"," 90.0","120.0","  8.5"," 15.0","  4.0","  6.5","KUMASI",2010-07-31
"39.00","45.00","50.00","65.00","65.00","55.00","6.00","60.00","50.00","10.00","20.00","24.00","160.00","70.00","60.00","100.00","130.00","20.00","N/A","11.00","6.00","EJURA",2010-07-31
" 70.0"," 40.0"," 45.0"," 70.0","115.0","120.0"," 12.0","150.0"," 60.0","  6.5","  8.0"," 19.0","120.0","140.0"," 35.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-07-31
" 40.0"," 50.0","120.0"," 72.0"," 80.0"," 80.0"," 30.0","130.0"," 72.0","  7.0"," 12.0"," 24.0"," 60.0","120.0"," 35.0","108.0","130.0"," 20.0"," 25.0","  6.5","  5.0","SUNYANI",2010-07-31
"38.50","39.00","42.00","72.00","71.00","63.00","17.00","70.00","78.00","6.00","10.00","6.00","140.00","94.00","56.00","87.50","147.00","24.00","18.00","4.00","N/A","TMAN",2010-07-31
" 54.0"," 60.0"," 86.0"," 60.0"," 86.0"," 78.0"," 20.0","320.0"," 47.0","  6.5","  7.0"," 37.0","200.0","105.0"," 60.0","163.0","156.0"," 17.5"," 25.0"," 10.0","  7.0","HO",2010-07-31
"35.00","33.00","27.00","66.00","65.00","64.00","56.00","N/A","N/A","8.00","15.00","30.00","110.00","120.00","66.00","100.00","120.00","3.00","N/A","9.00","7.00","TAMALE",2010-07-31
"36.00","50.00","35.00","60.00","50.00","52.00","N/A","190.00","N/A","N/A","N/A","24.00","125.00","200.00","N/A","110.00","100.00","N/A","N/A","N/A","7.00","BOLGA",2010-07-31
"35.70","50.00","36.00","69.00","57.20","54.50","35.00","N/A","N/A","9.00","20.00","25.50","268.00","160.00","54.00","101.00","120.00","N/A","N/A","10.00","6.00","WA",2010-07-31
