"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
" 59"," 75"," 71"," 86"," 90"," 29","178"," 55"," 15"," 19"," 26","230","337","103","146","163"," 16"," 27","  8","  7","ACCRA",2010-05-22
" 67"," 78"," 70"," 95","100"," 38","185"," 38"," 12"," 17"," 30","235","283","120","138","170"," 40"," 28"," 10","  6","TEMA",2010-05-22
" 52.0"," 65.0"," 55.0"," 85.0"," 80.0"," 28.0","160.0"," 45.0","  6.0","  8.0"," 24.0","180.0","250.0","150.0","120.0","140.0"," 18.0"," 16.0","  6.0","  7.5","SEKTDI",2010-05-22
" 50.0"," 60.0"," 55.0"," 95.0"," 90.0"," 25.0","230.0",NA," 10.0"," 20.0"," 27.0","300.0","100.0"," 80.0","140.0","160.0"," 20.0"," 23.0","  5.0","  5.5","KDUA",2010-05-22
" 65"," 60"," 70"," 90"," 90"," 20","180"," 60","  6"," 10"," 25","100","180"," 70","120","130"," 15"," 20","  4","  6","CCOAST",2010-05-22
" 80.0"," 63.0"," 74.0"," 98.0","110.0"," 12.0","240.0"," 62.0","  7.5","  9.4"," 19.0","110.0","230.0"," 50.0","120.0","130.0","  9.5"," 12.0","  4.0","  6.5","MKESSIM",2010-05-22
" 46.0"," 55.0"," 70.0"," 70.0"," 65.0"," 18.0","130.0"," 26.0","  2.5","  5.0"," 22.0","162.0","150.0"," 64.0"," 90.0","120.0"," 10.0"," 20.0","  3.5","  6.0","KUMASI",2010-05-22
" 42.0"," 40.0"," 55.0"," 60.0"," 60.0","  9.0","100.0"," 30.0","  3.0","  5.0"," 20.0","150.0"," 90.0"," 28.0","110.0","130.0"," 15.0",NA," 10.0","  6.5","EJURA",2010-05-22
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","190.0"," 70.0","  8.0"," 13.0"," 17.0","120.0","250.0"," 48.0","100.0","120.0"," 18.0"," 30.0","  5.0","  5.5","OBUASI",2010-05-22
" 44.0"," 42.5"," 72.0"," 70.0"," 75.0"," 30.0","180.0"," 54.0","  5.0","  8.0"," 25.0","112.0","200.0"," 50.0"," 96.0","108.0"," 28.0"," 28.0","  8.0","  5.0","SUNYANI",2010-05-22
" 36.0"," 37.5"," 65.0"," 62.0"," 65.0"," 15.0","200.0"," 54.0","  4.5","  8.0"," 26.0","210.0"," 90.0"," 76.0","110.0","115.0"," 25.0"," 18.0","  5.0","  5.0","TMAN",2010-05-22
" 50.0"," 70.0"," 60.0"," 86.0",NA," 20.0","220.0"," 38.0","  5.0","  8.5"," 29.0","184.0","205.0"," 80.0","153.0","148.0"," 15.0"," 23.0","  4.0","  7.0","HO",2010-05-22
" 36.0"," 30.0"," 66.0"," 60.0"," 48.0"," 45.0","150.0",NA,"  9.0","  8.0"," 28.0"," 91.0","180.0"," 52.0"," 56.0","104.0",NA,NA,"  9.0","  6.5","TAMALE",2010-05-22
"42.00","50.00","60.00","50.00","52.00",NA,"150.00",NA,NA,NA,"24.00","150.00","120.00",NA,"110.00","100.00","N/A",NA,NA,"7.00","BOLGA",2010-05-22
" 36"," 50"," 69"," 61"," 58"," 30","150",NA," 20",NA," 26","267"," 79","116"," 93","109",NA,NA," 10","  6","WA",2010-05-22
