"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"56.00","63.00","N/A","73.00","82.00","81.00","27.00","210.00","62.00","27.00","30.00","30.00","178.00","84.00","54.00","157.00","151.00","20.00","27.00","7.00","7.00","ACCRA",2010-08-21
"67.00","80.00","60.00","70.00","100.00","100.00","35.00","N/A","50.00","8.00","25.00","30.00","250.00","80.00","90.00","145.00","200.00","50.00","30.00","8.00","6.00","TEMA",2010-08-21
" 52"," 70"," 60"," 60"," 88"," 80"," 28","180"," 50","  8"," 12"," 25","180"," 80"," 60","160","160"," 16"," 20","  5","  7","SEKTDI",2010-08-21
"50.00","65.00","50.00","56.00","95.00","90.00","25.00","150.00","N/A","8.00","10.00","30.00","250.00","75.00","80.00","140.00","150.00","22.00","25.00","6.00","6.00","KDUA",2010-08-21
" 65"," 60"," 60"," 70"," 90"," 90"," 18","200"," 80","  6"," 14"," 27","100"," 80"," 70","120","130"," 16"," 14","  5","  6","CCOAST",2010-08-21
" 70"," 50"," 60"," 73"," 81","110"," 13","150"," 54","  4","  6"," 30"," 70"," 40"," 20","100","110"," 18"," 13","  4","  7","MKESSIM",2010-08-21
" 50.0"," 50.0"," 74.0"," 70.0"," 70.0"," 64.0"," 15.0","150.0"," 22.0","  4.0","  6.0"," 22.0","108.0"," 35.0"," 48.0","110.0","120.0"," 10.0"," 24.0","  3.5","  6.5","KUMASI",2010-08-21
"39.00","45.00","60.00","65.00","65.00","65.00","8.00","120.00","60.00","8.00","16.00","24.00","120.00","35.00","30.00","130.00","135.00","20.00","N/A","11.00","6.00","EJURA",2010-08-21
" 65.0"," 40.0"," 45.0"," 70.0","115.0","120.0"," 11.0","130.0"," 60.0","  5.5","  8.0"," 19.0","120.0"," 55.0"," 40.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-08-21
" 40.0"," 50.0"," 50.0"," 50.0"," 80.0"," 80.0"," 25.0","100.0"," 60.0","  5.0","  6.5"," 24.0"," 60.0"," 50.0"," 25.0","120.0","130.0"," 15.0"," 25.0","  6.0","  5.0","SUNYANI",2010-08-21
"39.00","40.00","60.00","75.00","60.00","60.00","18.00","60.00","70.00","6.00","9.00","26.00","110.00","25.00","42.00","110.00","100.00","26.00","N/A","5.00","5.00","TMAN",2010-08-21
" 50.0"," 60.0","110.0"," 65.0"," 86.0"," 78.0"," 23.0","180.0"," 46.0","  5.5","  6.5"," 37.0","176.0"," 40.0"," 60.0","180.0","156.0"," 17.0"," 30.0"," 10.0","  7.0","HO",2010-08-21
"35.00","30.00","28.00","66.00","60.00","45.00","50.00","N/A","N/A","8.00","20.00","28.00","110.00","70.00","40.00","120.00","120.00","30.00","N/A","9.00","7.00","TAMALE",2010-08-21
"36.00","50.00","40.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","120.00","90.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-08-21
"39.00","53.00","51.00","69.00","57.00","54.00","35.00","N/A","N/A","9.00","N/A","31.00","267.00","70.00","46.00","116.00","116.00","N/A","N/A","10.00","6.00","WA",2010-08-21
