"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 54.0"," 50.0"," 65.0"," 80.0"," 90.0"," 24.0","135.0"," 46.0","  5.5","  8.0"," 24.0","230.0"," 85.0"," 80.0","120.0","140.0"," 13.0"," 28.0","  7.0","  6.5","ACCRA",NA
" 58"," 50"," 67","100","100"," 55","200"," 40","  8"," 12"," 30","250","100","120","110","120"," 40"," 25","  5","  6","TEMA",NA
" 66.0"," 70.0"," 62.0","105.0"," 85.0"," 20.0","180.0"," 45.0","  6.0","  8.5"," 24.0","150.0"," 80.0"," 70.0","160.0","140.0"," 16.0"," 14.0","  5.0","  6.0","SEKTDI",NA
" 44.0"," 70.0"," 64.0"," 95.0"," 90.0"," 23.0","180.0",NA,"  4.5"," 10.0"," 27.0","300.0"," 80.0","120.0","120.0","140.0"," 20.0"," 30.0","  3.0","  5.5","KDUA",NA
" 73.0"," 55.0"," 68.0"," 85.0"," 90.0"," 20.0","180.0",NA,"  4.5","  8.0"," 30.0","100.0"," 90.0"," 60.0","120.0","130.0","  9.0"," 12.0","  5.0","  6.0","CCOAST",NA
" 85.0"," 60.0"," 72.0"," 93.0","110.0"," 19.0","180.0"," 55.0","  3.0","  6.0"," 19.5"," 76.0"," 80.0"," 27.0","120.0","120.0"," 13.0"," 17.0","  4.0","  6.0","MKESSIM",NA
" 42.0"," 50.0"," 70.0"," 74.0"," 69.0"," 18.0"," 95.0"," 28.0","  3.5","  7.0"," 22.0","170.0"," 50.0"," 60.0"," 94.0","120.0","  9.0"," 20.0","  3.0","  6.5","KUMASI",NA
" 35"," 45"," 55"," 60"," 55"," 15"," 60"," 70","  3","  5"," 20","150"," 30"," 80"," 90","130",NA,NA,"  6","  6","EJURA",NA
" 80.0"," 40.0"," 70.0","115.0","120.0"," 14.0","140.0"," 35.0","  5.0"," 12.0"," 17.0","120.0"," 60.0"," 56.0","100.0","120.0"," 12.0"," 30.0","  5.0","  5.5","OBUASI",NA
" 36.0"," 42.5"," 72.0"," 70.0"," 70.0"," 30.0","100.0"," 45.0","  2.0","  3.5"," 24.0","100.0"," 65.0"," 70.0"," 92.0"," 95.0"," 20.0"," 25.0","  4.0","  5.5","SUNYANI",NA
" 33.0"," 36.0"," 70.0"," 60.0"," 54.0"," 18.0","120.0"," 48.0","  3.5","  4.0"," 26.0","250.0"," 60.0"," 56.0","100.0","120.0"," 18.0",NA,"  5.0","  5.5","TMAN",NA
"45.00","55.00","60.00","85.00",NA,"21.00","105.00","30.00","3.00","5.50","37.00#","160.00","80.00","60.00","131.00","115.00","3.00","30.00","4.50","6.50","HO",NA
" 37.0"," 28.0"," 64.0"," 68.0"," 60.0"," 30.0","140.0",NA,"  9.0"," 11.0"," 28.0"," 90.0"," 50.0"," 45.0"," 60.0","104.0",NA,NA,"  8.0","  6.5","TAMALE",NA
"40.00","55.00","57.00","52.00","63.00",NA,"180.00",NA,"15.00","12.00",NA,"150.00","65.00",NA,"90.00","86.00","N/A",NA,"10.00","8.00","BOLGA",NA
" 36"," 50"," 69"," 54"," 58"," 25","116",NA,"  8",NA," 29","267"," 21","100"," 86"," 97",NA,NA," 10","  6","WA",NA
