"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"46.00","89.00","N/A","75.00","82.00","81.00","24.00","130.00","52.00","5.00","7.00","30.00","148.00","152.00","61.00","143.00","148.00","16.00","31.00","6.00","7.00","ACCRA",2010-11-20
" 58"," 80"," 70"," 72","130","130"," 40","200"," 60","  6"," 15"," 40","200","260"," 50","150","180"," 50"," 30","  7","  6","TEMA",2010-11-20
" 50"," 40"," 50"," 68"," 75"," 70"," 22","200"," 70","  8","  9"," 35","160","120"," 80","130","140"," 25"," 20"," 10","  7","SEKTDI",2010-11-20
"52.00","65.00","N/A","56.00","90.00","90.00","25.00","140.00","75.00","5.50","6.50","42.00","200.00","80.00","60.00","140.00","140.00","22.00","35.00","6.00","6.00","KDUA",2010-11-20
" 64"," 60"," 63"," 70"," 90"," 90"," 18","180"," 80","  5"," 10"," 30","120","150"," 50","120","130"," 15"," 15","  6","  6","CCOAST",2010-11-20
" 62.0"," 60.0"," 65.0"," 73.0"," 90.0","100.0"," 16.0","150.0"," 65.0","  4.0","  6.5"," 27.0"," 80.0","160.0"," 34.0","120.0","130.0"," 15.0"," 15.0","  5.5","  6.0","MKESSIM",2010-11-20
" 38"," 50"," 45"," 72"," 60"," 56"," 17","152"," 28","  3","  5"," 23"," 80"," 50"," 44"," 92","130"," 10"," 20","  3","  7","KUMASI",2010-11-20
"37.00","43.00","40.00","70.00","60.00","60.00","10.00","150.00","50.00","3.00","9.00","31.00","90.00","60.00","20.00","85.00","130.00","20.00","N/A","9.00","6.00","EJURA",2010-11-20
" 65.0"," 45.0"," 67.0","108.0","115.0","120.0"," 10.0","140.0"," 58.0","  4.0","  5.0"," 19.0","118.0","150.0"," 60.0","100.0","120.0"," 17.0"," 25.0","  7.0","  5.5","OBUASI",2010-11-20
" 36.0"," 50.0"," 65.0"," 74.0"," 80.0"," 80.0"," 20.0","150.0"," 64.0","  3.0","  4.5"," 32.0"," 60.0"," 70.0"," 50.0","120.0","130.0"," 25.0"," 33.0","  4.0","  5.0","SUNYANI",2010-11-20
"31.00","44.00","50.00","72.00","60.00","67.00","24.00","82.00","95.00","2.00","5.00","31.00","120.00","50.00","28.00","90.00","107.00","26.00","N/A","4.50","5.50","TMAN",2010-11-20
"54.00","63.00","N/A","68.00","86.00","78.00","22.00","135.00","45.00","4.00","4.50","49.00","144.00","110.00","50.00","185.00","156.00","23.00","38.00","9.00","7.00","HO",2010-11-20
"36.00","40.00","36.00","68.00","60.00","60.00","60.00","120.00","N/A","9.00","10.00","28.00","43.00","25.00","N/A","100.00","44.00","N/A","N/A","9.00","7.00","TAMALE",2010-11-20
"36.00","50.00","N/A","60.00","52.00","53.00","41.00","98.00","N/A","N/A","N/A","28.00","N/A","87.00","N/A","98.00","85.00","N/A","N/A","N/A","7.50","BOLGA",2010-11-20
"43.00","54.00","51.00","69.00","64.00","58.00","35.00","90.00","N/A","9.00","N/A","32.00","213.00","27.00","38.00","101.00","109.00","N/A","N/A","10.00","6.00","WA",2010-11-20
