"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"48.00","57.50","N/A","72.00","80.00","83.00","25.00","117.00","53.00","9.00","11.00","31.00","163.00","56.00","58.00","155.00","152.00","18.00","27.00","7.00","7.00","ACCRA",2010-09-25
"50.00","80.00","70.00","70.00","100.00","100.00","40.00","N/A","50.00","6.00","15.00","30.00","250.00","100.00","60.00","145.00","170.00","50.00","18.00","5.00","6.00","TEMA",2010-09-25
" 55.0"," 60.0"," 65.0"," 60.0"," 85.0"," 80.0"," 25.0","180.0"," 70.0","  6.0","  9.0"," 30.0",NA," 90.0"," 80.0","130.0","150.0"," 20.0"," 20.0","  6.0","  6.5","SEKTDI",2010-09-25
" 48.0"," 65.0"," 50.0"," 56.0"," 88.0"," 90.0"," 24.0","160.0"," 75.0","  5.0","  6.0"," 30.0","200.0"," 60.0"," 80.0","140.0","130.0"," 22.0"," 30.0","  4.5","  6.0","KDUA",2010-09-25
" 56"," 60"," 60"," 70"," 90"," 90"," 17","180"," 80","  6"," 14"," 28","100"," 75"," 70","120","130"," 15"," 15","  5","  6","CCOAST",2010-09-25
" 42.0"," 47.5"," 58.0"," 72.0"," 82.0"," 94.0"," 13.6"," 90.0"," 47.5","  3.0","  5.0"," 27.5"," 80.0"," 80.0"," 32.0","110.0","115.0"," 17.0"," 16.0","  4.0","  6.6","MKESSIM",2010-09-25
" 42.0"," 52.0"," 45.0"," 72.0"," 70.0"," 65.0"," 17.0","150.0"," 26.0","  4.0","  6.5"," 24.0","110.0"," 60.0"," 40.0","100.0","120.0"," 20.0"," 22.0","  3.0","  6.5","KUMASI",2010-09-25
"25.00","42.50","50.00","70.00","60.00","55.00","10.00","100.00","40.00","3.00","3.00","24.00","120.00","35.00","30.00","135.00","110.00","20.00","N/A","6.00","N/A","EJURA",2010-09-25
" 50.0"," 40.0"," 47.0"," 70.0","115.0","120.0","  9.5","130.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 80.0"," 44.0","100.0","120.0"," 18.0"," 30.0","  7.0","  5.5","OBUASI",2010-09-25
" 24"," 50"," 50"," 68"," 80"," 80"," 20"," 90"," 56","  4","  5"," 30"," 60"," 50"," 50","130","130"," 20"," 25","  6","  5","SUNYANI",2010-09-25
" 40"," 35"," 55"," 75"," 68"," 65"," 20"," 90"," 55","  4","  6"," 31","200"," 44"," 28","100"," 90"," 17"," 22","  5","  5","TMAN",2010-09-25
" 45.0"," 85.0"," 72.0"," 65.0"," 85.0"," 78.0"," 20.0","125.0"," 43.0","  4.5","  4.5"," 37.0","144.0"," 42.0"," 50.0","196.0","156.0"," 17.5"," 26.0","  6.0","  7.0","HO",2010-09-25
"30.00","32.00","N/A","60.00","64.00","56.00","50.00","100.00","N/A","8.00","20.00","30.00","110.00","70.00","25.00","120.00","100.00","N/A","N/A","9.00","7.00","TAMALE",2010-09-25
"36.00","50.00","46.00","60.00","50.00","50.00","40.00","80.00","N/A","N/A","N/A","24.00","80.00","80.00","N/A","100.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-09-25
"39.00","54.00","44.00","69.00","57.00","58.00","35.00","67.00","N/A","9.00","N/A","32.00","186.00","24.00","45.00","117.00","190.00","N/A","N/A","10.00","6.00","WA",2010-09-25
