"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"69.00","88.00","57.00","135.00","81.00","N/A","85.00","84.00","25.00","162.00","69.00","8.00","11.00","39.00","162.00","75.00","138.00","228.00","163.00","228.00","24.00","42.00","11.00","8.00","ACCRA",NA
" 75","110","100","130"," 90"," 70"," 90","100"," 40","200"," 50","  5"," 12"," 30","150"," 70","150","220","150","320"," 50"," 35"," 10","  7","TEMA",NA
"75.00","70.00","65.00","110.00","85.00","64.00","110.00","100.00","37.00","200.00","70.00","10.00","9.00","32.00","N/A","80.00","120.00","180.00","160.00","250.00","35.00","28.00","7.00","7.50","SEKTDI",NA
"92.00","80.00","55.00","130.00","70.00","N/A","90.00","90.00","23.00","N/A","75.00","5.50","7.50","31.00","200.00","48.00","80.00","200.00","160.00","280.00","24.00","28.00","6.00","7.00","KDUA",NA
" 75.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 18.0","180.0"," 85.0","  6.0","  9.0"," 30.0","140.0","100.0","140.0","180.0","150.0","200.0"," 15.0"," 20.0","  7.0","  6.5","CCOAST",NA
" 75.0"," 85.0"," 95.0","140.0"," 93.0"," 73.0"," 94.0","130.0"," 14.0","130.0"," 94.0","  4.0","  7.0"," 33.0"," 90.0"," 35.0","150.0","170.0","150.0","190.0"," 18.0"," 15.0","  4.8","  7.8","MKESSIM",NA
" 67.0"," 65.0"," 53.0"," 90.0"," 70.0"," 94.0"," 75.0"," 65.0"," 13.0","120.0"," 30.0","  3.0","  6.0"," 30.0","100.0"," 30.0"," 60.0","160.0","100.0","220.0"," 30.0"," 25.0","  3.8","  7.0","KUMASI",NA
"59.00","65.00","65.00","85.00","85.00","62.00","65.00","70.00","10.00","140.00","60.00","6.50","12.00","40.00","90.00","35.00","30.00","150.00","170.00","260.00","25.00","N/A","12.00","8.00","EJURA",NA
"85.00","96.00","90.00","120.00","72.00","75.00","100.00","98.00","11.00","150.00","50.00","4.00","7.00","18.00","125.00","25.00","75.00","N/A","178.00","210.00","10.00","27.00","7.00","6.50","OBUASI",NA
" 52.0"," 65.0"," 65.0","138.0"," 84.0","100.0","100.0"," 90.0"," 15.0","100.0"," 63.0","  3.5","  4.0"," 32.0","120.0"," 35.0"," 55.0","250.0","140.0","220.0"," 45.0"," 42.0","  6.0","  5.7","SUNYANI",NA
"50.00","60.00","55.00","137.00","90.00","50.00","65.00","80.00","24.00","180.00","70.00","6.00","8.00","23.00","90.00","25.00","38.00","220.00","110.00","200.00","60.00","N/A","5.00","6.00","TMAN",NA
"64.00","90.00","70.00","135.00","84.00","90.00","89.00","100.00","24.00","140.00","N/A","4.00","5.00","43.00","144.00","60.00","75.00","185.00","196.00","187.00","22.00","N/A","8.00","8.00","HO",NA
"48.00","60.00","56.00","97.00","83.00","72.00","80.00","80.00","50.00","100.00","N/A","8.00","10.00","43.00","67.00","12.00","80.00","200.00","120.00","200.00","N/A","N/A","24.00","8.00","TAMALE",NA
"50.00","70.00","75.00","70.00","65.00","42.00","70.00","50.00","N/A","90.00","N/A","6.00","8.00","28.00","N/A","N/A","90.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"50.00","N/A","80.00","70.00","70.00","73.00","78.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","58.00","39.00","250.00","124.00","188.00","N/A","N/A","20.00","7.00","WA",NA
