"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"82.00","90.00","79.00","N/A","87.00","86.00","26.00","233.00","66.00","12.00","15.00","40.00","187.00","140.00","247.00","137.00","164.00","222.00","20.00","42.00","8.00","8.00","ACCRA",2011-07-02
" 83"," 80"," 80"," 70","100","100"," 40","400"," 45"," 15"," 25"," 30","220","130","300","130","146","300"," 50"," 40"," 10","  7","TEMA",2011-07-02
" 90"," 50"," 80"," 68"," 90"," 85"," 25","280"," 85","  8"," 11"," 30","250","180","280","220","150","220"," 30"," 40"," 15","  7","SEKTDI",2011-07-02
"82.00","65.00","70.00","N/A","90.00","90.00","24.00","N/A","70.00","8.50","10.00","28.00","250.00","110.00","280.00","130.00","160.00","240.00","20.00","45.00","8.00","6.50","KDUA",2011-07-02
"93.00","75.00","90.00","65.00","100.00","110.00","17.00","250.00","80.00","5.00","9.00","28.00","140.00","90.00","220.00","N/A","150.00","170.00","10.00","25.00","9.00","6.50","CCOAST",2011-07-02
" 96.0"," 80.0"," 94.0"," 67.0"," 98.0","135.0"," 17.0","260.0"," 80.0","  7.5"," 10.0"," 25.0"," 90.0"," 60.0","220.0","140.0","180.0","200.0"," 15.0"," 18.0","  6.0","  7.5","MKESSIM",2011-07-02
"83.00","55.00","75.00","86.00","74.00","70.00","16.00","160.00","32.00","3.00","6.50","23.00","150.00","100.00","75.00","N/A","100.00","200.00","11.00","24.00","3.50","7.00","KUMASI",2011-07-02
"63.00","55.00","75.00","50.00","70.00","65.00","10.00","200.00","50.00","7.00","15.00","35.00","90.00","100.00","90.00","100.00","130.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-07-02
"100.00","48.00","67.00","75.00","94.00","100.00","10.00","230.00","55.00","10.00","15.00","25.00","120.00","80.00","120.00","N/A","178.00","185.00","10.00","27.00","7.00","6.00","OBUASI",2011-07-02
" 64"," 60"," 82","100"," 85"," 85"," 20","250"," 56","  5","  6"," 32","125"," 60","180","120","140","185"," 25"," 30"," 10","  6","SUNYANI",2011-07-02
"54.00","50.00","80.00","50.00","70.00","65.00","23.00","220.00","60.00","5.00","7.00","18.00","200.00","80.00","94.00","N/A","100.00","120.00","20.00","N/A","7.00","6.00","TMAN",2011-07-02
"73.00","70.00","85.00","N/A","89.00","96.00","24.00","240.00","N/A","9.00","10.00","40.00","144.00","50.00","135.00","120.00","196.00","187.00","20.00","N/A","8.50","8.50","HO",2011-07-02
"50.00","47.00","72.00","38.00","70.00","60.00","60.00","150.00","N/A","8.00","9.00","43.00","52.00","N/A","250.00","95.00","126.00","200.00","N/A","N/A","30.00","8.00","TAMALE",2011-07-02
"55.00","60.00","70.00","40.00","70.00","54.00","N/A","120.00","N/A","12.00","12.00","28.00","N/A","N/A","260.00","100.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-07-02
"50.00","71.00","70.00","54.00","71.00","58.00","35.00","N/A","120.00","15.00","N/A","40.00","267.00","127.00","250.00","120.00","117.00","170.00","N/A","N/A","20.00","7.00","WA",2011-07-02
