"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","93.00","N/A","76.00","83.00","81.00","24.00","180.00","59.00","8.00","10.00","37.00","162.00","110.00","113.00","97.00","149.00","166.00","13.00","41.00","7.00","7.00","ACCRA",2011-03-26
" 67"," 80"," 70"," 80","130","130"," 40","200"," 50","  6"," 15"," 40","200","120","120"," 90","170","240"," 50"," 35","  8","  6","TEMA",2011-03-26
" 62.0"," 42.5"," 64.0"," 60.0"," 90.0"," 80.0"," 26.0","220.0"," 85.0","  6.0","  9.0"," 28.0","200.0","120.0","130.0","120.0","150.0","160.0"," 30.0"," 25.0","  6.0","  7.0","SEKTDI",2011-03-26
"61.00","65.00","N/A","66.00","80.00","80.00","25.00","150.00","70.00","8.50","7.50","28.00","250.00","75.00","120.00","100.00","130.00","180.00","20.00","35.00","7.00","6.00","KDUA",2011-03-26
" 81.0"," 65.0"," 65.0"," 80.0"," 95.0","100.0"," 17.0","200.0"," 75.0","  5.0","  8.0"," 24.0","140.0","130.0","120.0","150.0","130.0","150.0"," 14.0"," 20.0","  6.0","  6.5","CCOAST",2011-03-26
" 76.0"," 63.0"," 63.0"," 85.0"," 96.0","120.0"," 17.3","200.0"," 65.0","  5.0","  8.5"," 22.0","140.0","120.0","100.0","120.0","140.0","150.0"," 14.0"," 18.0","  5.0","  6.7","MKESSIM",2011-03-26
" 50.0"," 55.0"," 82.0"," 70.0"," 70.0"," 65.0"," 11.0","140.0"," 25.0","  3.2","  5.5"," 22.0","150.0"," 80.0","120.0"," 92.0","100.0","125.0"," 10.0"," 24.0","  3.2","  6.5","KUMASI",2011-03-26
"38.00","45.00","40.00","85.00","60.00","55.00","6.00","150.00","50.00","3.00","7.00","35.00","120.00","120.00","70.00","130.00","120.00","170.00","18.00","N/A","8.00","6.00","EJURA",2011-03-26
"70.00","45.00","75.00","108.00","110.00","125.00","12.00","140.00","80.00","6.50","11.00","31.00","150.00","100.00","80.00","N/A","150.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-03-26
" 40.0"," 50.0"," 65.0"," 82.0"," 80.0"," 80.0"," 25.0","180.0"," 56.0","  2.0","  3.0"," 32.0","115.0","100.0","100.0",NA,"130.0","160.0"," 20.0"," 30.0","  6.0","  5.5","SUNYANI",2011-03-26
"35.00","40.00","42.00","80.00","60.00","60.00","18.00","160.00","60.00","3.00","6.00","18.00","140.00","56.00","90.00","120.00","107.00","150.00","52.00","N/A","6.00","6.00","TMAN",2011-03-26
" 50.0"," 68.0"," 90.0"," 70.0"," 86.0"," 78.0"," 22.0","160.0"," 43.0","  5.0","  5.5"," 37.0","144.0"," 86.0"," 80.0"," 90.0","153.0","156.0"," 20.0"," 32.0","  8.5","  7.5","HO",2011-03-26
"38.00","32.00","30.00","70.00","60.00","60.00","70.00","80.00","N/A","7.00","8.00","56.00","67.00","60.00","40.00","200.00","100.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-03-26
"40.00","50.00","32.00","65.00","52.00","54.00","50.00","100.00","N/A","8.00","6.00","28.00","N/A","48.00","N/A","100.00","120.00",NA,"N/A","N/A","7.00","7.00","BOLGA",2011-03-26
"43.00","54.00","44.00","69.00","72.00","62.00","N/A","140.00","N/A","10.00","N/A","40.00","267.00","27.00","100.00","100.00","117.00","137.00","N/A","N/A","10.00","6.00","WA",2011-03-26
