"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"63.00","90.00","N/A","77.00","82.00","76.00","25.00","168.00","60.00","7.00","8.00","43.00","150.00","188.00","112.00","333.00","146.00","165.00","15.00","43.00","7.00","7.00","ACCRA",2011-02-12
" 67"," 80"," 70"," 80","130","130"," 35","250"," 50","  5"," 12"," 40","200","100"," 70","160","170","200"," 50"," 16","  7","  7","TEMA",2011-02-12
" 52"," 60"," 50"," 60"," 90"," 85"," 30","280"," 80","  7","  9"," 36",NA,"220","200","180","140","160"," 30"," 25","  7","  7","SEKTDI",2011-02-12
"65.00","65.00","N/A","66.00","90.00","90.00","26.00","160.00","78.00","6.00","7.00","30.00","250.00","70.00","120.00","150.00","140.00","180.00","20.00","38.00","6.00","6.50","KDUA",2011-02-12
" 81.0"," 65.0"," 62.0"," 80.0"," 95.0","100.0"," 17.0","200.0"," 75.0","  5.0","  9.0"," 33.0","120.0","160.0"," 70.0","300.0","130.0","140.0"," 14.0"," 16.0","  6.5","  7.0","CCOAST",2011-02-12
" 80.0"," 65.0"," 65.0"," 82.0"," 98.0","120.0"," 16.5","180.0"," 70.0","  4.5","  7.0"," 26.0"," 98.0","180.0"," 76.0","260.0","130.0","150.0"," 13.0"," 18.0","  6.0","  6.5","MKESSIM",2011-02-12
" 46.0"," 50.0"," 86.0"," 74.0"," 70.0"," 66.0"," 20.0","130.0"," 35.0","  3.5","  6.2"," 22.0","140.0"," 80.0","120.0","220.0","100.0","130.0"," 11.0"," 25.0","  3.4","  7.0","KUMASI",2011-02-12
"38.00","40.00","40.00","85.00","60.00","55.00","12.00","100.00","50.00","3.00","7.00","35.00","120.00","80.00","120.00","150.00","90.00","140.00","15.00","N/A","8.00","6.00","EJURA",2011-02-12
"78.00","45.00","65.00","108.00","115.00","120.00","12.00","140.00","60.00","6.00","10.00","30.00","120.00","100.00","80.00","N/A","140.00","130.00","15.00","45.00","7.00","7.00","OBUASI",2011-02-12
" 44.0"," 50.0"," 65.0"," 82.0"," 80.0"," 64.0"," 25.0","200.0"," 70.0","  2.5","  4.0"," 36.0","125.0"," 60.0","100.0","200.0","130.0","150.0"," 25.0"," 45.0","  6.0","  5.7","SUNYANI",2011-02-12
"35.00","43.00","45.00","80.00","60.00","62.00","21.00","170.00","50.00","3.50","4.50","22.00","140.00","56.00","80.00","200.00","105.00","140.00","52.00","N/A","4.00","6.60","TMAN",2011-02-12
" 50.0"," 68.0"," 90.0"," 68.0"," 86.0"," 78.0"," 23.0","155.0"," 43.0","  4.0","  4.0"," 43.0","144.0"," 84.0"," 80.0","250.0","153.0","156.0"," 20.0"," 36.0","  5.0","  7.5","HO",2011-02-12
"38.00","30.00","30.00","70.00","60.00","60.00","70.00","120.00","N/A","7.00","8.00","40.00","67.00","70.00","N/A","300.00","120.00","120.00","9.00","N/A","N/A","9.00","TAMALE",2011-02-12
"42.00","50.00","N/A","65.00","50.00","52.00","40.00","100.00","N/A","N/A","N/A","28.00","N/A","45.00","N/A","N/A","112.00","98.00","N/A","N/A","N/A","7.00","BOLGA",2011-02-12
"39.00","54.00","36.00","69.00","71.00","58.00","36.00","99.00","N/A","10.00","N/A","40.00","213.00","12.00","134.00","200.00","117.00","130.00","N/A","N/A","10.00","6.00","WA",2011-02-12
