"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"91.00","114.00","89.00","136.00","86.00","N/A","95.00","98.00","27.00","177.00","74.00","7.00","10.00","39.00","160.00","85.00","180.00","167.00","168.00","268.00","25.00","44.00","11.00","8.00","ACCRA",NA
"100.00","110.00","100.00","130.00","92.00","70.00","120.00","100.00","40.00","N/A","50.00","6.00","12.00","30.00","150.00","70.00","250.00","200.00","147.00","340.00","60.00","40.00","10.00","7.00","TEMA",NA
"90.00","50.00","60.00","90.00","85.00","55.00","100.00","90.00","25.00","180.00","85.00","7.00","9.00","32.00","N/A","70.00","120.00","240.00","160.00","280.00","30.00","40.00","7.00","8.00","SEKTDI",NA
"110.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","27.00","150.00","76.00","6.50","7.00","31.00","280.00","100.00","150.00","170.00","180.00","312.00","28.00","40.00","6.00","8.00","KDUA",NA
" 97.0"," 90.0"," 70.0","145.0"," 90.0"," 70.0","100.0","110.0"," 17.0","200.0"," 90.0","  5.0","  9.0"," 34.0","140.0","100.0","150.0","220.0","150.0","250.0"," 20.0"," 20.0","  5.0","  7.5","CCOAST",NA
" 96"," 90"," 73","145"," 93"," 74"," 95","145"," 17","200","100","  5","  8"," 34"," 78"," 45","150","220","160","250"," 28"," 19","  7","  8","MKESSIM",NA
"100.0"," 70.0"," 65.0","110.0"," 70.0","100.0"," 86.0"," 92.0"," 17.0","140.0"," 40.0","  4.0","  7.0"," 30.0","150.0"," 64.0"," 90.0","180.0","130.0","220.0"," 24.0"," 40.0","  4.0","  7.5","KUMASI",NA
"72.00","68.00","65.00","85.00","85.00","60.00","90.00","70.00","15.00","130.00","10.00","6.00","7.00","35.00","200.00","40.00","50.00","150.00","150.00","300.00","26.00","N/A","10.00","7.00","EJURA",NA
"130.0"," 50.0"," 48.0","120.0","105.0"," 90.0"," 90.0"," 98.0"," 13.0","220.0"," 57.0","  8.0"," 11.0"," 28.0","115.0"," 80.0","100.0","150.0","152.0","230.0"," 10.0"," 50.0","  7.0","  6.5","OBUASI",NA
" 72.0"," 78.0"," 78.0","138.0"," 89.0"," 60.0","100.0"," 90.0"," 18.0","140.0"," 72.0","  3.0","  3.5"," 32.0","125.0"," 48.0"," 70.0","230.0","160.0","250.0"," 30.0"," 60.0","  6.0","  6.5","SUNYANI",NA
"69.00","70.00","65.00","140.00","96.00","63.00","90.00","85.00","24.00","160.00","70.00","4.00","7.00","26.00","140.00","56.00","62.00","250.00","130.00","240.00","40.00","N/A","4.00","6.00","TMAN",NA
"82.00","90.00","70.00","135.00","86.00","66.00","100.00","113.00","25.00","157.00","N/A","4.00","4.50","43.00","144.00","100.00","77.00","180.00","163.00","205.00","25.00","40.00","20.00","8.00","HO",NA
"60.00","56.00","54.00","105.00","101.00","44.00","88.00","80.00","50.00","100.00","N/A","8.00","10.00","43.00","57.00","N/A","120.00","180.00","140.00","220.00","N/A","N/A","10.00","N/A","TAMALE",NA
"70.00","70.00","65.00","75.00","70.00","50.00","75.00","70.00","N/A","90.00","N/A","8.00","10.00","28.00","N/A","N/A","130.00","110.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"57.00","75.00","N/A","104.00","77.00","54.00","89.00","78.00","35.00","110.00","N/A","15.00","20.00","57.00","212.00","116.00","50.00","250.00","136.00","205.00","N/A","N/A","20.00","7.00","WA",NA
