"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"55.00","88.00","N/A","75.00","84.00","84.00","26.00","158.00","58.00","6.00","8.00","42.00","173.00","151.00","100.00","153.00","151.00","19.00","36.00","7.00","7.00","ACCRA",2011-01-08
" 58"," 80"," 70"," 80","130","130"," 40","150"," 50","  5"," 12"," 40","200","165"," 70","170","200"," 50"," 40","  8","  7","TEMA",2011-01-08
" 60.0"," 55.0",NA," 60.0"," 85.0"," 80.0"," 28.0","200.0",NA,"  7.0","  9.0"," 35.0","150.0","140.0"," 80.0","130.0","140.0"," 22.0"," 15.0","  6.5","  7.5","SEKTDI",2011-01-08
"65.00","65.00","N/A","60.00","90.00","90.00","26.00","150.00","77.00","6.50","8.00","36.00","280.00","200.00","140.00","140.00","180.00","24.00","34.00","6.00","7.00","KDUA",2011-01-08
" 72"," 48"," 62","130"," 80","100"," 18","180"," 80","  5"," 10"," 38","120","145"," 50","130","140"," 14"," 16","  7","  7","CCOAST",2011-01-08
" 80.0"," 65.0"," 63.0"," 78.0"," 95.0","100.0"," 17.0","180.0"," 66.0","  4.5","  8.0"," 30.0"," 85.0","140.0"," 50.0","130.0","140.0"," 13.0"," 15.0","  7.0","  7.0","MKESSIM",2011-01-08
" 42.0"," 52.5"," 45.0"," 72.0"," 66.0"," 54.0"," 20.0","140.0"," 28.0","  3.0","  6.0"," 22.0","120.0"," 48.0","120.0"," 90.0","128.0"," 10.0"," 20.0","  3.5","  7.0","KUMASI",2011-01-08
"37.00","45.00","30.00","70.00","55.00","54.00","15.00","200.00","60.00","3.00","5.00","31.00","120.00","45.00","60.00","90.00","120.00","20.00","N/A","9.00","5.00","EJURA",2011-01-08
" 65.0"," 49.0"," 65.0","108.0","115.0","120.0"," 10.0","240.0"," 60.0","  4.0","  5.0"," 19.0","118.0"," 80.0"," 80.0","100.0","120.0"," 20.0"," 25.0","  2.5","  7.0","OBUASI",2011-01-08
" 40.0"," 50.0"," 65.0"," 74.0"," 80.0"," 80.0"," 18.0","160.0"," 64.0","  3.5","  5.0"," 36.0"," 92.0"," 60.0","100.0","120.0","130.0"," 25.0"," 23.0","  6.0","  5.5","SUNYANI",2011-01-08
"38.00","43.00","34.00","80.00","50.00","50.00","32.00","160.00","70.00","3.50","5.00","28.00","160.00","38.00","50.00","95.00","120.00","26.00","N/A","4.00","6.00","TMAN",2011-01-08
"54.00","65.00","N/A","69.00","86.00","78.00","21.00","155.00","45.00","3.00","4.00","52.00","160.00","100.00","80.00","153.00","156.00","20.00","34.00","9.00","7.00","HO",2011-01-08
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","120.00","N/A","7.00","8.00","43.00","42.00","100.00","N/A","100.00","100.00","N/A","10.00","8.00","7.00","TAMALE",2011-01-08
"38.00","55.00","N/A","62.00","57.00","52.00","45.00","115.00","N/A","N/A","N/A","34.00","N/A","80.00","N/A","110.00","98.00","N/A","N/A","N/A","N/A","BOLGA",2011-01-08
"39.00","54.00","36.00","69.00","57.00","58.00","35.00","99.00","N/A","9.50","N/A","32.00","267.00","29.00","116.00","109.00","116.00","N/A","N/A","10.00","6.00","WA",2011-01-08
