"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"94.00","64.00","89.00","140.00","90.00","N/A","96.00","98.00","27.00","180.00","75.00","9.00","10.00","39.00","161.00","85.00","220.00","158.00","169.00","277.00","24.00","41.00","11.00","9.00","ACCRA",NA
"100.00","100.00","55.00","130.00","92.00","70.00","120.00","100.00","40.00","N/A","50.00","6.00","12.00","30.00","150.00","70.00","250.00","197.00","147.00","340.00","60.00","40.00","10.00","7.00","TEMA",NA
"120.00","45.00","50.00","100.00","80.00","80.00","100.00","90.00","28.00","200.00","90.00","7.00","10.00","35.00","N/A","80.00","200.00","250.00","160.00","280.00","28.00","30.00","7.00","8.00","SEKTDI",NA
"110.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","27.00","160.00","77.00","7.00","7.50","31.00","300.00","160.00","200.00","160.00","180.00","312.00","28.00","36.00","6.00","8.00","KDUA",NA
" 97"," 90"," 70","140"," 90"," 70","100","110"," 19","200","100","  5","  9"," 34","140","120","200","250","150","250"," 15"," 20","  5","  8","CCOAST",NA
"110"," 90"," 75","150"," 93"," 75"," 95","145"," 18","220"," 95","  5","  9"," 35","100"," 62","250","220","160","260"," 26"," 20","  6","  8","MKESSIM",NA
"100.0"," 70.0"," 65.0","120.0"," 80.0"," 95.0"," 90.0"," 92.0"," 20.0","150.0"," 32.0","  4.2","  7.5"," 30.0","140.0","100.0","110.0","160.0","130.0","250.0"," 24.0"," 40.0","  4.5","  7.5","KUMASI",NA
"80.00","65.00","65.00","95.00","85.00","60.00","92.00","80.00","12.00","180.00","12.00","6.00","9.00","25.00","160.00","35.00","40.00","130.00","150.00","270.00","26.00","N/A","10.00","6.50","EJURA",NA
"130.0"," 50.0"," 48.0","120.0","105.0"," 90.0"," 90.0"," 98.0"," 13.0","240.0"," 57.0","  5.0","  9.0"," 28.0","150.0"," 80.0","150.0","150.0","152.0","230.0"," 10.0"," 50.0","  7.0","  6.5","OBUASI",NA
" 72.0"," 78.0"," 78.0","138.0"," 89.0"," 60.0","100.0"," 90.0"," 18.0","140.0"," 72.0","  3.0","  3.5"," 32.0","125.0"," 48.0"," 70.0","230.0","160.0","250.0"," 30.0"," 60.0","  6.0","  6.5","SUNYANI",NA
"69.00","70.00","65.00","140.00","96.00","63.00","90.00","85.00","24.00","160.00","70.00","4.00","7.00","26.00","140.00","56.00","62.00","250.00","130.00","240.00","40.00","N/A","4.00","6.00","TMAN",NA
"83.00","90.00","70.00","135.00","85.00","66.00","100.00","113.00","26.00","160.00","N/A","4.50","4.50","43.00","144.00","N/A","150.00","180.00","163.00","205.00","25.00","42.00","10.00","8.00","HO",NA
"60.00","56.00","54.00","105.00","101.00","44.00","88.00","80.00","50.00","100.00","N/A","8.00","10.00","43.00","57.00","N/A","120.00","180.00","140.00","220.00","N/A","N/A","10.00","N/A","TAMALE",NA
"70.00","70.00","65.00","75.00","70.00","50.00","75.00","70.00","N/A","100.00","N/A","8.00","10.00","28.00","N/A","N/A","130.00","120.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"57.00","75.00","N/A","104.00","77.00","54.00","89.00","78.00","35.00","110.00","N/A","15.00","20.00","57.00","212.00","116.00","50.00","250.00","136.00","205.00","N/A","N/A","20.00","7.00","WA",NA
