"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"60.00","90.00","N/A","76.00","84.00","85.00","25.00","172.00","63.00","7.00","8.00","41.00","170.00","85.00","115.00","193.00","145.00","162.00","13.00","44.00","7.00","7.00","ACCRA",2011-02-19
" 67"," 80"," 70"," 80","130","130"," 35","200"," 50","  6"," 10"," 40","200","150","100","150","170","220"," 50"," 35","  7","  7","TEMA",2011-02-19
" 62"," 65"," 65"," 60"," 90"," 85"," 30","280"," 80","  8"," 10"," 36",NA,"180","150","125","140","160"," 30"," 25","  7","  7","SEKTDI",2011-02-19
"65.00","65.00","N/A","66.00","90.00","90.00","26.00","150.00","77.00","5.00","6.50","30.00","250.00","50.00","120.00","150.00","140.00","180.00","20.00","40.00","6.00","6.50","KDUA",2011-02-19
" 82.0"," 75.0"," 62.0"," 80.0"," 95.0","110.0"," 16.5","200.0"," 60.0","  4.5","  7.0"," 32.0","120.0","170.0"," 80.0","250.0","130.0","150.0"," 14.0"," 17.0","  6.0","  7.0","CCOAST",2011-02-19
" 82.0"," 65.0"," 65.0"," 82.0","100.0","120.0"," 16.0","180.0"," 65.0","  4.0","  6.5"," 25.0","100.0","160.0"," 85.0","230.0","130.0","150.0"," 12.0"," 18.0","  5.5","  6.7","MKESSIM",2011-02-19
" 50.0"," 50.0"," 80.0"," 68.0"," 68.0"," 65.0"," 13.0","120.0"," 26.0","  2.8","  5.6"," 22.0","150.0"," 60.0","100.0","150.0","100.0","135.0"," 12.0"," 24.0","  3.2","  6.0","KUMASI",2011-02-19
"38.00","40.00","40.00","85.00","60.00","55.00","12.00","100.00","50.00","3.00","7.00","35.00","120.00","80.00","120.00","150.00","90.00","140.00","15.00","N/A","8.00","6.00","EJURA",2011-02-19
"70.00","45.00","70.00","108.00","100.00","120.00","12.00","140.00","60.00","6.00","10.00","30.00","150.00","70.00","120.00","N/A","186.00","150.00","15.00","45.00","7.00","7.00","OBUASI",2011-02-19
" 40.0"," 50.0"," 65.0"," 80.4"," 80.0"," 80.0"," 25.0","180.0"," 64.0","  3.0","  4.0"," 36.0","125.0"," 90.0","100.0","200.0","130.0","150.0"," 25.0"," 45.0","  6.0","  5.7","SUNYANI",2011-02-19
"35.00","42.50","38.00","80.00","60.00","62.00","21.00","120.00","55.00","4.00","5.00","22.00","140.00","56.00","72.00","150.00","100.00","130.00","52.00","N/A","4.00","6.00","TMAN",2011-02-19
" 50.0"," 67.5"," 90.0"," 68.0"," 86.0"," 78.0"," 23.0","155.0"," 41.0","  4.0","  4.5"," 40.0","144.0"," 80.0"," 80.0","180.0","153.0","156.0"," 20.0"," 36.0","  5.0","  7.5","HO",2011-02-19
"38.00","30.00","30.00","70.00","60.00","60.00","70.00","120.00","N/A","7.00","8.00","40.00","67.00","70.00","N/A","300.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-02-19
"42.00","50.00","N/A","65.00","50.00","52.00","40.00","100.00","N/A","N/A","N/A","28.00","N/A","48.00","N/A","N/A","120.00","100.00","N/A","N/A","N/A","7.00","BOLGA",2011-02-19
"39.00","54.00","36.00","69.00","72.00","62.00","36.00","99.00","N/A","10.00","N/A","40.00","213.00","19.00","134.00","200.00","117.00","130.00","N/A","N/A","10.00","6.00","WA",2011-02-19
