"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"67.00","93.00","106.00","N/A","81.00","87.00","26.00","168.00","68.00","8.00","13.00","39.00","190.00","100.00","45.00","128.00","167.00","198.00","24.00","33.00","10.00","8.00","ACCRA",2011-09-10
"71.00","90.00","105.00","70.00","130.00","130.00","40.00","N/A","40.00","6.00","12.00","30.00","200.00","60.00","60.00","130.00","150.00","280.00","80.00","40.00","10.00","7.00","TEMA",2011-09-10
"90.00","60.00","75.00","55.00","90.00","85.00","26.00","180.00","80.00","7.00","9.00","28.00","N/A","60.00","70.00","180.00","160.00","250.00","25.00","25.00","10.00","7.50","SEKTDI",2011-09-10
"72.00","68.00","100.00","N/A","90.00","90.00","24.00","150.00","75.00","8.00","9.00","31.00","250.00","80.00","70.00","130.00","160.00","240.00","24.00","26.00","3.00","6.00","KDUA",2011-09-10
" 58.0"," 73.0"," 78.5"," 67.0","100.0","110.0"," 16.0","180.0"," 80.0","  5.5","  8.0"," 30.0","140.0"," 80.0"," 90.0","180.0","150.0","320.0"," 10.0"," 15.0","  7.0","  6.5","CCOAST",2011-09-10
" 70.0"," 82.0","114.0"," 75.0"," 90.0","140.0"," 14.0","140.0"," 85.0","  5.5","  8.6"," 32.0"," 80.0"," 32.0"," 80.0","140.0","140.0","220.0"," 17.0"," 13.0","  8.5","  7.5","MKESSIM",2011-09-10
"92.00","57.00","75.00","N/A","75.00","74.00","20.00","150.00","30.00","3.00","5.80","23.00","150.00","120.00","50.00","140.00","100.00","220.00","10.00","22.00","4.00","7.00","KUMASI",2011-09-10
"46.00","58.00","80.00","60.00","70.00","70.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","30.00","45.00","130.00","160.00","180.00","26.00","N/A","12.00","6.00","EJURA",2011-09-10
"100.00","47.00","89.00","75.00","90.00","95.00","10.00","180.00","50.00","5.00","12.00","25.00","112.00","50.00","50.00","N/A","200.00","210.00","10.00","33.00","7.00","6.50","OBUASI",2011-09-10
" 52.0"," 65.0","104.0","100.0"," 69.0"," 85.0"," 15.0"," 90.0"," 64.0","  5.0","  5.0"," 32.0","110.0"," 80.0"," 50.0","160.0","130.0","185.0"," 25.0"," 28.0"," 10.0","  5.6","SUNYANI",2011-09-10
"69.00","56.00","78.00","48.00","90.00","80.00","20.00","110.00","80.00","5.00","12.00","10.00","150.00","40.00","40.00","130.00","80.00","180.00","30.00","N/A","5.00","6.00","TMAN",2011-09-10
"68.00","79.00","110.00","78.00","85.00","100.00","23.00","180.00","N/A","5.00","5.50","43.00","144.00","75.00","38.00","150.00","196.00","187.00","20.00","38.00","8.50","8.00","HO",2011-09-10
"45.00","45.00","148.00","40.00","72.00","68.00","60.00","100.00","N/A","8.00","10.00","43.00","35.00","N/A","60.00","90.00","160.00","140.00","N/A","N/A","50.00","8.00","TAMALE",2011-09-10
"60.00","65.00","86.00","40.00","70.00","70.00","60.00","120.00","N/A","10.00","12.00","28.00","N/A","N/A","200.00","N/A","N/A","N/A","N/A","10.00","N/A","7.00","BOLGA",2011-09-10
"64.00","71.00","106.00","55.00","72.00","78.00","35.00","66.00","N/A","15.00","20.00","43.00","267.00","50.00","17.00","150.00","116.00","185.00","N/A","N/A","20.00","7.00","WA",2011-09-10
