"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"65.00","101.00","109.00","N/A","89.00","86.00","25.00","168.00","68.00","8.00","12.00","39.00","180.00","90.00","79.00","141.00","164.00","211.00","24.00","41.00","10.00","8.00","ACCRA",2011-10-01
"67.00","90.00","105.00","70.00","130.00","130.00","40.00","N/A","50.00","6.00","10.00","30.00","200.00","70.00","70.00","180.00","150.00","240.00","50.00","40.00","10.00","7.00","TEMA",2011-10-01
"90.00","70.00","60.00","60.00","90.00","85.00","28.00","150.00","80.00","7.00","12.00","28.00","N/A","60.00","70.00","180.00","160.00","240.00","30.00","30.00","8.00","7.50","SEKTDI",2011-10-01
"65.00","68.00","100.00","N/A","90.00","90.00","23.00","160.00","70.00","6.50","7.00","31.00","250.00","100.00","80.00","150.00","160.00","240.00","24.00","24.00","4.00","6.50","KDUA",2011-10-01
" 59"," 80"," 80"," 70","100","110"," 17","180"," 80","  5","  8"," 30","140"," 80"," 75","200","150","200"," 10"," 16","  7","  7","CCOAST",2011-10-01
" 65.0"," 72.0","135.0"," 72.0"," 90.0","130.0"," 14.0","120.0"," 78.0","  5.0","  7.5"," 31.0"," 85.0"," 60.0","100.0","125.0","140.0","200.0"," 16.0"," 15.0","  5.5","  7.5","MKESSIM",2011-10-01
" 83.0"," 64.0"," 75.0"," 92.0"," 75.0"," 72.0"," 16.0","145.0"," 32.0","  3.0","  5.8"," 23.0","140.0","120.0"," 50.0","130.0","100.0","210.0"," 10.0"," 24.0","  3.4","  7.0","KUMASI",2011-10-01
"46.00","65.00","80.00","60.00","65.00","70.00","10.00","140.00","60.00","8.00","12.00","35.00","90.00","90.00","35.00","130.00","150.00","180.00","26.00","N/A","12.00","8.00","EJURA",2011-10-01
"85.00","46.50","92.00","75.00","90.00","95.00","12.00","137.00","50.00","5.00","10.00","25.00","130.00","50.00","45.00","N/A","190.00","192.00","10.00","25.00","7.00","6.00","OBUASI",2011-10-01
" 48.0"," 62.5","109.0","100.0"," 85.0"," 85.0"," 15.0","100.0"," 63.0","  5.0","  5.0"," 32.0","130.0"," 50.0"," 70.0","160.0","130.0","160.0"," 45.0"," 45.0","  8.0","  5.6","SUNYANI",2011-10-01
"62.00","58.00","113.00","50.00","68.00","80.00","24.00","120.00","70.00","6.00","10.00","N/A","150.00","40.00","50.00","150.00","120.00","200.00","30.00","N/A","5.00","6.00","TMAN",2011-10-01
"54.00","79.00","108.00","90.00","89.00","96.00","23.00","150.00","N/A","5.00","6.00","43.00","144.00","60.00","36.00","155.00","196.00","187.00","20.00","37.00","5.00","8.00","HO",2011-10-01
"48.00","46.00","139.00","N/A","72.00","80.00","60.00","100.00","N/A","8.00","10.00","43.00","67.00","N/A","60.00","150.00","140.00","180.00","N/A","N/A","N/A","8.00","TAMALE",2011-10-01
"55.00","65.00","68.00","46.00","70.00","70.00","N/A","100.00","N/A","10.00","8.00","28.00","N/A","N/A","60.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-10-01
"64.00","58.00","106.00","73.00","75.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","50.00","14.00","120.00","117.00","188.00","N/A","N/A","20.00","7.00","WA",2011-10-01
