"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","88.00","N/A","76.00","80.00","80.00","26.00","190.00","63.00","8.00","10.00","38.00","160.00","131.00","114.00","97.00","155.00","179.00","13.00","44.00","8.00","8.00","ACCRA",2011-04-15
" 67"," 80"," 70"," 80","130","130"," 40","300"," 45","  6"," 12"," 40","200","120","120","100","180","280"," 50"," 35"," 10","  7","TEMA",2011-04-15
" 60"," 43"," 60"," 56"," 90"," 85"," 30","250"," 80","  7","  9"," 28","160","150"," 85"," 90","160","180"," 30"," 30","  6","  7","SEKTDI",2011-04-15
"61.00","65.00","N/A","66.00","80.00","80.00","25.00","N/A","70.00","6.50","7.00","28.00","200.00","80.00","100.00","N/A","130.00","200.00","20.00","36.00","8.00","6.00","KDUA",2011-04-15
" 80.0"," 65.0"," 55.0"," 90.0","100.0","110.0"," 17.0","200.0"," 60.0","  5.0","  8.0"," 28.0","140.0","130.0"," 80.0","120.0","140.0","150.0","  8.0"," 18.0","  6.0","  6.5","CCOAST",2011-04-15
" 76.0"," 63.0"," 67.0"," 86.0"," 96.0","130.0"," 17.0","200.0"," 58.0","  5.5","  8.0"," 24.0","146.0","100.0"," 90.0","120.0","150.0","160.0"," 16.0"," 18.0","  6.5","  7.0","MKESSIM",2011-04-15
"50.00","50.00","82.00","78.00","70.00","68.00","15.00","130.00","30.00","3.20","6.00","22.00","78.00","100.00","48.00","N/A","100.00","150.00","17.00","30.00","3.50","6.50","KUMASI",2011-04-15
"50.00","45.00","50.00","75.00","60.00","55.00","10.00","200.00","50.00","2.00","4.00","35.00","90.00","80.00","30.00","80.00","110.00","150.00","18.00","N/A","12.00","6.00","EJURA",2011-04-15
"70.00","45.00","75.00","65.00","110.00","125.00","13.00","160.00","80.00","7.00","12.00","31.00","150.00","120.00","80.00","N/A","150.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-04-15
" 44.0"," 50.0"," 65.0"," 79.0"," 80.0"," 80.0"," 25.0","180.0"," 56.0","  3.5","  5.5"," 30.0","110.0","150.0"," 96.0","130.0","130.0","160.0"," 18.0"," 33.0","  9.0","  5.5","SUNYANI",2011-04-15
"39.00","44.00","40.00","81.00","60.00","60.00","24.00","160.00","50.00","3.00","6.00","18.00","140.00","65.00","60.00","N/A","100.00","150.00","52.00","N/A","6.00","6.00","TMAN",2011-04-15
" 54.0"," 68.0"," 90.0"," 72.0"," 86.0"," 78.0"," 23.0","150.0"," 43.0","  5.0","  5.0"," 37.0","144.0","110.0"," 80.0"," 70.0","153.0","156.0"," 17.0"," 35.0","  8.5","  7.0","HO",2011-04-15
"38.00","32.00","30.00","70.00","60.00","60.00","70.00","100.00","N/A","7.00","8.00","62.00","67.00","90.00","40.00","120.00","120.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-04-15
"42.00","60.00","32.00","65.00","56.00","54.00","50.00","120.00","N/A","10.00","8.00","28.00","N/A","80.00","N/A","80.00","79.00","120.00","N/A","N/A",NA,"7.00","BOLGA",2011-04-15
"43.00","54.00","55.00","70.00","72.00","58.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","39.00","100.00","120.00","117.00","144.00","N/A","N/A","20.00","6.00","WA",2011-04-15
