"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"59.00","84.00","N/A","77.00","85.00","85.00","25.00","172.00","64.00","7.00","8.00","40.00","168.00","68.00","115.00","157.00","145.00","161.00","13.00","45.00","8.00","7.00","ACCRA",2011-02-26
" 67"," 80"," 70"," 80","130","130"," 35","250"," 50","  5","  8"," 40","200","110","100","130","170","220"," 50"," 35","  7","  7","TEMA",2011-02-26
" 66"," 60"," 55"," 58"," 90"," 85"," 32","260"," 80","  8"," 10"," 28","150","100","120","150","140","170"," 28"," 25","  7","  7","SEKTDI",2011-02-26
"65.00","65.00","N/A","66.00","90.00","90.00","26.00","140.00","75.00","5.00","6.00","30.00","250.00","70.00","120.00","130.00","140.00","180.00","20.00","35.00","7.00","6.50","KDUA",2011-02-26
" 82.0"," 65.0"," 62.0"," 80.0","100.0","110.0"," 17.0","200.0"," 62.0","  5.0","  8.0"," 28.0","140.0","160.0"," 90.0","180.0","140.0","150.0","  9.0"," 20.0","  6.0","  6.5","CCOAST",2011-02-26
" 80.00"," 65.00"," 65.00"," 83.00","100.00","120.00"," 17.25","190.00"," 60.00","  4.50","  7.00"," 25.00","120.00","140.00"," 90.00","170.00","140.00","150.00"," 10.00"," 19.00","  6.00","  6.50","MKESSIM",2011-02-26
"50.00","53.00","82.00","70.00","70.00","65.00","12.00","130.00","28.00","3.00","6.00","22.00","150.00","65.00","100.00","N/A","100.00","130.00","11.00","25.00","3.30","6.50","KUMASI",2011-02-26
"38.00","40.00","40.00","85.00","60.00","55.00","9.00","100.00","50.00","3.00","7.00","35.00","120.00","80.00","100.00","120.00","109.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-02-26
"70.00","45.00","N/A","108.00","100.00","120.00","12.00","140.00","60.00","5.50","10.00","30.00","150.00","70.00","120.00","N/A","186.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-02-26
" 40.0"," 50.0"," 65.0"," 80.4"," 80.0"," 80.0"," 25.0","170.0"," 64.0","  3.0","  4.0"," 36.0","125.0"," 70.0","120.0","200.0","130.0","150.0"," 25.0"," 33.0","  8.0","  5.7","SUNYANI",2011-02-26
"35.00","40.00","38.00","80.00","67.00","62.00","18.00","160.00","87.00","4.00","6.00","22.00","160.00","56.00","72.00","140.00","95.00","135.00","52.00","N/A","4.00","6.00","TMAN",2011-02-26
" 50.0"," 68.0"," 90.0"," 68.0"," 86.0"," 78.0"," 22.0","145.0"," 43.0","  4.5","  5.0"," 40.0","144.0"," 80.0"," 80.0","160.0","153.0","156.0"," 20.0"," 28.0","  5.0","  7.5","HO",2011-02-26
"38.00","30.00","30.00","70.00","60.00","60.00","70.00","80.00","N/A","7.00","8.00","56.00","67.00","60.00","N/A","280.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-02-26
"42.00","50.00","N/A","65.00","52.00","52.00","40.00","100.00","N/A","8.00","7.50","28.00","N/A","30.00","N/A",NA,"112.00",NA,"N/A","N/A","30.00","7.00","BOLGA",2011-02-26
"43.00","54.00","36.00","69.00","72.00","66.00","36.00","110.00","N/A","10.00","N/A","40.00","213.00","23.00","120.00","130.00","117.00","130.00","N/A","N/A","10.00","6.00","WA",2011-02-26
