"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"81.00","93.00","135.00","N/A","87.00","86.00","26.00","165.00","68.00","13.00","15.00","40.00","163.00","118.00","123.00","137.00","160.00","231.00","24.00","32.00","9.00","8.00","ACCRA",2011-07-30
"100"," 80"," 80"," 70","130","130"," 40","400"," 40"," 15"," 25"," 30","220","130","150","140","150","340"," 50"," 30"," 12","  7","TEMA",2011-07-30
"100.00","60.00","80.00","65.00","100.00","90.00","30.00","250.00","85.00","6.00","10.00","32.00","N/A","120.00","200.00","150.00","160.00","240.00","30.00","25.00","12.00","7.50","SEKTDI",2011-07-30
"92.00","80.00","130.00","N/A","90.00","90.00","24.00","160.00","75.00","9.00","12.00","31.00","200.00","80.00","80.00","100.00","240.00","240.00","40.00","80.00","N/A","6.50","KDUA",2011-07-30
" 90.0"," 75.0"," 90.0"," 65.0","100.0","110.0"," 17.0","250.0"," 80.0","  6.0","  9.0"," 28.0","140.0"," 70.0","160.0","160.0","140.0","210.0","  8.0"," 15.0","  7.0","  6.5","CCOAST",2011-07-30
"100"," 90"," 67"," 65"," 92","130"," 14","220"," 84","  7","  9"," 27"," 80"," 43","120","150","150","200"," 17"," 13","  7","  7","MKESSIM",2011-07-30
" 80.0"," 55.0"," 75.0"," 90.0"," 74.0"," 68.0"," 15.0","145.0"," 26.0","  2.7","  6.0"," 23.0","140.0","110.0"," 70.0","100.0","100.0","180.0"," 10.0"," 20.0","  3.5","  6.8","KUMASI",2011-07-30
"67.00","65.00","85.00","60.00","60.00","60.00","8.00","200.00","50.00","5.00","10.00","35.00","90.00","80.00","50.00","N/A","150.00","260.00","18.00","N/A","12.00","6.00","EJURA",2011-07-30
"100.00","48.00","110.00","75.00","74.00","100.00","10.00","220.00","45.00","8.00","12.00","25.00","160.00","50.00","85.00","N/A","165.00","200.00","10.00","20.00","7.00","6.50","OBUASI",2011-07-30
" 68"," 65","135","100"," 85"," 85"," 15","160"," 56","  6","  6"," 32","125"," 60"," 80","140","140","185"," 25"," 25"," 10","  6","SUNYANI",2011-07-30
"62.00","60.00","135.00","48.00","75.00","75.00","23.00","250.00","70.00","6.00","12.00","25.00","160.00","84.00","63.00","N/A","115.00","230.00","20.00","22.00","5.00","5.00","TMAN",2011-07-30
"73.00","88.00","121.00","78.00","89.00","100.00","23.00","235.00","N/A","9.00","10.00","46.00","144.00","60.00","55.00","130.00","196.00","221.00","20.00","40.00","8.50","8.00","HO",2011-07-30
"60.00","48.00","130.00","40.00","72.00","68.00","60.00","N/A","N/A","10.00","12.00","43.00","35.00","N/A","140.00","140.00","126.00","200.00","N/A","N/A","40.00","8.00","TAMALE",2011-07-30
"56.00","70.00","70.00","45.00","70.00","56.00","50.00","120.00","N/A","12.00","11.00","28.00","N/A","N/A","200.00","100.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-07-30
"64.00","71.00","138.00","55.00","71.00","66.00","35.00","250.00","N/A","15.00","N/A","43.00","266.00","84.00","135.00","140.00","136.00","188.00","N/A","100","20.00","7.00","WA",2011-07-30
