"Maize","Rice - Local","Paddy Rice","Imporetd Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"69.00","88.00","N/A","76.00","85.00","82.00","27.00","208.00","65.00","10.00","12.00","38.00","163.00","350.00","125.00","100.00","169.00","187.00","19.00","43.00","10.00","8.00","ACCRA",2011-05-14
" 83"," 80"," 70"," 80","100","100"," 40","350"," 45","  8"," 15"," 30","200","300","120","100","146","280"," 50"," 30"," 10","  7","TEMA",2011-05-14
"100.0"," 45.0"," 64.0"," 65.0"," 90.0"," 85.0"," 28.0","260.0"," 90.0","  7.5","  9.0"," 28.0","180.0","280.0","150.0","120.0","140.0","200.0"," 32.0"," 30.0","  6.0","  7.2","SEKTDI",2011-05-14
"82.00","65.00","N/A","66.00","90.00","90.00","25.00","N/A","70.00","8.00","9.00","28.00","250.00","120.00","80.00","120.00","160.00","200.00","20.00","45.00","7.00","6.50","KDUA",2011-05-14
" 90.0"," 65.0"," 65.0"," 80.0","100.0","110.0"," 16.5","200.0"," 75.0","  6.5","  9.0"," 28.0","140.0","220.0"," 80.0","120.0","140.0","150.0"," 14.0"," 25.0","  7.0","  6.0","CCOAST",2011-05-14
"86.00","65.00","68.00","90.00","98.00","130.00","19.50","220.00","67.00","6.50","9.00","25.00","130.00","220.00","85.00","N/A","160.00","170.00","18.00","18.00","9.00","7.60","MKESSIM",2011-05-14
" 50.0"," 53.0"," 70.0"," 75.0"," 72.0"," 66.0"," 20.0","145.0"," 32.0","  3.0","  6.2"," 22.0"," 90.0"," 80.0"," 44.0","100.0","100.0","145.0"," 15.0"," 24.0","  3.5","  7.0","KUMASI",2011-05-14
"67.00","55.00","50.00","75.00","64.00","56.00","12.00","200.00","50.00","5.00","10.00","35.00","120.00","80.00","80.00","N/A","140.00","250.00","18.00","N/A","12.00","6.00","EJURA",2011-05-14
"80.00","45.00","75.00","66.00","100.00","100.00","10.00","200.00","80.00","5.00","10.00","31.00","90.00","250.00","20.00","N/A","180.00","175.00","8.00","50.00","7.00","6.00","OBUASI",2011-05-14
" 56.0"," 50.0"," 65.0"," 86.4"," 80.0"," 80.0"," 25.0","185.0"," 56.0","  4.0","  5.0"," 30.0","115.0","200.0"," 60.0","120.0","130.0","160.0"," 20.0"," 30.0"," 12.0","  5.5","SUNYANI",2011-05-14
"60.00","45.00","50.00","81.00","70.00","68.00","24.00","240.00","50.00","4.00","6.00","18.00","140.00","156.00","50.00","N/A","102.00","170.00","60.00","N/A","5.00","6.00","TMAN",2011-05-14
" 72.0"," 68.0"," 90.0"," 75.0"," 86.0"," 78.0"," 23.0","165.0"," 45.0","  5.0","  5.0"," 35.0","144.0","180.0"," 80.0","120.0","180.0","164.0"," 20.0"," 36.0","  9.0","  7.5","HO",2011-05-14
"50.00","58.00","40.00","70.00","66.00","58.00","60.00","120.00","N/A","7.00","8.00","54.00","35.00","300.00","50.00","100.00","110.00","162.00","N/A","N/A","9.00","8.00","TAMALE",2011-05-14
"60.00","65.00","32.00","65.00","56.00","54.00","50.00","120.00","N/A","10.00","8.00","28.00","N/A","140.00","N/A","80.00","120.00","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-05-14
"43.00","58.00","54.00","70.00","60.00","58.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","260.00","83.00","120.00","125.00","153.00","N/A","N/A","20.00","6.00","WA",2011-05-14
