"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"80.00","90.00","77.00","N/A","85.00","83.00","25.00","228.00","67.00","12.00","14.00","39.00","183.00","130.00","123.00","160.00","160.00","224.00","20.00","42.00","9.00","7.00","ACCRA",2011-06-11
" 83"," 80"," 80"," 70","100","100"," 40","400"," 50"," 10"," 20"," 30","200","150","230","130","146","280"," 50"," 35"," 10","  7","TEMA",2011-06-11
"85.00","50.00","60.00","65.00","100.00","80.00","30.00","250.00","85.00","7.00","9.00","28.00","N/A","200.00","130.00","120.00","140.00","200.00","24.00","30.00","7.00","7.50","SEKTDI",2011-06-11
"82.00","65.00","66.00","N/A","90.00","90.00","24.00","N/A","75.00","8.00","10.00","28.00","200.00","100.00","150.00","N/A","160.00","240.00","20.00","36.00","7.50","6.50","KDUA",2011-06-11
" 90.0"," 65.0"," 90.0"," 65.0","100.0","110.0"," 17.0","250.0"," 80.0","  6.0","  9.0"," 28.0","140.0"," 85.0","160.0","100.0","140.0","150.0","  8.0"," 25.0","  8.0","  6.5","CCOAST",2011-06-11
" 96.0"," 75.0"," 92.0"," 68.0","100.0","135.0"," 18.0","250.0"," 80.0","  8.5"," 10.0"," 26.0","100.0"," 65.0","170.0","110.0","180.0","200.0"," 17.0"," 18.0","  6.8","  7.5","MKESSIM",2011-06-11
" 83.0"," 58.0"," 75.0"," 90.0"," 76.0"," 70.0"," 18.0","170.0"," 30.0","  3.5","  6.2"," 22.0","150.0","120.0"," 80.0"," 85.0","100.0","180.0"," 10.0"," 25.0","  3.4","  7.0","KUMASI",2011-06-11
"54.00","55.00","75.00","50.00","75.00","62.00","15.00","200.00","50.00","7.00","15.00","35.00","90.00","100.00","60.00","100.00","130.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-06-11
"100.00","48.00","67.00","75.00","94.00","100.00","10.00","175.00","47.00","8.00","17.00","25.00","92.00","68.00","80.00","N/A","180.00","185.00","8.00","50.00","7.00","6.00","OBUASI",2011-06-11
" 72.0"," 50.0"," 88.0","100.0"," 85.0"," 85.0"," 20.0","250.0"," 56.0","  5.0","  6.5"," 30.0","125.0","120.0","200.0","120.0","140.0","170.0"," 22.0"," 30.0"," 10.0","  6.0","SUNYANI",2011-06-11
"54.00","55.00","81.00","48.00","70.00","65.00","24.00","240.00","65.00","4.50","7.00","18.00","150.00","220.00","175.00","N/A","100.00","190.00","46.00","N/A","7.00","6.00","TMAN",2011-06-11
"73.00","70.00","80.00","90.00","N/A","87.00","25.00","210.00","N/A","9.00","9.00","40.00","144.00","80.00","170.00","85.00","185.00","187.00","25.00","N/A","9.00","8.00","HO",2011-06-11
"60.00","44.00","72.00","36.00","68.00","60.00","60.00","150.00","N/A","10.00","12.00","43.00","52.00","N/A","200.00","95.00","140.00","168.00","N/A","N/A","9.00","8.00","TAMALE",2011-06-11
"60.00","70.00","70.00","40.00","75.00","54.00","60.00","120.00","N/A","10.00","10.00","28.00","N/A","N/A","300.00","90.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-06-11
"54.00","63.00","70.00","51.00","71.00","62.00","36.00","150.00","N/A","10.00","N/A","43.00","213.00","110.00","200.00","120.00","125.00","164.00","N/A","N/A","20.00","7.50","WA",2011-06-11
