"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"64.00","101.00","108.00","N/A","89.00","86.00","25.00","170.00","67.00","8.00","12.00","39.00","180.00","90.00","82.00","137.00","163.00","211.00","24.00","39.00","10.00","8.00","ACCRA",2011-10-08
"67.00","90.00","105.00","70.00","130.00","130.00","40.00","N/A","50.00","5.00","10.00","30.00","200.00","70.00","70.00","180.00","150.00","240.00","50.00","40.00","10.00","7.00","TEMA",2011-10-08
"90.00","70.00","83.00","64.00","95.00","90.00","24.00","180.00","85.00","7.00","9.00","32.00","N/A","100.00","80.00","N/A","160.00","250.00","25.00","28.00","7.00","7.50","SEKTDI",2011-10-08
"65.00","67.50","100.00","N/A","90.00","90.00","24.00","N/A","75.00","6.00","7.00","31.00","200.00","60.00","150.00","150.00","160.00","240.00","24.00","30.00","5.00","7.00","KDUA",2011-10-08
" 67.0"," 80.0"," 80.0"," 70.0","100.0","110.0"," 17.0","180.0"," 80.0","  6.0","  9.0"," 30.0","140.0"," 80.0"," 80.0","200.0","150.0","200.0"," 12.0"," 15.0","  7.0","  6.5","CCOAST",2011-10-08
" 62.0"," 79.0","115.0"," 72.0"," 90.0","130.0"," 14.0","120.0"," 75.0","  4.5","  7.0"," 32.0"," 90.0"," 63.0","120.0","120.0","140.0","240.0"," 18.0"," 15.0","  5.0","  7.5","MKESSIM",2011-10-08
" 92.0"," 58.0"," 80.0"," 95.0"," 77.0"," 74.0"," 16.0","150.0"," 35.0","  3.5","  6.3"," 23.0","140.0"," 32.0"," 90.0","200.0","100.0","220.0"," 12.0"," 25.0","  3.8","  7.0","KUMASI",2011-10-08
"54.00","63.00","80.00","60.00","70.00","70.00","12.00","120.00","60.00","6.00","10.00","40.00","90.00","30.00","40.00","135.00","160.00","250.00","26.00","N/A","7.00","8.00","EJURA",2011-10-08
"85.00","72.00","93.00","75.00","90.00","95.00","11.00","125.00","50.00","7.00","13.00","25.00","125.00","50.00","77.00","N/A","190.00","192.00","10.00","27.00","7.00","6.50","OBUASI",2011-10-08
" 48.0"," 63.0","110.0","100.0"," 85.0"," 85.0"," 15.0","100.0"," 63.0","  4.5","  5.0"," 32.0","125.0"," 40.0"," 80.0","180.0","130.0","160.0"," 45.0"," 45.0","  7.0","  5.5","SUNYANI",2011-10-08
"62.00","56.00","113.50","50.00","72.00","80.00","24.00","100.00","70.00","6.00","8.00","23.00","150.00","56.00","54.00","120.00","110.00","210.00","30.00","N/A","5.00","6.00","TMAN",2011-10-08
"54.00","80.00","110.00","90.00","89.00","96.00","22.00","155.00","N/A","5.00","5.00","43.00","144.00","60.00","40.00","160.00","196.00","187.00","20.00","42.00","5.00","8.00","HO",2011-10-08
"48.00","46.00","139.00","44.00","72.00","80.00","60.00","80.00","N/A","8.00","10.00","43.00","68.00","N/A","60.00","100.00","120.00","180.00","N/A","N/A","20.00","8.00","TAMALE",2011-10-08
"55.00","68.00","68.00","45.00","70.00","70.00","60.00","100.00","N/A","8.00","10.00","28.00","N/A","N/A","60.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-10-08
"64.00","59.00","106.00","73.00","78.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","50.00","15.50","150.00","124.00","188.00","N/A","N/A","20.00","7.00","WA",2011-10-08
