"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"82.00","96.00","81.00","N/A","88.00","85.00","25.00","253.00","65.00","13.00","16.00","41.00","200.00","145.00","265.00","132.00","164.00","228.00","20.00","43.00","10.00","8.00","ACCRA",2011-07-09
" 83"," 80"," 80"," 70","130","130"," 40","400"," 45"," 15"," 25"," 30","220","130","200","120","200","300"," 50"," 40"," 10","  7","TEMA",2011-07-09
"100.00","50.00","80.00","68.00","90.00","85.00","28.00","300.00","90.00","6.00","9.00","32.00","N/A","150.00","250.00","250.00","160.00","220.00","25.00","30.00","10.00","7.00","SEKTDI",2011-07-09
"82.00","55.00","70.00","N/A","90.00","90.00","24.00","N/A","70.00","9.00","11.00","28.00","250.00","110.00","250.00","120.00","160.00","240.00","20.00","45.00","8.00","6.50","KDUA",2011-07-09
" 95.0"," 82.0"," 90.0"," 65.0","100.0","110.0"," 16.0","250.0"," 80.0","  6.0","  9.0"," 28.0","140.0"," 90.0","230.0","160.0","140.0","160.0","  9.0"," 20.0","  8.0","  6.5","CCOAST",2011-07-09
" 95.0"," 84.0"," 94.0"," 66.0"," 98.0","135.0"," 15.0","260.0"," 84.0","  7.5","  9.0"," 27.0"," 86.0"," 55.0","230.0","150.0","150.0","160.0"," 16.0"," 17.0","  6.5","  7.3","MKESSIM",2011-07-09
"85.00","55.00","75.00","85.00","75.00","70.00","17.00","150.00","28.00","3.00","6.00","23.00","150.00","128.00","70.00","N/A","105.00","200.00","10.00","23.00","3.00","7.00","KUMASI",2011-07-09
"67.00","45.00","80.00","50.00","70.00","65.00","10.00","200.00","50.00","7.00","15.00","35.00","90.00","80.00","100.00","100.00","130.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-07-09
"100.00","48.00","124.00","75.00","94.00","100.00","10.00","230.00","35.00","8.00","13.00","25.00","200.00","70.00","110.00","N/A","180.00","185.00","10.00","27.00","7.00","6.00","OBUASI",2011-07-09
" 64"," 65"," 87","100"," 85"," 85"," 18","240"," 56","  6","  6"," 30","125"," 60","150","140","140","185"," 25"," 30"," 10","  6","SUNYANI",2011-07-09
"58.00","55.00","80.00","50.00","80.00","75.00","23.00","260.00","73.00","6.00","3.00","19.00","160.00","64.00","57.00","N/A","115.00","222.00","20.00","N/A","6.00","5.00","TMAN",2011-07-09
"73.00","88.00","85.00","72.00","89.00","96.00","25.00","230.00","N/A","10.00","12.00","40.00","144.00","60.00","130.00","120.00","196.00","197.00","20.00","N/A","9.00","8.00","HO",2011-07-09
"50.00","47.00","140.00","38.00","80.00","74.00","60.00","150.00","N/A","8.00","9.00","43.00","52.00","N/A","100.00","95.00","126.00","178.00","N/A","N/A","30.00","8.00","TAMALE",2011-07-09
"56.00","60.00","70.00","45.00","70.00","54.00","N/A","120.00","N/A","12.00","12.00","28.00","N/A","N/A","270.00","110.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-07-09
"54.00","71.00","138.00","54.00","72.00","58.00","35.00","160.00","N/A","15.00","N/A","40.00","267.00","117.00","200.00","120.00","117.00","171.00","N/A","N/A","20.00","7.00","WA",2011-07-09
