"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","93.00","N/A","75.00","84.00","85.00","26.00","177.00","59.00","6.00","9.00","37.00","160.00","112.00","115.00","140.00","146.00","167.00","13.00","44.00","8.00","7.00","ACCRA",2011-03-19
" 67"," 80"," 70"," 80","130","130"," 40","300"," 40","  5","  8"," 40","200","140","120","130","170","220"," 50"," 35","  8","  7","TEMA",2011-03-19
" 66.0"," 40.0"," 64.0"," 58.0"," 90.0"," 80.0"," 30.0","250.0"," 80.0","  6.0","  8.0"," 28.0","200.0","120.0","150.0","170.0","140.0","170.0"," 35.0"," 28.0","  7.2","  7.0","SEKTDI",2011-03-19
"61.00","65.00","N/A","66.00","80.00","80.00","26.00","160.00","70.00","6.50","7.00","28.00","250.00","75.00","120.00","120.00","130.00","180.00","20.00","30.00","6.00","6.00","KDUA",2011-03-19
" 81.0"," 65.0"," 65.0"," 90.0"," 95.0","110.0"," 17.0","200.0"," 60.0","  5.0","  8.0"," 24.0","140.0","110.0"," 90.0","150.0","130.0","140.0"," 14.0"," 20.0","  6.0","  6.5","CCOAST",2011-03-19
" 78.0"," 63.0"," 64.0"," 82.0"," 96.0","120.0"," 16.0","185.0"," 66.0","  4.7","  8.0"," 22.0","140.0","110.0"," 95.0","120.0","140.0","150.0"," 12.0"," 17.0","  6.0","  6.8","MKESSIM",2011-03-19
" 50.0"," 58.0"," 80.0"," 70.0"," 72.0"," 66.0"," 10.0","130.0"," 28.0","  3.3","  6.0"," 22.0","150.0"," 70.0","140.0","100.0","100.0","130.0"," 10.0"," 25.0","  3.5","  6.5","KUMASI",2011-03-19
"38.00","45.00","40.00","85.00","60.00","55.00","7.00","150.00","50.00","3.00","7.00","35.00","120.00","120.00","70.00","80.00","109.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-03-19
"70.00","45.00","75.00","108.00","110.00","125.00","12.00","140.00","80.00","6.50","11.00","31.00","150.00","110.00","50.00","N/A","150.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-03-19
" 44.0"," 50.0",NA," 80.0"," 80.0"," 80.0"," 25.0","180.0"," 56.0","  2.0","  3.0"," 36.0","120.0","120.0","100.0","150.0","130.0","150.0"," 23.0"," 30.0","  6.0","  5.7","SUNYANI",2011-03-19
"35.00","40.00","43.00","80.00","60.00","60.00","18.00","140.00","60.00","3.00","6.50","18.00","160.00","60.00","60.00","120.00","107.00","160.00","52.00","N/A","4.00","6.00","TMAN",2011-03-19
" 50.0"," 68.0"," 90.0"," 67.0"," 86.0"," 78.0"," 22.0","145.0"," 42.0","  5.0","  5.5"," 37.0","144.0","100.0"," 80.0","160.0","153.0","156.0"," 20.0"," 32.0","  7.0","  7.5","HO",2011-03-19
"38.00","32.00","30.00","70.00","60.00","80.00","70.00","80.00","N/A","7.00","8.00","56.00","67.00","60.00","40.00","280.00","120.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-03-19
"42.00","50.00","N/A","65.00","54.00","55.00","50.00","100.00","N/A","8.00","10.00","28.00","N/A","46.00","N/A","100.00","120.00",NA,"N/A","N/A","N/A","7.00","BOLGA",2011-03-19
"43.00","54.00","44.00","69.00","72.00","62.00","N/A","140.00","N/A","10.00","N/A","40.00","267.00","27.00","100.00","100.00","117.00","137.00","N/A","N/A","10.00","6.00","WA",2011-03-19
